Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Pedro,brBRA,DF,27-309,17.9,1075,50,269,482,335,28,1075,44,21,47.7,18,40.9,556,3212,1674,36,31,7,20,15,624,91,Matches
Dodi,brBRA,MF,28-155,16.1,631,31,166,407,72,9,631,26,17,65.4,9,34.6,336,2179,1074,19,11,0,25,13,353,12,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,489,408,486,3,0,0,489,0,0,,0,,221,1293,881,0,0,0,0,0,172,0,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,950,6,57,422,480,44,949,16,6,37.5,6,37.5,459,2001,830,21,22,2,36,16,648,93,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,1030,41,257,478,307,22,1029,29,18,62.1,10,34.5,500,2362,1117,19,16,6,20,6,560,61,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,936,47,221,552,177,23,936,32,15,46.9,15,46.9,459,2309,992,10,14,6,29,15,578,35,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,499,5,50,199,259,35,499,31,15,48.4,13,41.9,314,1762,821,24,25,10,13,24,361,73,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,712,86,339,345,34,18,712,5,4,80.0,1,20.0,293,1147,536,0,2,0,3,0,409,3,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,687,90,332,334,25,10,687,1,0,0.0,1,100.0,347,1182,533,1,2,0,8,0,443,4,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,682,2,67,248,387,40,682,97,51,52.6,38,39.2,447,3255,1692,52,46,17,47,41,513,99,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,493,3,41,194,269,59,493,72,34,47.2,36,50.0,350,3018,1395,57,21,32,32,30,405,81,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,343,7,55,187,109,15,343,17,7,41.2,8,47.1,189,895,431,13,8,3,14,13,243,32,Matches
Walter Kannemann,arARG,DF,33-189,8.1,340,55,178,146,16,6,340,4,4,100.0,0,0.0,139,564,276,1,1,0,4,3,175,0,Matches
