Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Wesley,brBRA,"FW,MF",25-173,17.4,794,11,80,327,401,72,794,96,48,50.0,34,35.4,530,3566,1908,71,34,25,50,21,596,150,Matches
Thiago Maia,brBRA,MF,27-180,14.5,924,34,186,576,174,17,924,16,11,68.8,4,25.0,441,1832,815,14,11,0,22,8,558,33,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,15.1,906,36,133,521,260,26,906,19,7,36.8,12,63.2,471,1959,917,17,13,3,22,13,611,44,Matches
Vitão,brBRA,DF,24-230,14.0,887,89,327,523,38,14,887,2,2,100.0,0,0.0,521,2735,1992,18,7,0,4,1,640,3,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,411,339,410,1,0,0,411,0,0,,0,,207,1015,567,0,0,0,0,0,167,0,Matches
Gabriel Mercado,arARG,DF,37-185,12.8,797,64,349,424,28,10,797,3,1,33.3,2,66.7,472,1993,1094,2,5,1,2,0,555,2,Matches
Rafael Borré,coCOL,FW,29-004,10.9,362,7,28,148,191,57,361,19,7,36.8,12,63.2,193,767,216,9,6,4,34,10,250,69,Matches
Fernando,brBRA,"DF,MF",37-056,11.6,802,64,281,461,66,8,802,3,1,33.3,2,66.7,463,2582,1370,12,13,0,8,3,520,4,Matches
Romulo,brBRA,MF,24-202,11.4,630,35,170,410,53,4,630,10,5,50.0,5,50.0,321,1332,548,10,6,1,8,5,365,8,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,11.0,888,26,186,476,233,8,888,15,9,60.0,4,26.7,515,2557,1235,19,16,1,11,8,588,43,Matches
Renê,brBRA,DF,32-005,10.6,834,33,214,450,182,12,834,9,4,44.4,4,44.4,467,2685,1472,29,28,0,8,8,507,21,Matches
Robert Renan,brBRA,DF,20-344,10.7,724,67,297,370,64,6,724,16,8,50.0,8,50.0,464,2564,1475,16,9,1,7,7,483,15,Matches
Alexandro Bernabei,arARG,DF,23-361,9.9,725,30,181,345,210,30,725,30,15,50.0,14,46.7,375,2008,1151,25,15,10,13,7,374,38,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,8.4,528,5,42,242,255,37,528,43,23,53.5,17,39.5,298,1607,874,35,14,12,18,15,372,99,Matches
Fabricio Bustos,arARG,DF,28-144,9.6,718,31,161,326,235,17,718,13,9,69.2,4,30.8,399,1596,740,12,16,4,16,12,444,64,Matches
Wanderson,brBRA,"FW,MF",29-348,8.6,331,4,40,144,156,26,331,28,15,53.6,11,39.3,210,1487,615,20,12,5,19,13,230,55,Matches
Alan Patrick,brBRA,"MF,FW",33-129,8.0,503,1,23,232,255,24,501,28,16,57.1,11,39.3,313,1591,755,17,17,4,13,18,382,54,Matches
Fabrício,brBRA,GK,38-256,8.0,221,187,221,0,0,0,221,0,0,,0,,124,627,395,0,0,0,0,0,87,0,Matches
