Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Gabriel,brBRA,GK,31-358,22.5,850,771,844,6,0,0,850,2,2,100.0,0,0.0,456,2080,1099,0,1,0,1,0,367,0,Matches
Erick,brBRA,FW,27-260,18.8,553,24,91,266,202,32,553,32,20,62.5,8,25.0,305,1861,707,29,10,5,22,13,368,91,Matches
Jadson,brBRA,MF,31-020,20.7,1119,36,286,646,199,18,1119,22,13,59.1,6,27.3,597,2342,1093,13,9,4,24,21,750,49,Matches
Lucas Barbosa,brBRA,FW,23-210,19.1,850,17,124,423,315,52,850,30,12,40.0,16,53.3,488,2938,1157,41,28,9,38,19,595,111,Matches
Danilo Boza,brBRA,DF,26-136,20.5,1422,240,802,560,70,27,1422,17,7,41.2,8,47.1,885,4513,2678,16,12,0,8,4,1008,6,Matches
Alan Ruschel,brBRA,DF,35-027,17.9,1092,55,369,522,215,8,1092,20,7,35.0,13,65.0,533,2722,1438,27,18,1,17,12,598,50,Matches
João Lucas,brBRA,DF,26-194,17.8,1072,39,353,448,286,21,1072,28,18,64.3,5,17.9,539,3006,1749,49,40,8,17,9,600,87,Matches
Zé Marcos,brBRA,DF,26-231,16.3,962,154,572,376,21,13,962,3,2,66.7,1,33.3,544,2646,1403,3,3,0,6,5,618,0,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,15.8,985,76,360,581,54,1,985,16,12,75.0,4,25.0,559,3184,1360,13,19,0,6,7,637,7,Matches
Nenê,brBRA,"MF,FW",43-062,13.4,651,2,64,287,307,29,651,24,11,45.8,10,41.7,332,1555,730,22,16,5,28,13,421,72,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,10.0,429,8,45,199,187,12,429,12,9,75.0,3,25.0,243,1571,691,25,12,2,21,7,281,35,Matches
Marcelinho,brBRA,"FW,MF",21-283,9.1,329,4,58,135,141,21,329,24,10,41.7,12,50.0,191,1488,567,15,13,2,15,11,216,55,Matches
Gilberto,brBRA,FW,35-106,7.6,202,9,21,94,89,29,202,6,4,66.7,2,33.3,82,431,226,11,7,3,21,4,128,28,Matches
