Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Wéverton,brBRA,GK,36-281,25.0,845,670,839,6,0,0,845,0,0,,0,,482,2811,1564,0,0,0,0,1,357,0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,1172,27,225,794,165,12,1172,20,12,60.0,7,35.0,574,2768,1322,18,13,3,24,15,758,21,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,942,129,430,463,59,22,942,10,5,50.0,4,40.0,524,2861,1644,12,8,0,10,2,606,2,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,961,5,55,505,410,39,960,30,14,46.7,10,33.3,519,2566,1373,37,30,5,30,15,654,73,Matches
Estevão,brBRA,FW,18-148,15.5,714,5,72,237,426,99,712,111,53,47.7,54,48.6,474,4042,2275,77,47,37,43,38,521,180,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,887,91,379,460,51,31,886,3,1,33.3,2,66.7,445,2409,1335,4,1,0,2,1,523,5,Matches
José López,arARG,FW,23-288,14.9,425,8,20,183,226,69,425,22,7,31.8,11,50.0,232,1151,414,19,12,7,25,20,314,80,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,935,36,207,434,305,10,934,19,8,42.1,8,42.1,487,2403,1337,29,25,1,16,5,560,73,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,1195,60,383,589,238,9,1195,13,6,46.2,6,46.2,534,2522,1608,18,22,1,11,4,671,51,Matches
Rony,brBRA,FW,29-131,15.2,375,8,22,121,234,78,375,16,7,43.8,8,50.0,206,920,361,17,4,7,24,15,258,100,Matches
Richard Ríos,coCOL,MF,24-109,10.6,590,12,90,353,158,9,590,29,10,34.5,16,55.2,334,1792,747,16,15,0,30,12,387,35,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,690,12,94,351,249,22,690,22,10,45.5,9,40.9,373,1758,882,18,12,3,22,14,467,62,Matches
Mayke,brBRA,DF,31-314,9.6,708,20,174,401,138,18,708,10,7,70.0,3,30.0,353,2159,961,17,14,3,7,5,405,58,Matches
Zé Rafael,brBRA,MF,31-095,9.2,472,9,65,316,104,11,472,18,5,27.8,10,55.6,275,1367,759,9,11,1,14,16,314,19,Matches
Vitor Reis,brBRA,DF,18-251,9.2,560,47,226,319,17,7,560,0,0,,0,,311,1853,880,3,3,0,2,0,345,0,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,505,48,221,264,23,5,505,1,1,100.0,0,0.0,267,1538,1012,2,2,0,5,0,305,2,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,352,2,16,149,190,25,352,27,11,40.7,15,55.6,229,1342,647,27,19,2,10,12,271,69,Matches
Vanderlan,brBRA,DF,22-012,8.2,402,22,84,168,155,14,402,13,3,23.1,10,76.9,204,1035,504,11,13,3,8,6,216,57,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,300,3,34,136,136,25,300,7,1,14.3,4,57.1,172,756,260,6,8,2,11,5,219,56,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,398,10,91,184,127,10,398,24,12,50.0,11,45.8,233,1471,787,18,14,4,16,6,264,46,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,175,2,11,86,85,13,175,22,9,40.9,10,45.5,117,760,343,10,13,3,13,9,126,28,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,364,10,60,146,165,20,364,23,14,60.9,8,34.8,179,1214,714,25,13,6,12,8,243,52,Matches
Fabinho,brBRA,MF,22-163,4.5,249,8,40,155,57,13,249,5,3,60.0,1,20.0,139,554,288,2,3,1,3,7,167,8,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,212,1,20,99,96,8,212,17,5,29.4,9,52.9,142,1050,598,23,12,2,7,3,163,42,Matches
Agustín Giay,arARG,DF,20-247,2.8,255,9,60,138,58,3,255,9,2,22.2,5,55.6,144,696,393,6,6,0,4,2,173,11,Matches
Luan Garcia,brBRA,DF,31-132,2.6,105,13,54,50,1,0,105,2,1,50.0,1,50.0,58,427,250,0,0,0,1,0,68,0,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,2.0,108,1,7,40,61,9,108,10,7,70.0,3,30.0,71,650,344,12,9,5,3,1,87,19,Matches
Romulo,brBRA,"FW,MF",22-348,1.7,82,1,9,22,51,3,82,5,2,40.0,1,20.0,46,230,121,4,6,1,7,1,56,26,Matches
Jhonatan Jowjow,brBRA,MF,22-010,1.6,93,4,11,41,44,7,93,2,1,50.0,1,50.0,55,320,182,4,4,1,4,3,58,12,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,26,21,26,0,0,0,26,0,0,,0,,14,56,35,0,0,0,0,0,13,0,Matches
Luighi,brBRA,"MF,FW",18-142,0.2,13,0,0,8,5,2,13,0,0,,0,,8,51,21,1,1,0,1,0,11,4,Matches
García,brBRA,"MF,FW",22-259,0.1,6,1,2,0,4,2,6,0,0,,0,,2,5,0,0,0,0,1,0,2,0,Matches
Squad Total,,,27.2,26.0,15116,1295,4027,7218,4038,595,15111,490,217,44.3,227,46.3,8203,45537,23961,445,340,98,366,226,9582,1191,
Opponent Total,,,28.3,26.0,13309,1812,4982,5809,2660,406,13307,506,251,49.6,203,40.1,6781,37068,18376,364,266,88,393,259,7785,775,
