Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Luan Cândido,brBRA,DF,23-230,19.0,974,129,380,477,123,20,973,8,2,25.0,6,75.0,435,1796,785,7,10,0,12,2,505,12,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,653,443,640,14,0,0,653,1,1,100.0,0,0.0,347,1833,1047,0,0,0,1,0,286,0,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,749,23,114,400,244,19,749,13,4,30.8,8,61.5,379,1718,863,16,20,2,24,19,498,43,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,579,18,80,210,310,65,579,101,48,47.5,50,49.5,389,3832,2196,70,48,29,49,28,401,111,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,950,62,285,489,186,25,950,20,7,35.0,12,60.0,458,2463,1109,24,21,1,24,14,519,44,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,804,126,411,388,11,2,804,3,2,66.7,1,33.3,457,1919,1206,2,1,1,3,4,512,0,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,409,15,32,183,197,41,408,22,10,45.5,11,50.0,231,1014,380,16,11,2,29,14,303,66,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,742,12,95,329,330,22,742,60,35,58.3,21,35.0,420,2511,1142,35,28,14,29,20,475,74,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,612,32,166,364,83,3,612,8,6,75.0,2,25.0,269,1105,523,5,5,0,14,4,316,13,Matches
Raul,brBRA,MF,28-070,11.8,647,37,173,386,96,5,647,9,6,66.7,1,11.1,348,1609,675,9,12,0,7,5,399,8,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,649,27,91,205,361,44,649,20,9,45.0,10,50.0,357,2012,1222,46,32,19,19,10,404,112,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,771,42,237,379,162,14,771,15,5,33.3,8,53.3,362,1792,1047,16,17,1,14,8,389,29,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,591,91,306,254,35,10,591,5,5,100.0,0,0.0,283,1390,791,6,4,1,9,0,317,1,Matches
Eric Ramires,brBRA,MF,24-040,11.5,548,16,97,280,174,21,548,20,10,50.0,8,40.0,307,1336,557,8,12,2,15,23,364,30,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,647,102,322,303,26,10,647,6,5,83.3,1,16.7,336,1754,932,6,3,0,8,8,369,6,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,586,19,83,279,229,20,585,9,2,22.2,7,77.8,322,1351,717,15,14,4,15,12,384,52,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,426,11,56,214,166,10,426,25,14,56.0,11,44.0,215,1075,452,8,14,1,20,15,243,20,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,273,17,33,106,135,35,273,14,5,35.7,7,50.0,138,508,119,2,7,5,29,22,193,40,Matches
José Hurtado,ecECU,DF,22-271,6.7,382,30,116,152,118,9,382,8,6,75.0,2,25.0,154,882,539,17,10,3,14,1,180,32,Matches
