Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,1467,182,835,610,28,21,1467,0,0,,0,,836,2903,1408,1,3,0,4,0,1072,2,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,471,14,26,221,226,73,471,16,8,50.0,7,43.8,243,971,314,15,8,8,37,24,378,83,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,1294,25,344,632,334,19,1294,42,16,38.1,21,50.0,743,3815,1760,37,36,3,25,12,865,101,Matches
Welington,brBRA,DF,23-213,16.9,1055,34,256,526,285,13,1055,27,15,55.6,11,40.7,543,2510,1496,34,26,3,29,15,676,99,Matches
Alan Franco,arARG,DF,27-344,15.5,1113,142,582,512,29,16,1113,6,5,83.3,1,16.7,728,3499,1686,7,4,0,6,2,813,5,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,661,7,68,357,243,53,659,22,10,45.5,10,45.5,392,1614,507,10,9,2,20,18,514,83,Matches
Alisson,brBRA,MF,31-086,15.0,1196,55,255,766,179,2,1196,26,16,61.5,7,26.9,742,3373,1719,16,23,0,12,12,931,20,Matches
Rafael Pires,brBRA,GK,35-088,15.0,433,398,431,2,0,0,433,0,0,,0,,210,928,476,0,0,0,0,0,203,0,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,783,16,79,430,290,37,782,54,24,44.4,24,44.4,471,2858,1438,44,37,6,36,28,613,79,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,1033,22,242,689,109,5,1033,16,8,50.0,7,43.8,654,3237,1304,18,16,0,18,11,820,11,Matches
Jandrei,brBRA,GK,31-202,11.0,439,397,438,1,0,0,439,0,0,,0,,262,1159,778,0,0,0,1,0,236,0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,561,10,107,353,102,9,561,7,5,71.4,2,28.6,318,1300,570,6,6,1,6,6,416,10,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,359,9,32,165,168,38,359,18,10,55.6,8,44.4,207,1083,506,14,12,3,31,22,277,69,Matches
Diego,brBRA,DF,25-060,9.9,761,81,339,394,31,8,761,3,2,66.7,0,0.0,448,1921,898,4,4,0,7,3,537,2,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,516,11,47,211,274,47,516,65,36,55.4,23,35.4,319,2529,1481,52,37,20,24,7,380,109,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,509,8,61,250,204,12,509,20,6,30.0,13,65.0,299,1504,796,22,16,3,8,10,355,49,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,647,63,288,298,63,16,647,6,5,83.3,1,16.7,334,1473,811,8,6,0,3,0,435,13,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,460,6,57,221,185,21,460,12,7,58.3,5,41.7,277,1555,623,18,17,13,12,12,346,65,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,539,11,121,247,180,24,539,33,18,54.5,13,39.4,302,1677,757,19,24,3,16,11,355,41,Matches
José Sabino,brBRA,DF,27-330,5.0,332,45,190,137,7,3,332,2,1,50.0,1,50.0,181,773,492,1,1,0,1,0,229,1,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,240,14,79,110,53,3,240,4,2,50.0,2,50.0,110,558,260,7,0,2,3,5,147,17,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,224,7,36,120,68,18,224,4,1,25.0,3,75.0,117,636,264,8,6,3,9,2,147,15,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,231,12,58,150,27,1,231,2,1,50.0,1,50.0,129,664,287,4,4,0,8,1,174,6,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,135,0,14,40,86,22,135,25,9,36.0,16,64.0,77,665,413,18,12,6,11,5,85,34,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,112,4,12,48,56,17,112,6,2,33.3,4,66.7,60,419,254,6,6,4,11,3,63,21,Matches
Pablo Maia,brBRA,MF,22-253,2.9,222,1,34,149,39,0,222,3,2,66.7,1,33.3,135,482,193,0,4,0,3,2,178,3,Matches
Rafinha,brBRA,DF,39-012,2.6,225,7,103,101,22,0,225,1,0,0.0,1,100.0,110,244,98,0,0,0,4,1,156,9,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,99,3,30,54,15,0,99,6,2,33.3,4,66.7,53,271,88,2,2,0,0,2,59,10,Matches
Erick,brBRA,"MF,FW",26-284,3.9,195,2,23,74,100,11,195,23,12,52.2,11,47.8,126,923,458,14,9,4,4,8,137,38,Matches
Liziero,brBRA,MF,26-225,1.1,88,2,20,60,8,0,88,1,0,0.0,0,0.0,43,174,85,0,2,0,0,0,65,5,Matches
Ruan,brBRA,DF,25-104,1.0,48,9,32,14,2,2,48,0,0,,0,,21,56,22,0,0,0,0,0,27,0,Matches
Santiago Longo,arARG,MF,26-160,0.8,25,2,9,16,0,0,25,0,0,,0,,14,45,17,0,0,0,0,0,17,1,Matches
Rodrigo,brBRA,MF,20-187,0.7,44,2,9,17,18,4,44,1,0,0.0,1,100.0,22,188,114,5,2,1,3,2,26,4,Matches
James Rodríguez,coCOL,MF,33-069,0.4,48,0,5,31,13,0,48,1,0,0.0,1,100.0,30,130,63,0,1,0,1,0,37,3,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,15,1,6,9,0,0,15,0,0,,0,,4,7,2,0,0,0,0,0,7,0,Matches
Henrique,brBRA,FW,17-315,0.1,6,0,1,5,1,1,6,1,0,0.0,1,100.0,4,23,13,0,0,1,2,0,4,0,Matches
Squad Total,,,29.0,26.0,16586,1602,5269,8020,3445,496,16583,453,223,49.2,200,44.2,9564,46167,22451,390,333,86,355,224,11780,1008,
Opponent Total,,,28.4,26.0,13611,1472,4320,6455,2973,379,13608,433,202,46.7,193,44.6,7694,41164,20731,366,284,79,347,224,8807,838,
