Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Léo Jardim,brBRA,GK,29-183,25.0,708,610,702,6,0,0,708,0,0,,0,,325,2105,1384,0,0,0,0,0,221,0,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,612,31,63,299,255,97,610,12,1,8.3,11,91.7,272,1008,262,7,8,1,51,23,452,78,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,1207,83,394,530,295,24,1207,68,34,50.0,32,47.1,562,3352,1874,48,33,13,26,19,616,77,Matches
Léo Pelé,brBRA,DF,28-197,20.0,1020,145,525,457,38,10,1020,1,0,0.0,1,100.0,587,3324,1903,16,10,0,3,2,685,2,Matches
Maicon,brBRA,DF,36-005,19.9,1147,193,624,493,36,12,1147,2,1,50.0,1,50.0,576,2293,1213,3,9,0,5,2,655,2,Matches
Lucas Piton,brBRA,DF,23-346,19.4,1185,70,367,454,376,17,1185,34,22,64.7,11,32.4,585,3187,1530,45,28,3,24,9,677,101,Matches
David,brBRA,FW,28-338,16.5,621,15,89,259,287,41,621,57,32,56.1,24,42.1,380,2649,1161,37,33,12,48,22,427,119,Matches
Hugo Moura,brBRA,MF,26-260,13.4,718,26,152,457,123,8,718,14,8,57.1,6,42.9,410,2018,1016,12,24,0,6,10,474,19,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,893,31,224,573,106,8,893,17,13,76.5,2,11.8,464,1785,662,7,10,0,20,22,563,16,Matches
Adson,brBRA,FW,23-349,13.6,793,8,105,383,318,39,793,50,25,50.0,24,48.0,478,2848,1434,42,37,7,30,16,575,80,Matches
Juan Sforza,arARG,MF,22-218,11.1,771,33,200,486,89,5,771,6,5,83.3,1,16.7,433,2109,1049,7,10,0,9,6,553,8,Matches
João Victor,brBRA,DF,26-064,9.3,576,73,282,264,39,11,576,9,4,44.4,4,44.4,308,2042,1269,13,10,2,6,3,379,9,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,441,11,93,256,96,7,441,5,1,20.0,4,80.0,220,1039,497,6,6,0,4,5,298,17,Matches
Dimitri Payet,frFRA,MF,37-174,7.8,483,1,49,235,202,7,483,14,7,50.0,5,35.7,263,1262,542,9,12,1,13,12,376,50,Matches
Rossi,brBRA,"FW,MF",31-150,5.6,212,5,34,83,97,7,212,5,1,20.0,3,60.0,102,498,192,7,6,0,9,6,125,45,Matches
Victor Luis,brBRA,DF,31-088,4.4,305,15,85,152,73,4,305,6,3,50.0,3,50.0,138,694,409,7,5,2,2,3,175,16,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,5.9,195,6,37,84,79,21,195,13,7,53.8,4,30.8,104,759,378,11,5,4,12,4,131,38,Matches
