Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,848,712,842,6,0,0,848,0,0,,0,,500,2505,1546,0,0,0,0,0,399,1,Matches
Wagner,brBRA,DF,25-058,24.1,1452,248,776,643,41,27,1451,13,10,76.9,3,23.1,870,4873,2840,15,5,1,9,9,924,2,Matches
Willian,brBRA,MF,31-126,20.6,856,49,200,527,135,43,856,15,2,13.3,8,53.3,498,1914,839,8,11,0,29,19,577,35,Matches
Matheusinho,brBRA,"MF,FW",26-337,18.8,813,6,129,402,294,32,813,49,22,44.9,17,34.7,541,3713,1575,44,35,5,43,34,551,73,Matches
Alerrandro,brBRA,FW,24-251,17.1,484,18,52,255,181,56,481,16,6,37.5,8,50.0,240,844,353,8,3,1,33,21,293,56,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,21.6,1201,66,368,574,265,20,1201,27,11,40.7,15,55.6,600,2792,1360,29,15,6,10,14,663,85,Matches
Willean Lepo,brBRA,DF,27-247,18.0,1163,93,429,504,251,30,1163,82,46,56.1,28,34.1,606,3672,1862,46,22,5,34,17,606,36,Matches
Luan Silva,brBRA,MF,25-128,13.6,640,23,151,418,74,6,640,9,5,55.6,3,33.3,353,1456,523,5,6,0,16,5,394,2,Matches
Osvaldo,brBRA,"MF,FW",37-161,11.9,442,6,70,177,200,26,441,33,12,36.4,19,57.6,307,1950,860,29,18,9,23,20,329,91,Matches
Léo Naldi,brBRA,MF,23-032,11.6,525,31,134,321,72,8,525,12,2,16.7,8,66.7,294,1526,668,11,7,0,13,8,311,18,Matches
Janderson,brBRA,"FW,MF",25-136,10.0,396,12,57,174,172,33,396,40,19,47.5,19,47.5,238,1772,821,26,28,10,42,31,287,57,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,6.7,404,50,203,182,22,2,404,3,3,100.0,0,0.0,251,1246,686,4,2,0,6,2,266,6,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,8.0,442,28,135,168,140,9,442,8,2,25.0,6,75.0,201,1247,711,23,14,1,4,4,235,46,Matches
Patric Calmon PK,brBRA,DF,30-076,5.5,322,26,91,148,90,5,322,15,5,33.3,9,60.0,178,1104,634,14,8,3,6,5,177,35,Matches
Neris,brBRA,DF,32-094,5.1,285,38,144,139,3,2,285,2,1,50.0,1,50.0,167,1080,785,4,1,0,4,2,185,0,Matches
Ricardo,brBRA,MF,30-205,4.7,227,12,55,140,37,0,227,4,2,50.0,1,25.0,126,526,234,1,1,0,8,8,139,7,Matches
Camutanga,brBRA,DF,30-358,5.0,236,27,136,95,7,3,236,1,0,0.0,1,100.0,130,524,273,0,0,0,0,0,133,1,Matches
Bruno Uvini,brBRA,DF,33-108,4.8,229,29,121,108,2,2,229,0,0,,0,,128,593,187,1,0,0,0,0,148,0,Matches
Machado,brBRA,MF,28-243,4.6,225,7,54,124,51,1,225,3,2,66.7,1,33.3,110,387,148,2,3,0,3,5,135,5,Matches
Zeca,brBRA,DF,30-126,4.3,259,18,89,120,53,2,259,4,2,50.0,1,25.0,150,1043,617,14,11,2,0,9,155,12,Matches
Rodrigo Andrade,brBRA,"MF,FW",27-107,4.3,221,11,62,127,36,6,221,6,1,16.7,3,50.0,132,858,451,6,6,1,5,9,136,12,Matches
Dudu,brBRA,MF,25-106,3.3,206,6,49,131,32,2,206,11,7,63.6,4,36.4,115,700,350,4,3,1,5,4,134,8,Matches
Jean Mota,brBRA,MF,30-340,4.1,267,3,41,152,78,8,267,4,0,0.0,2,50.0,157,664,350,3,8,0,7,5,179,18,Matches
Reynaldo Cesar Moraes,brBRA,DF,27-260,4.0,168,28,98,67,4,0,168,0,0,,0,,72,363,187,1,2,0,1,0,88,0,Matches
Carlos Eduardo,brBRA,"FW,MF",27-345,3.2,122,9,25,58,43,10,122,9,5,55.6,4,44.4,64,435,253,9,8,2,11,3,73,17,Matches
Erick Castillo,ecECU,"FW,MF",29-227,3.0,91,4,15,25,51,15,91,15,5,33.3,10,66.7,52,354,102,5,4,5,12,3,63,18,Matches
Mateus Gonçalves Martins,brBRA,"MF,FW",29-357,2.3,77,2,9,41,30,4,77,8,5,62.5,2,25.0,58,494,232,6,5,3,4,7,58,14,Matches
Luiz Adriano,brBRA,FW,37-160,2.2,58,1,5,36,17,7,58,2,0,0.0,2,100.0,25,117,29,1,2,1,1,3,44,9,Matches
Everaldo,brBRA,"MF,FW",30-114,1.6,67,1,12,26,29,2,67,7,3,42.9,2,28.6,46,331,124,4,3,2,6,3,48,18,Matches
Daniel Jr,brBRA,"MF,FW",22-133,1.5,89,0,11,42,38,2,89,11,3,27.3,7,63.6,57,439,158,3,5,0,3,7,64,14,Matches
Gustavo Mosquito,brBRA,FW,27-012,1.3,39,2,10,14,17,2,39,3,1,33.3,2,66.7,24,192,110,4,4,1,1,1,23,6,Matches
José Hugo,brBRA,"MF,FW",24-338,5.6,254,2,31,103,129,20,254,34,16,47.1,16,47.1,180,1352,596,24,15,9,25,23,185,56,Matches
EDU,brBRA,DF,24-095,1.5,60,18,40,20,0,0,60,0,0,,0,,25,141,86,0,0,0,1,0,28,0,Matches
Iury de Castilho,brBRA,"FW,MF",29-013,1.4,48,2,10,16,24,4,48,8,5,62.5,3,37.5,33,246,128,5,5,0,3,5,40,8,Matches
Fábio Soares,brBRA,MF,19-291,1.0,45,3,9,21,16,2,45,5,1,20.0,4,80.0,22,126,24,1,0,0,4,1,28,7,Matches
Lawan,brBRA,FW,19-117,1.0,26,0,2,12,13,2,26,2,0,0.0,1,50.0,10,48,14,0,1,0,3,2,18,5,Matches
Pablo Baianinho,brBRA,"MF,DF",21-047,0.3,18,0,2,6,10,2,18,2,0,0.0,1,50.0,6,43,17,1,0,0,2,0,9,2,Matches
Léo Gamalho,brBRA,FW,38-233,0.2,10,0,0,7,3,0,10,0,0,,0,,7,31,20,1,0,0,0,0,8,1,Matches
Luis Miguel,brBRA,"MF,FW",19-228,0.2,6,0,0,5,1,0,6,0,0,,0,,5,39,27,1,0,0,1,1,6,1,Matches
José Breno,brBRA,MF,20-105,0.1,5,0,1,4,0,0,5,0,0,,0,,2,24,0,0,0,0,0,0,3,0,Matches
Squad Total,,,27.6,26.0,13326,1591,4668,6138,2661,395,13321,463,204,44.1,211,45.6,7580,41764,20780,363,261,68,378,290,8142,782,
Opponent Total,,,28.5,26.0,16743,1357,4568,8392,3899,520,16740,467,199,42.6,227,48.6,9771,49778,26086,425,361,97,359,218,11560,1114,
