,Touches,Take-Ons,Carries,Receiving,Player,Nation,Pos,Age,90s,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,TotDist,PrgDist,PrgC,1/3
877,876,"FW,MF",37,18.9,7,83,403,407,58,46,26,56.5,20,43.5,569,3403,1508,43,48,16,35,719,139,Matches
1354,1352,"DF,MF",27,18.3,35,228,542,595,28,33,16,48.5,14,42.4,842,5225,2196,61,45,9,20,968,180,Matches
1231,1231,"DF,MF",14,17.4,150,508,642,88,10,9,4,44.4,4,44.4,677,3925,2219,16,19,0,0,828,5,Matches
1331,1331,DF,27,15.4,46,383,750,214,9,26,5,19.2,18,69.2,784,3990,2336,36,26,1,10,925,53,Matches
1130,1130,DF,12,14.2,124,493,579,63,6,9,8,88.9,1,11.1,676,3556,2235,14,12,0,1,814,4,Matches
960,960,MF,9,13.9,38,241,619,104,9,14,9,64.3,5,35.7,563,2759,1146,12,11,2,7,682,13,Matches
538,535,FW,29,13.0,9,22,204,316,47,46,20,43.5,24,52.2,323,1662,684,20,18,13,43,425,81,Matches
389,389,GK,2,13.0,332,384,5,0,0,0,0,,0,,215,866,467,0,0,0,0,209,0,Matches
658,658,MF,10,13.0,15,118,365,176,14,5,1,20.0,4,80.0,326,1179,464,3,12,1,4,447,44,Matches
1077,1077,DF,8,12.1,21,252,483,347,31,22,10,45.5,12,54.5,660,3341,1947,39,27,5,2,795,105,Matches
320,320,GK,0,10.0,277,319,1,0,0,0,0,,0,,151,615,340,0,0,0,0,134,0,Matches
314,314,"FW,MF",20,9.3,7,41,145,130,35,15,9,60.0,3,20.0,187,1152,450,13,17,1,14,230,56,Matches
429,429,MF,23,8.0,4,61,246,123,19,16,4,25.0,11,68.8,219,833,307,5,6,0,6,278,30,Matches
546,545,MF,13,8.4,9,87,295,169,19,16,7,43.8,7,43.8,309,1486,722,13,9,3,11,399,41,Matches
369,369,"MF,FW",16,5.9,4,29,172,171,17,21,11,52.4,10,47.6,224,1062,521,20,14,5,6,286,49,Matches
449,449,DF,2,6.2,61,227,207,17,5,2,1,50.0,1,50.0,209,1049,633,2,3,0,1,278,0,Matches
467,467,DF,2,5.6,29,158,254,58,5,3,1,33.3,2,66.7,269,1210,758,10,10,0,1,350,4,Matches
396,396,MF,6,5.6,5,65,254,81,6,8,5,62.5,3,37.5,204,773,329,5,5,0,6,299,12,Matches
397,397,DF,7,5.5,36,155,199,46,6,6,3,50.0,3,50.0,214,1042,583,8,9,0,0,259,4,Matches
227,227,"FW,MF",18,5.6,8,29,97,106,32,9,5,55.6,4,44.4,151,1032,382,9,10,1,13,177,42,Matches
293,293,"DF,MF",14,5.3,7,35,115,146,25,33,14,42.4,14,42.4,201,1578,628,20,14,7,5,221,62,Matches
239,239,DF,1,3.2,30,95,126,20,8,2,1,50.0,1,50.0,138,748,466,2,3,0,1,167,2,Matches
256,255,"DF,MF",17,4.6,3,25,100,135,17,30,10,33.3,17,56.7,155,1262,687,26,16,5,8,188,62,Matches
173,173,MF,8,3.0,10,48,104,23,1,0,0,,0,,84,390,237,5,2,0,3,109,4,Matches
260,260,DF,1,2.9,15,89,146,25,0,3,1,33.3,2,66.7,111,449,279,1,2,0,1,161,0,Matches
145,145,DF,1,2.3,9,67,74,4,0,0,0,,0,,87,390,150,0,1,0,0,105,0,Matches
200,200,DF,0,2.5,12,79,109,15,1,1,1,100.0,0,0.0,116,510,246,4,4,0,0,131,2,Matches
66,66,FW,8,2.2,4,6,37,24,8,3,0,0.0,3,100.0,33,82,25,1,1,0,4,47,13,Matches
148,148,"DF,FW",2,2.0,7,28,70,51,4,5,2,40.0,3,60.0,67,327,160,5,3,0,2,89,15,Matches
171,171,"MF,DF",12,2.3,1,18,101,52,3,4,3,75.0,1,25.0,106,580,223,5,4,0,5,134,25,Matches
19,19,"FW,DF",1,0.7,1,1,4,14,7,0,0,,0,,6,18,15,1,1,0,0,13,6,Matches
18,18,"MF,DF",1,0.1,0,1,11,6,0,1,1,100.0,0,0.0,17,117,42,1,1,0,0,17,4,Matches
7,7,FW,1,0.1,0,0,4,3,0,1,0,0.0,1,100.0,7,23,2,0,0,0,1,7,1,Matches
2,2,MF,0,0.0,0,0,2,0,0,1,0,0.0,1,100.0,1,5,4,0,0,0,0,1,0,Matches
