Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Kaique Rocha,brBRA,DF,23-204,21.6,0,12,3,25.0,0.55,0.14,0.00,0.00,12.3,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
Erick,brBRA,"MF,DF",26-310,18.7,1,28,7,25.0,1.49,0.37,0.04,0.14,16.1,0,0,0,2.5,2.5,0.09,-1.5,-1.5,Matches
Lucas Esquivel,arARG,DF,22-341,17.8,0,12,3,25.0,0.67,0.17,0.00,0.00,28.5,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Fernandinho,brBRA,MF,39-138,15.2,2,15,8,53.3,0.99,0.53,0.07,0.13,28.9,2,1,1,1.4,0.6,0.04,+0.6,+0.4,Matches
Thiago Heleno,brBRA,DF,36-002,14.5,0,9,1,11.1,0.62,0.07,0.00,0.00,13.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Leonardo Linck,brBRA,GK,23-200,13.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christian,brBRA,"MF,FW",23-275,13.3,1,18,4,22.2,1.35,0.30,0.06,0.25,16.3,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
Leonardo Godoy,arARG,DF,29-144,11.9,1,8,1,12.5,0.67,0.08,0.13,1.00,16.3,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,11.9,0,21,6,28.6,1.76,0.50,0.00,0.00,17.3,1,0,0,2.4,2.4,0.11,-2.4,-2.4,Matches
Julimar,brBRA,"FW,MF",23-238,13.3,3,49,18,36.7,3.67,1.35,0.06,0.17,17.0,0,0,0,4.0,4.0,0.08,-1.0,-1.0,Matches
Mateo Gamarra,pyPAR,DF,23-335,11.6,0,18,6,33.3,1.55,0.52,0.00,0.00,17.5,1,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Tomás Cuello,arARG,"FW,MF",24-198,10.5,1,31,10,32.3,2.95,0.95,0.03,0.10,24.2,1,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,9.7,4,28,14,50.0,2.88,1.44,0.14,0.29,16.5,0,0,0,3.0,3.0,0.11,+1.0,+1.0,Matches
Nikão,brBRA,"FW,MF",32-052,9.7,2,33,12,36.4,3.41,1.24,0.06,0.17,19.1,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
Pablo,brBRA,"FW,MF",32-088,10.1,2,25,8,32.0,2.48,0.79,0.08,0.25,20.0,7,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
Gabriel,brBRA,MF,32-071,9.4,1,7,2,28.6,0.74,0.21,0.14,0.50,23.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Gonzalo Mastriani,uyURU,FW,31-144,8.7,4,28,10,35.7,3.21,1.15,0.14,0.40,14.0,0,0,0,3.3,3.3,0.12,+0.7,+0.7,Matches
Bento,brBRA,GK,25-101,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Di Yorio,arARG,FW,27-302,6.9,3,16,7,43.8,2.33,1.02,0.19,0.43,11.1,0,0,0,2.9,2.9,0.19,+0.1,+0.1,Matches
Fernando,brBRA,DF,25-005,5.8,0,1,0,0.0,0.17,0.00,0.00,,24.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mádson,brBRA,DF,32-250,7.6,0,3,0,0.0,0.40,0.00,0.00,,16.5,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
João Machado Cruz,brBRA,MF,18-130,4.3,1,10,3,30.0,2.34,0.70,0.10,0.33,22.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Mycael,brBRA,GK,20-191,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Filipinho,brBRA,MF,22-337,1.9,0,2,0,0.0,1.03,0.00,0.00,,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Emersonn,brBRA,"FW,MF",20-065,1.8,0,5,1,20.0,2.80,0.56,0.00,0.00,17.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
José Vitor Silva Neves,brBRA,"MF,FW",24-140,2.0,0,3,1,33.3,1.53,0.51,0.00,0.00,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Alex Santana,brBRA,"MF,FW",29-129,1.1,0,1,0,0.0,0.89,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bruno Praxedes,brBRA,"MF,FW",22-224,0.3,0,2,0,0.0,7.83,0.00,0.00,,26.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Kayke Santos,brBRA,FW,16-146,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.3,24.0,26,385,125,32.5,16.04,5.21,0.06,0.20,18.3,13,1,1,31.9,31.2,0.08,-5.9,-6.2,
Opponent Total,,,28.0,24.0,29,313,107,34.2,13.04,4.46,0.09,0.27,19.3,16,0,1,30.8,30.3,0.10,-1.8,-1.3,
