Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Adriano Martins,brBRA,DF,27-171,22.6,0,15,5,33.3,0.66,0.22,0.00,0.00,14.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
Guilherme Romão,brBRA,DF,26-348,22.5,1,28,9,32.1,1.25,0.40,0.04,0.11,16.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,21.9,6,46,15,32.6,2.10,0.68,0.13,0.40,18.6,0,0,0,4.0,4.0,0.09,+2.0,+2.0,Matches
Ronaldo,brBRA,GK,28-028,22.0,0,1,0,0.0,0.05,0.00,0.00,,10.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Shaylon,brBRA,"FW,MF",27-145,19.2,2,37,7,18.9,1.92,0.36,0.03,0.14,21.8,2,1,2,3.7,2.2,0.06,-1.7,-1.2,Matches
Gabriel Baralhas,brBRA,MF,25-345,16.6,1,29,10,34.5,1.75,0.60,0.03,0.10,22.4,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches
Rhaldney,brBRA,MF,25-304,16.4,0,10,5,50.0,0.61,0.31,0.00,0.00,18.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Maguinho,brBRA,DF,31-257,15.1,0,14,3,21.4,0.93,0.20,0.00,0.00,19.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Alix Vinicius,brBRA,DF,24-318,12.7,0,12,2,16.7,0.95,0.16,0.00,0.00,15.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Emiliano Rodríguez,uyURU,FW,21-065,12.2,0,30,10,33.3,2.46,0.82,0.00,0.00,13.9,0,0,0,2.8,2.8,0.09,-2.8,-2.8,Matches
Lucas Kal,brBRA,"MF,DF",28-187,12.8,0,10,1,10.0,0.78,0.08,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Alejo Cruz,uyURU,"MF,FW",24-018,13.2,1,13,3,23.1,0.98,0.23,0.00,0.00,24.7,4,1,1,1.6,0.8,0.06,-0.6,-0.8,Matches
Luiz Felipe,brBRA,DF,31-010,9.1,1,6,2,33.3,0.66,0.22,0.17,0.50,8.5,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
Bruno Tubarão,brBRA,DF,29-198,8.1,0,7,2,28.6,0.87,0.25,0.00,0.00,27.5,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Budiga Roni,brBRA,"MF,DF",25-157,7.9,1,7,3,42.9,0.89,0.38,0.14,0.33,23.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
Pedrão,brBRA,DF,31-276,6.1,0,4,2,50.0,0.65,0.33,0.00,0.00,16.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Gonzalo Freitas,uyURU,MF,32-353,6.0,0,13,5,38.5,2.17,0.83,0.00,0.00,20.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Janderson,brBRA,"FW,MF",25-206,5.9,0,9,4,44.4,1.54,0.68,0.00,0.00,16.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Joel Campbell,crCRC,"MF,FW",32-085,4.7,2,8,2,25.0,1.69,0.42,0.13,0.50,17.1,1,1,1,1.8,1.0,0.12,+0.2,0.0,Matches
Derek,brBRA,FW,26-292,4.5,1,13,3,23.1,2.91,0.67,0.08,0.33,13.0,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
Jan Carlos Hurtado,veVEN,FW,24-198,4.3,2,15,9,60.0,3.45,2.07,0.13,0.22,19.2,1,0,0,1.2,1.2,0.08,+0.8,+0.8,Matches
Pedro Rangel,brBRA,GK,24-082,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vágner Love,brBRA,"FW,MF",40-100,2.0,1,6,2,33.3,3.07,1.02,0.17,0.50,8.8,0,0,0,1.5,1.5,0.25,-0.5,-0.5,Matches
Yony González,coCOL,"FW,MF",30-070,3.0,0,5,1,20.0,1.69,0.34,0.00,0.00,14.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Yeferson Rodallega,coCOL,DF,23-301,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Philipe Sampaio,brBRA,DF,29-313,1.0,0,1,0,0.0,1.00,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Gabriel Barros,brBRA,"FW,MF",22-330,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
