Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Paulinho,brBRA,"FW,MF",24-066,18.9,6,31,15,48.4,1.64,0.79,0.16,0.33,16.2,0,1,1,4.4,3.7,0.12,+1.6,+1.3,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,18.6,4,55,16,29.1,2.95,0.86,0.04,0.13,27.4,9,2,2,3.7,2.1,0.04,+0.3,-0.1,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,18.4,0,9,2,22.2,0.49,0.11,0.00,0.00,17.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Renzo Saravia,arARG,DF,31-095,15.7,0,9,1,11.1,0.57,0.06,0.00,0.00,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Bruno Fuchs,brBRA,DF,25-171,15.2,0,3,1,33.3,0.20,0.07,0.00,0.00,14.5,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
Hulk,brBRA,FW,38-056,14.0,7,53,12,22.6,3.79,0.86,0.08,0.33,24.6,21,3,3,6.6,4.3,0.08,+0.4,-0.3,Matches
Otávio,brBRA,MF,30-138,13.9,0,7,2,28.6,0.50,0.14,0.00,0.00,31.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Éverson,brBRA,GK,34-059,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alan Franco,ecECU,MF,26-029,13.0,0,11,2,18.2,0.85,0.15,0.00,0.00,18.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
Guilherme Arana,brBRA,DF,27-158,12.1,1,20,8,40.0,1.65,0.66,0.05,0.13,24.9,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,10.0,2,15,6,40.0,1.49,0.60,0.13,0.33,12.2,0,0,0,1.9,1.9,0.12,+0.1,+0.1,Matches
Matheus Mendes,brBRA,GK,25-193,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Igor Gomes,brBRA,MF,25-186,9.1,1,10,3,30.0,1.10,0.33,0.00,0.00,23.7,0,1,1,1.5,0.7,0.07,-0.5,-0.7,Matches
Federico Zaracho,arARG,MF,26-193,8.0,2,10,4,40.0,1.24,0.50,0.20,0.50,19.2,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
Fausto Vera,arARG,MF,24-177,6.6,0,17,1,5.9,2.59,0.15,0.00,0.00,25.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Bernard,brBRA,"MF,FW",32-011,6.2,0,5,0,0.0,0.81,0.00,0.00,,22.0,1,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Igor Rabello,brBRA,DF,29-144,6.2,0,5,1,20.0,0.81,0.16,0.00,0.00,14.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Júnior Alonso,pyPAR,DF,31-223,5.6,1,4,1,25.0,0.71,0.18,0.25,1.00,18.3,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
Rômulo,brBRA,DF,20-232,5.5,1,7,1,14.3,1.27,0.18,0.14,1.00,20.9,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Eduardo Vargas,clCHI,"FW,MF",34-304,5.6,5,21,8,38.1,3.76,1.43,0.24,0.63,12.7,0,0,0,3.2,3.2,0.15,+1.8,+1.8,Matches
Alisson,brBRA,"DF,MF",18-364,5.3,0,18,4,22.2,3.38,0.75,0.00,0.00,20.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Brahian Palacios,coCOL,"DF,MF",21-300,5.3,2,17,10,58.8,3.23,1.90,0.06,0.10,23.3,1,1,1,1.6,0.8,0.05,+0.4,+0.2,Matches
Mariano,brBRA,DF,38-088,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mauricio Lemos,uyURU,DF,28-266,3.2,0,2,0,0.0,0.62,0.00,0.00,,22.7,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Lyanco,brBRA,DF,27-231,3.5,0,1,0,0.0,0.28,0.00,0.00,,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Paulo Vitor,brBRA,MF,20-024,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rubens,brBRA,"DF,FW",23-090,2.8,0,5,0,0.0,1.76,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jemerson,brBRA,DF,32-026,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Deyverson,brBRA,FW,33-134,2.5,0,1,0,0.0,0.41,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Pedrinho,brBRA,"MF,DF",26-159,2.3,0,4,0,0.0,1.74,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Alan Kardec,brBRA,"FW,DF",35-251,0.9,0,4,1,25.0,4.44,1.11,0.00,0.00,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Robert Conceição,brBRA,"MF,DF",21-061,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Isaac,brBRA,FW,20-177,0.1,0,1,0,0.0,10.00,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Victor Hugo,brBRA,MF,19-313,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.6,24.0,32,345,99,28.7,14.37,4.12,0.07,0.24,21.8,33,8,8,30.0,23.7,0.07,+2.0,+0.3,
Opponent Total,,,28.9,24.0,36,272,99,36.4,11.33,4.12,0.13,0.34,18.8,15,2,3,27.5,25.0,0.09,+8.5,+9.0,
