Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marcos Felipe,brBRA,GK,28-159,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean Lucas,brBRA,MF,26-089,23.4,3,49,14,28.6,2.09,0.60,0.06,0.21,22.6,1,0,0,4.2,4.2,0.09,-1.2,-1.2,Matches
Gabriel,brBRA,DF,23-136,24.0,0,14,5,35.7,0.58,0.21,0.00,0.00,12.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Caio Alexandre,brBRA,MF,25-208,22.3,2,16,4,25.0,0.72,0.18,0.13,0.50,24.7,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,21.3,2,33,8,24.2,1.55,0.37,0.06,0.25,19.3,4,0,0,2.4,2.4,0.07,-0.4,-0.4,Matches
Luciano Juba,brBRA,DF,25-021,22.9,3,16,6,37.5,0.70,0.26,0.19,0.50,23.5,8,0,0,0.9,0.9,0.06,+2.1,+2.1,Matches
Everton Ribeiro,brBRA,MF,35-162,20.2,2,19,7,36.8,0.94,0.35,0.11,0.29,24.4,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
Thaciano,brBRA,FW,29-130,19.2,6,43,13,30.2,2.24,0.68,0.14,0.46,14.3,0,0,0,4.2,4.2,0.10,+1.8,+1.8,Matches
Everaldo Stum,brBRA,FW,33-076,17.7,7,45,21,46.7,2.55,1.19,0.13,0.29,15.3,1,1,1,5.4,4.7,0.11,+1.6,+1.3,Matches
Kanu,brBRA,DF,27-196,20.0,0,4,1,25.0,0.20,0.05,0.00,0.00,13.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Santiago Arias,coCOL,DF,32-250,14.2,0,5,2,40.0,0.35,0.14,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Gilberto,brBRA,DF,31-196,10.3,1,9,3,33.3,0.87,0.29,0.11,0.33,20.6,0,0,0,1.2,1.2,0.14,-0.2,-0.2,Matches
Víctor Cuesta,arARG,DF,35-305,5.1,0,2,1,50.0,0.39,0.20,0.00,0.00,20.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Ademir Santos,brBRA,"FW,MF",29-216,6.0,1,10,4,40.0,1.66,0.66,0.10,0.25,19.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
Rezende,brBRA,"MF,DF",29-261,5.9,0,4,0,0.0,0.68,0.00,0.00,,7.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Biel,brBRA,"FW,MF",23-171,7.7,4,22,8,36.4,2.87,1.04,0.18,0.50,17.0,0,0,0,3.8,3.8,0.17,+0.2,+0.2,Matches
Carlos de Pena,uyURU,MF,32-192,6.0,0,11,2,18.2,1.82,0.33,0.00,0.00,21.9,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Iago,brBRA,"DF,MF",27-180,4.1,0,2,2,100.0,0.49,0.49,0.00,0.00,10.3,0,0,0,0.7,0.7,0.35,-0.7,-0.7,Matches
Oscar Estupiñan,coCOL,"FW,MF",27-265,2.8,3,13,8,61.5,4.64,2.86,0.23,0.38,11.2,0,0,0,3.4,3.4,0.26,-0.4,-0.4,Matches
Luciano Rodríguez,uyURU,FW,21-065,1.9,1,10,5,50.0,5.36,2.68,0.10,0.20,19.7,1,0,0,1.6,1.6,0.17,-0.6,-0.6,Matches
Cicinho,bgBUL,"DF,FW",35-268,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Duarte,brBRA,DF,29-239,0.8,1,1,1,100.0,1.20,1.20,1.00,1.00,5.6,0,0,0,0.1,0.1,0.15,+0.9,+0.9,Matches
Rafael Ratão,brBRA,"FW,MF",28-294,2.4,1,7,3,42.9,2.90,1.24,0.14,0.33,16.3,0,0,0,1.7,1.7,0.24,-0.7,-0.7,Matches
Yago,brBRA,MF,29-229,0.3,0,2,0,0.0,6.00,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Vitor Hugo,brBRA,DF,33-122,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tiago,brBRA,FW,19-164,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ruan Pablo,brBRA,MF,16-058,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.6,26.0,37,337,118,35.0,12.96,4.54,0.11,0.31,18.4,17,1,1,34.1,33.4,0.10,+2.9,+2.6,
Opponent Total,,,28.2,26.0,27,336,111,33.0,12.92,4.27,0.08,0.24,19.5,21,0,0,27.1,27.1,0.08,-0.1,-0.1,
