Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Bastos,aoANG,DF,33-176,22.9,3,13,4,30.8,0.57,0.17,0.23,0.75,10.1,0,0,0,1.1,1.1,0.08,+1.9,+1.9,Matches
John,brBRA,GK,28-219,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,18.4,5,35,13,37.1,1.90,0.71,0.11,0.31,20.9,0,1,1,3.5,2.7,0.08,+1.5,+1.3,Matches
Marlon Freitas,brBRA,MF,29-176,18.5,0,15,4,26.7,0.81,0.22,0.00,0.00,23.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Lucas Halter,brBRA,DF,24-140,14.8,1,10,3,30.0,0.68,0.20,0.10,0.33,14.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Júnior Santos,brBRA,FW,29-344,14.6,3,38,15,39.5,2.60,1.03,0.08,0.20,16.5,0,0,0,5.4,5.4,0.14,-2.4,-2.4,Matches
Gregore,brBRA,MF,30-201,14.1,0,11,4,36.4,0.78,0.28,0.00,0.00,16.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Cuiabano,brBRA,DF,21-216,13.4,4,24,11,45.8,1.79,0.82,0.17,0.36,17.9,0,0,0,1.3,1.3,0.06,+2.7,+2.7,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,14.7,0,15,5,33.3,1.02,0.34,0.00,0.00,25.0,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Damián Suárez,uyURU,DF,36-145,13.8,0,6,0,0.0,0.43,0.00,0.00,,27.4,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Alexander Barboza,arARG,DF,29-187,12.6,0,14,3,21.4,1.11,0.24,0.00,0.00,17.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Danilo Barbosa,brBRA,MF,28-204,11.9,3,12,5,41.7,1.01,0.42,0.25,0.60,17.3,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Matches
Jefferson Savarino,veVEN,"MF,FW",27-313,13.1,4,32,16,50.0,2.43,1.22,0.13,0.25,20.1,1,0,0,3.1,2.8,0.09,+0.9,+1.2,Matches
Mateo Ponte,uyURU,DF,21-118,9.4,3,10,3,30.0,1.07,0.32,0.30,1.00,14.8,0,0,0,1.4,1.4,0.14,+1.6,+1.6,Matches
Tiquinho Soares,brBRA,"FW,MF",33-246,11.1,4,18,5,27.8,1.62,0.45,0.11,0.40,14.1,0,2,2,5.2,3.6,0.20,-1.2,-1.6,Matches
Fernando Marçal,brBRA,DF,35-213,8.3,1,6,2,33.3,0.72,0.24,0.17,0.50,20.7,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Igor,brBRA,"FW,MF",23-207,7.3,4,25,14,56.0,3.42,1.91,0.16,0.29,11.7,0,0,0,3.5,3.5,0.14,+0.5,+0.5,Matches
Carlos Eduardo,brBRA,"FW,MF",34-338,6.8,2,8,5,62.5,1.17,0.73,0.25,0.40,20.9,1,0,1,1.5,0.7,0.08,+0.5,+1.3,Matches
