Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,22.7,4,47,21,44.7,2.07,0.92,0.06,0.14,25.2,9,1,1,3.4,2.6,0.06,+0.6,+0.4,Matches
Raniele,brBRA,"MF,DF",27-263,19.4,0,19,6,31.6,0.98,0.31,0.00,0.00,18.9,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
Hugo,brBRA,DF,27-021,19.3,0,13,3,23.1,0.68,0.16,0.00,0.00,18.8,1,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Cacá,brBRA,DF,25-147,19.8,3,20,5,25.0,1.01,0.25,0.15,0.60,13.8,0,0,0,3.4,3.4,0.17,-0.4,-0.4,Matches
Wesley,brBRA,FW,19-198,16.0,2,30,13,43.3,1.88,0.81,0.07,0.15,20.1,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
Félix Torres Caicedo,ecECU,DF,27-252,15.5,0,8,1,12.5,0.52,0.06,0.00,0.00,10.5,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Yuri Alberto,brBRA,FW,23-185,15.7,4,46,15,32.6,2.93,0.96,0.07,0.20,16.7,0,1,1,4.2,3.4,0.07,-0.2,-0.4,Matches
Matheuzinho,brBRA,DF,24-011,15.9,0,10,4,40.0,0.63,0.25,0.00,0.00,21.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Ángel Romero,pyPAR,FW,32-077,12.1,3,28,7,25.0,2.31,0.58,0.11,0.43,17.0,4,0,1,3.3,2.5,0.09,-0.3,+0.5,Matches
Breno,brBRA,MF,19-212,11.6,0,11,5,45.5,0.95,0.43,0.00,0.00,29.8,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Igor Coronado,brBRA,"MF,FW",32-032,12.4,1,30,6,20.0,2.43,0.49,0.03,0.17,26.9,6,0,0,0.9,0.9,0.03,+0.1,+0.1,Matches
Hugo Souza,brBRA,GK,25-232,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Ramalho,brBRA,DF,32-216,9.0,0,7,1,14.3,0.78,0.11,0.00,0.00,18.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Gustavo Henrique,brBRA,DF,31-179,8.2,0,9,1,11.1,1.10,0.12,0.00,0.00,12.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
Fagner,brBRA,"DF,MF",35-100,7.7,0,4,1,25.0,0.52,0.13,0.00,0.00,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Matheus Donelli,brBRA,GK,22-125,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Carlos Miguel,brBRA,GK,25-346,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Gustavo,brBRA,MF,21-066,5.8,0,4,2,50.0,0.68,0.34,0.00,0.00,21.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Matheus Bidu,brBRA,DF,25-138,6.2,1,10,3,30.0,1.62,0.49,0.10,0.33,22.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Pedro Raul,brBRA,FW,27-319,5.8,0,14,4,28.6,2.40,0.69,0.00,0.00,13.8,0,0,0,1.4,1.4,0.10,-1.4,-1.4,Matches
Gustavo Mosquito,brBRA,FW,27-012,4.5,1,5,1,20.0,1.12,0.22,0.20,1.00,15.3,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
Alex Santana,brBRA,MF,29-129,3.8,0,7,1,14.3,1.82,0.26,0.00,0.00,20.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Pedro Henrique,brBRA,"FW,MF",34-095,3.8,1,10,3,30.0,2.64,0.79,0.10,0.33,15.4,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Caetano,brBRA,DF,25-087,3.1,0,1,0,0.0,0.32,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Talles Magno,brBRA,"MF,FW",22-085,2.2,2,5,3,60.0,2.24,1.34,0.40,0.67,9.8,0,0,0,0.8,0.8,0.16,+1.2,+1.2,Matches
Charles Rigon Matos,brBRA,"MF,DF",28-092,3.6,0,3,2,66.7,0.84,0.56,0.00,0.00,22.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Cássio,brBRA,GK,37-105,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Léo Mana,brBRA,DF,20-166,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fausto Vera,arARG,MF,24-177,2.4,0,7,3,42.9,2.97,1.27,0.00,0.00,26.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
