Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,22.6,2,23,6,26.1,1.02,0.27,0.09,0.33,19.6,3,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches
Gustavo,brBRA,GK,31-193,21.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20.0,1,10,4,40.0,0.50,0.20,0.10,0.25,14.2,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
Yannick Bolasie,cdCOD,FW,35-118,17.4,6,56,25,44.6,3.21,1.43,0.11,0.24,17.7,0,0,0,6.2,6.2,0.11,-0.2,-0.2,Matches
Barreto,brBRA,MF,28-284,16.4,2,15,6,40.0,0.92,0.37,0.13,0.33,19.8,0,0,0,2.4,2.4,0.19,-0.4,-0.4,Matches
Claudinho,brBRA,DF,23-361,16.7,2,16,5,31.3,0.96,0.30,0.13,0.40,24.3,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
Newton,brBRA,MF,24-191,15.7,1,20,5,25.0,1.28,0.32,0.05,0.20,22.9,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Arthur,brBRA,FW,32-096,13.8,4,37,11,29.7,2.68,0.80,0.11,0.36,16.9,1,0,0,4.3,4.3,0.12,-0.3,-0.3,Matches
Miguel Trauco,pePER,DF,32-025,12.4,2,11,3,27.3,0.89,0.24,0.18,0.67,26.3,1,0,0,0.3,0.3,0.03,+1.7,+1.7,Matches
Matheusinho,brBRA,"MF,FW",26-221,11.6,5,30,9,30.0,2.59,0.78,0.17,0.56,18.1,0,0,0,3.6,3.6,0.12,+1.4,+1.4,Matches
Higor Meritão,brBRA,MF,30-088,10.8,2,16,5,31.3,1.48,0.46,0.13,0.40,24.0,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,12.9,2,24,12,50.0,1.86,0.93,0.08,0.17,21.9,3,0,0,1.0,1.0,0.04,+1.0,+1.0,Matches
Tobias Figueiredo,ptPOR,DF,30-230,11.1,1,5,2,40.0,0.45,0.18,0.20,0.50,11.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Wilker Ángel,veVEN,DF,31-185,9.8,1,8,5,62.5,0.82,0.51,0.13,0.20,13.1,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Marquinhos Gabriel,brBRA,MF,34-060,9.4,0,16,4,25.0,1.70,0.43,0.00,0.00,23.9,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
