Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,23.1,6,54,18,33.3,2.34,0.78,0.11,0.33,21.2,2,0,0,3.9,3.8,0.07,+2.1,+2.2,Matches
William,brBRA,DF,29-169,22.4,5,24,8,33.3,1.07,0.36,0.08,0.25,23.8,1,3,3,3.8,1.4,0.06,+1.2,+0.6,Matches
João Marcelo,brBRA,DF,24-098,22.0,0,12,3,25.0,0.55,0.14,0.00,0.00,13.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Lucas Romero,arARG,MF,30-154,20.0,0,11,3,27.3,0.55,0.15,0.00,0.00,24.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Zé Ivaldo,brBRA,DF,27-211,21.5,0,25,8,32.0,1.16,0.37,0.00,0.00,20.5,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
Lucas Silva,brBRA,MF,31-216,15.0,1,15,5,33.3,1.00,0.33,0.07,0.20,26.8,1,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Marlon,brBRA,DF,27-122,15.9,0,7,0,0.0,0.44,0.00,0.00,,24.0,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Anderson,brBRA,GK,26-198,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Arthur,brBRA,FW,26-078,14.1,2,30,13,43.3,2.12,0.92,0.07,0.15,19.3,1,0,0,1.6,1.6,0.05,+0.4,+0.4,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,11.9,2,24,8,33.3,2.01,0.67,0.08,0.25,21.8,2,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches
Ramiro Benetti,brBRA,MF,31-120,11.0,1,6,2,33.3,0.55,0.18,0.17,0.50,16.7,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,10.0,4,12,7,58.3,1.20,0.70,0.33,0.57,13.2,0,0,0,2.6,2.6,0.21,+1.4,+1.4,Matches
Cássio,brBRA,GK,37-105,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kaiki,brBRA,DF,21-195,9.4,0,6,2,33.3,0.64,0.21,0.00,0.00,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,8.9,2,15,5,33.3,1.68,0.56,0.13,0.40,23.8,0,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
Rafael Silva,brBRA,FW,32-168,5.9,3,10,6,60.0,1.71,1.02,0.30,0.50,8.6,0,0,0,1.7,1.7,0.17,+1.3,+1.3,Matches
Kaio Jorge,brBRA,FW,22-239,7.0,1,17,5,29.4,2.44,0.72,0.06,0.20,14.8,0,0,1,2.1,1.3,0.08,-1.1,-0.3,Matches
Lucas Villalba,arARG,DF,30-031,6.7,0,1,0,0.0,0.15,0.00,0.00,,7.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Lautaro Díaz,arARG,FW,26-121,4.5,1,5,3,60.0,1.11,0.67,0.20,0.33,18.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Neris,brBRA,DF,32-094,3.4,0,1,1,100.0,0.30,0.30,0.00,0.00,17.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Walace,brBRA,MF,29-168,3.2,0,3,0,0.0,0.95,0.00,0.00,,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Robert,brBRA,"MF,FW",19-159,4.4,0,8,2,25.0,1.82,0.45,0.00,0.00,23.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
