Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Walter,brBRA,GK,36-306,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marllon Borges,brBRA,DF,32-156,23.0,1,14,3,21.4,0.61,0.13,0.07,0.33,12.7,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Isidro Pitta,pyPAR,FW,25-036,21.3,7,54,19,35.2,2.53,0.89,0.07,0.21,17.6,0,3,4,8.9,5.7,0.11,-1.9,-1.7,Matches
Alan Empereur,brBRA,DF,30-193,20.8,0,10,0,0.0,0.48,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Lucas Mineiro,brBRA,MF,28-208,19.9,0,11,1,9.1,0.55,0.05,0.00,0.00,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Denilson,brBRA,MF,23-180,16.5,0,20,5,25.0,1.21,0.30,0.00,0.00,24.6,1,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Ramon,brBRA,DF,23-190,17.4,2,13,3,23.1,0.75,0.17,0.15,0.67,21.6,1,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
Matheus Alexandre,brBRA,DF,25-165,16.3,0,3,0,0.0,0.18,0.00,0.00,,25.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Clayson,brBRA,"FW,MF",29-184,12.5,4,30,9,30.0,2.41,0.72,0.13,0.44,19.7,6,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,13.1,1,13,7,53.8,0.99,0.53,0.08,0.14,13.2,0,0,0,2.2,2.2,0.17,-1.2,-1.2,Matches
Max,brBRA,MF,23-130,11.2,1,22,5,22.7,1.96,0.45,0.05,0.20,23.6,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Fernando Sobral,brBRA,MF,29-277,12.6,1,13,2,15.4,1.03,0.16,0.00,0.00,27.9,1,1,1,1.2,0.5,0.04,-0.2,-0.5,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,10.4,0,6,2,33.3,0.58,0.19,0.00,0.00,20.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,10.4,2,18,4,22.2,1.73,0.39,0.11,0.50,14.7,0,0,0,1.4,1.4,0.08,+0.6,+0.6,Matches
Railan,brBRA,"DF,FW",24-193,8.9,0,10,2,20.0,1.12,0.22,0.00,0.00,22.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,6.6,1,12,7,58.3,1.82,1.06,0.08,0.14,26.0,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
Rikelme,brBRA,DF,21-065,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,26.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Filipe Augusto,brBRA,MF,31-038,4.3,0,4,2,50.0,0.92,0.46,0.00,0.00,22.3,1,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Juan Pablo,brBRA,DF,22-147,2.8,0,2,0,0.0,0.72,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
André Luis,brBRA,"FW,MF",27-151,4.6,0,4,2,50.0,0.87,0.43,0.00,0.00,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Deyverson,brBRA,FW,33-134,2.4,1,5,3,60.0,2.05,1.23,0.20,0.33,15.2,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,3.6,1,8,3,37.5,2.22,0.83,0.13,0.33,11.8,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
Mateus Pasinato,brBRA,GK,32-083,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,1.2,0,3,1,33.3,2.60,0.87,0.00,0.00,14.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Luciano Giménez,arARG,"FW,MF",24-214,0.8,0,2,0,0.0,2.47,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,0.5,0,1,0,0.0,2.05,0.00,0.00,,9.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Jadson,brBRA,MF,19-040,0.2,0,1,1,100.0,6.43,6.43,0.00,0.00,6.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Squad Total,,,28.4,25.0,22,281,82,29.2,11.24,3.28,0.06,0.22,19.3,12,4,5,24.3,20.4,0.07,-2.3,-2.4,
Opponent Total,,,28.2,25.0,38,330,123,37.3,13.20,4.92,0.10,0.27,18.5,11,5,5,32.8,28.9,0.09,+5.2,+4.1,
