Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Agustín Rossi,arARG,GK,29-029,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerson,brBRA,"MF,FW",27-122,20.3,2,26,9,34.6,1.28,0.44,0.08,0.22,19.3,0,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches
Fabrício Bruno,brBRA,DF,28-220,19.6,1,6,3,50.0,0.31,0.15,0.17,0.33,12.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
Pedro,brBRA,FW,27-091,18.4,11,42,22,52.4,2.29,1.20,0.17,0.32,15.8,0,4,5,10.6,6.7,0.16,+0.4,+0.3,Matches
Ayrton Lucas,brBRA,DF,27-092,16.9,1,24,3,12.5,1.42,0.18,0.04,0.33,24.4,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,16.7,3,45,16,35.6,2.69,0.96,0.07,0.19,21.5,1,0,0,2.1,2.1,0.05,+0.9,+0.9,Matches
Léo Pereira,brBRA,DF,28-232,16.2,0,3,0,0.0,0.19,0.00,0.00,,7.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Wesley,brBRA,DF,21-013,16.2,0,9,2,22.2,0.56,0.12,0.00,0.00,20.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
David Luiz,brBRA,DF,37-150,13.7,2,11,5,45.5,0.80,0.36,0.18,0.40,20.5,2,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
Bruno Henrique,brBRA,FW,33-264,13.8,5,32,12,37.5,2.32,0.87,0.16,0.42,18.2,0,0,0,3.6,3.6,0.11,+1.4,+1.4,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,13.2,0,8,1,12.5,0.61,0.08,0.00,0.00,12.3,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Allan,brBRA,MF,27-200,12.5,0,7,3,42.9,0.56,0.24,0.00,0.00,31.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Erick Pulgar,clCHI,MF,30-248,11.2,0,6,2,33.3,0.54,0.18,0.00,0.00,15.0,0,0,0,0.8,0.7,0.11,-0.8,-0.7,Matches
Everton Soares,brBRA,FW,28-181,6.0,1,20,10,50.0,3.35,1.68,0.05,0.10,22.3,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,8.7,4,15,8,53.3,1.73,0.92,0.27,0.50,18.4,0,0,0,1.5,1.5,0.10,+2.5,+2.5,Matches
Nicolás De La Cruz,uyURU,MF,27-110,8.6,2,18,7,38.9,2.09,0.81,0.11,0.29,26.1,5,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
Guillermo Varela,uyURU,DF,31-179,8.2,0,2,1,50.0,0.24,0.12,0.00,0.00,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Lorran,brBRA,"MF,FW",18-077,6.6,1,16,8,50.0,2.42,1.21,0.06,0.13,16.1,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
Matías Viña,uyURU,DF,26-315,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,17.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Carlinhos,brBRA,FW,27-220,4.1,2,11,4,36.4,2.70,0.98,0.18,0.50,13.6,0,0,0,2.2,2.2,0.20,-0.2,-0.2,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,2.2,0,7,2,28.6,3.12,0.89,0.00,0.00,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Igor,brBRA,MF,21-196,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,3.5,2,7,3,42.9,1.99,0.85,0.14,0.33,19.8,0,1,1,2.2,1.4,0.20,-0.2,-0.4,Matches
Victor Hugo,brBRA,"FW,MF",20-131,2.9,0,7,2,28.6,2.40,0.69,0.00,0.00,21.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Matheus Cunha,brBRA,GK,23-118,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael,brBRA,FW,28-191,1.0,1,3,2,66.7,3.00,2.00,0.33,0.50,8.9,0,0,0,0.9,0.9,0.30,+0.1,+0.1,Matches
Gonzalo Plata,ecECU,FW,23-323,1.0,0,4,0,0.0,4.00,0.00,0.00,,14.6,0,0,0,0.7,0.7,0.16,-0.7,-0.7,Matches
Alex Sandro,brBRA,DF,33-237,1.0,0,1,0,0.0,1.00,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Evertton,brBRA,MF,21-204,1.0,1,2,1,50.0,2.00,1.00,0.50,1.00,12.7,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches
Werton,brBRA,"MF,FW",21-003,0.5,0,2,0,0.0,3.67,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Carlos Alcaraz,arARG,MF,21-294,0.5,0,1,0,0.0,2.05,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Cleiton,brBRA,DF,21-147,0.1,0,1,0,0.0,18.00,0.00,0.00,,12.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Squad Total,,,28.2,25.0,39,339,127,37.5,13.56,5.08,0.10,0.27,19.3,9,5,6,34.6,29.9,0.09,+4.4,+4.1,
Opponent Total,,,28.2,25.0,28,279,85,30.5,11.16,3.40,0.09,0.31,20.0,9,2,4,28.8,25.6,0.09,-0.8,+0.4,
