Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fábio,brBRA,GK,43-355,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Martinelli,brBRA,"MF,DF",23-132,18.4,1,7,2,28.6,0.38,0.11,0.14,0.50,13.4,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
Ganso,brBRA,MF,34-343,17.8,3,10,8,80.0,0.56,0.45,0.30,0.38,23.9,3,0,0,0.8,0.8,0.08,+2.2,+2.2,Matches
Samuel Xavier,brBRA,DF,34-105,17.8,0,10,4,40.0,0.56,0.23,0.00,0.00,23.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Jhon Arias,coCOL,FW,26-364,14.9,3,32,13,40.6,2.15,0.87,0.09,0.23,18.0,1,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
Germán Cano,arARG,FW,36-230,12.4,2,30,15,50.0,2.41,1.21,0.07,0.13,15.9,0,0,0,4.5,4.5,0.15,-2.5,-2.5,Matches
Marquinhos,brBRA,"FW,DF",21-165,12.7,0,24,8,33.3,1.89,0.63,0.00,0.00,23.8,2,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches
Thiago dos Santos,brBRA,DF,35-014,12.9,0,9,4,44.4,0.70,0.31,0.00,0.00,11.6,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
André,brBRA,MF,23-065,11.9,0,3,0,0.0,0.25,0.00,0.00,,29.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Diogo Barbosa,brBRA,DF,32-033,11.6,0,3,0,0.0,0.26,0.00,0.00,,19.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Marcelo,brBRA,DF,36-130,9.4,1,17,2,11.8,1.80,0.21,0.00,0.00,26.0,0,1,1,1.2,0.4,0.02,-0.2,-0.4,Matches
Lima,brBRA,"MF,FW",28-100,10.8,2,15,3,20.0,1.38,0.28,0.13,0.67,23.9,2,0,0,0.9,0.9,0.06,+1.1,+1.1,Matches
Antonio Carlos,brBRA,DF,31-196,10.0,0,5,1,20.0,0.50,0.10,0.00,0.00,9.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Keno,brBRA,"FW,MF",35-009,9.4,1,17,5,29.4,1.80,0.53,0.06,0.20,19.7,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Kauã Elias,brBRA,FW,18-175,8.9,5,20,13,65.0,2.25,1.46,0.25,0.38,15.0,0,0,0,3.4,3.4,0.17,+1.6,+1.6,Matches
Thiago Silva,brBRA,DF,39-363,8.0,0,4,1,25.0,0.50,0.12,0.00,0.00,13.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Alexsander,brBRA,MF,20-347,8.8,0,13,3,23.1,1.48,0.34,0.00,0.00,23.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Felipe Melo,brBRA,DF,41-085,4.6,0,1,0,0.0,0.22,0.00,0.00,,14.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Manoel,brBRA,DF,34-206,5.5,0,1,1,100.0,0.18,0.18,0.00,0.00,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
John Kennedy,brBRA,"FW,MF",22-124,7.3,0,13,5,38.5,1.78,0.69,0.00,0.00,16.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Kevin Serna,coCOL,FW,26-277,4.6,1,10,4,40.0,2.18,0.87,0.10,0.25,18.7,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Marlon,brBRA,DF,29-012,3.9,0,1,0,0.0,0.26,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Guga,brBRA,DF,26-021,2.9,0,1,0,0.0,0.35,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Gabriel,brBRA,MF,31-001,2.6,0,3,1,33.3,1.14,0.38,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Facundo Bernal,uyURU,MF,21-029,2.6,0,4,2,50.0,1.55,0.78,0.00,0.00,26.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Renato Augusto,brBRA,"MF,FW",36-224,3.5,1,3,1,33.3,0.85,0.28,0.33,1.00,26.2,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches
Douglas Costa,brBRA,FW,34-005,3.2,0,4,3,75.0,1.23,0.92,0.00,0.00,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
David Terans,uyURU,"MF,FW",30-039,2.4,0,3,2,66.7,1.24,0.83,0.00,0.00,19.8,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Ignácio,brBRA,DF,27-293,2.0,0,1,0,0.0,0.51,0.00,0.00,,10.6,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Nonato,brBRA,MF,26-200,2.1,0,1,0,0.0,0.48,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Isaac,brBRA,"FW,DF",20-148,1.7,0,3,0,0.0,1.81,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Esquerdinha,brBRA,"DF,FW",18-204,1.4,0,2,0,0.0,1.41,0.00,0.00,,20.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Felipe Vieira,,"DF,MF",,1.8,0,1,0,0.0,0.56,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,1.0,0,2,0,0.0,1.96,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Lucas Calegari,brBRA,DF,22-205,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel Fuentes,coCOL,DF,27-223,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,31.0,25.0,20,273,101,37.0,10.92,4.04,0.07,0.19,19.6,10,1,1,21.0,20.2,0.07,-1.0,-1.2,
Opponent Total,,,28.3,25.0,28,354,118,33.3,14.16,4.72,0.07,0.22,19.6,10,2,2,29.5,28.0,0.08,-1.5,-2.0,
