Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
João Ricardo Riedi,brBRA,GK,36-013,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emanuel Brítez,arARG,DF,32-177,19.0,0,14,2,14.3,0.74,0.11,0.00,0.00,18.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Guilherme Tinga,brBRA,DF,31-018,19.7,1,13,2,15.4,0.66,0.10,0.08,0.50,15.8,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
Breno,brBRA,FW,28-239,16.6,4,42,16,38.1,2.53,0.96,0.10,0.25,20.3,2,0,0,4.0,4.0,0.10,0.0,0.0,Matches
Hércules,brBRA,MF,23-335,15.5,1,16,3,18.8,1.04,0.19,0.06,0.33,23.8,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,14.9,4,27,8,29.6,1.81,0.54,0.15,0.50,23.1,4,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches
Felipe Jonatan,brBRA,DF,26-217,15.7,0,9,4,44.4,0.57,0.25,0.00,0.00,18.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,15.0,2,32,6,18.8,2.14,0.40,0.06,0.33,17.8,1,0,0,3.3,3.3,0.11,-1.3,-1.3,Matches
Juan Martín Lucero,arARG,FW,32-294,15.0,8,34,15,44.1,2.26,1.00,0.18,0.40,17.9,2,2,2,4.9,3.4,0.10,+3.1,+2.6,Matches
Titi,brBRA,DF,36-191,14.4,1,5,1,20.0,0.35,0.07,0.20,1.00,12.9,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Lucas Sasha,brBRA,MF,34-202,13.4,0,7,3,42.9,0.52,0.22,0.00,0.00,18.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Pedro Borges,brBRA,MF,27-200,12.5,0,5,2,40.0,0.40,0.16,0.00,0.00,28.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Tomás Cardona,arARG,DF,28-345,12.0,0,4,0,0.0,0.33,0.00,0.00,,11.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Renato Kayser,brBRA,FW,28-215,10.6,3,29,7,24.1,2.72,0.66,0.07,0.29,15.8,3,1,1,5.1,4.3,0.15,-2.1,-2.3,Matches
Benjamín Kuscevic,clCHI,DF,28-140,10.6,1,7,3,42.9,0.66,0.28,0.14,0.33,9.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
Bruno Pacheco,brBRA,DF,32-286,10.7,1,5,2,40.0,0.47,0.19,0.20,0.50,13.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
Matheus Rossetto,brBRA,MF,28-108,7.5,0,1,0,0.0,0.13,0.00,0.00,,27.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
José Welison,brBRA,MF,29-192,6.7,0,4,0,0.0,0.60,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Marinho,brBRA,FW,34-113,6.6,0,20,4,20.0,3.02,0.60,0.00,0.00,25.2,6,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Moises,brBRA,FW,28-017,6.6,2,20,8,40.0,3.04,1.22,0.10,0.25,19.2,1,0,0,2.9,2.9,0.14,-0.9,-0.9,Matches
Imanol Machuca,arARG,"FW,MF",24-248,4.8,1,5,3,60.0,1.03,0.62,0.20,0.33,13.5,0,0,0,0.8,0.8,0.17,+0.2,+0.2,Matches
Leandro Emmanuel Martínez,arARG,"MF,FW",30-107,4.0,0,7,1,14.3,1.76,0.25,0.00,0.00,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Kervin Andrade,veVEN,MF,19-159,3.5,1,10,2,20.0,2.85,0.57,0.10,0.50,22.3,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Eros Mancuso,arARG,DF,25-155,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kauan,brBRA,MF,19-156,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Rocha Neves,brBRA,"FW,MF",29-355,0.5,0,1,0,0.0,1.87,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Calebe,brBRA,"FW,MF",24-142,0.3,0,2,0,0.0,6.21,0.00,0.00,,25.9,1,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Luis Eduardo Marques dos Santos,brBRA,"FW,DF",27-112,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,30.5,26.0,30,319,92,28.8,12.27,3.54,0.08,0.29,19.2,21,3,3,31.4,29.1,0.09,-1.4,-2.1,
Opponent Total,,,27.8,26.0,25,387,137,35.4,14.88,5.27,0.06,0.16,19.1,15,3,3,32.2,29.9,0.08,-7.2,-7.9,
