Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
João Pedro,brBRA,DF,27-309,17.9,0,16,2,12.5,0.89,0.11,0.00,0.00,23.5,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Dodi,brBRA,MF,28-155,16.1,0,8,2,25.0,0.50,0.12,0.00,0.00,23.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Agustín Marchesín,arARG,GK,36-187,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,15.4,4,35,14,40.0,2.27,0.91,0.09,0.21,19.3,3,1,1,4.2,3.4,0.10,-0.2,-0.4,Matches
Reinaldo,brBRA,"DF,MF",34-357,15.1,2,26,13,50.0,1.72,0.86,0.04,0.08,26.8,7,1,1,1.5,0.7,0.03,+0.5,+0.3,Matches
Mathías Villasanti,pyPAR,MF,27-239,15.0,1,10,4,40.0,0.67,0.27,0.10,0.25,22.9,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Cristian Pavón,arARG,"FW,MF",28-242,9.7,1,29,8,27.6,2.98,0.82,0.03,0.13,19.9,0,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
Rodrigo Ely,brBRA,DF,30-321,12.9,1,15,6,40.0,1.16,0.46,0.07,0.17,12.1,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Gustavo Martins Santos,brBRA,DF,22-039,11.5,2,6,3,50.0,0.52,0.26,0.33,0.67,7.8,0,0,0,1.5,1.5,0.26,+0.5,+0.5,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,13.8,3,18,7,38.9,1.31,0.51,0.17,0.43,19.0,0,0,0,1.9,1.9,0.10,+1.1,+1.1,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,10.5,3,13,7,53.8,1.24,0.67,0.23,0.43,16.6,0,0,0,1.5,1.5,0.12,+1.5,+1.5,Matches
Edenílson,brBRA,"FW,MF",34-276,8.2,1,9,6,66.7,1.10,0.73,0.11,0.17,19.2,2,0,0,1.4,1.4,0.16,-0.4,-0.4,Matches
Walter Kannemann,arARG,DF,33-189,8.1,0,6,1,16.7,0.74,0.12,0.00,0.00,12.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
João Pedro Pepê,brBRA,MF,26-257,8.2,0,3,0,0.0,0.37,0.00,0.00,,21.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Fábio,brBRA,DF,34-072,7.5,0,5,0,0.0,0.66,0.00,0.00,,15.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
João Pedro,itITA,FW,32-194,6.4,0,8,3,37.5,1.24,0.47,0.00,0.00,12.7,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
Du Queiroz,brBRA,MF,24-244,6.5,0,8,3,37.5,1.23,0.46,0.00,0.00,17.8,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,5.0,3,13,5,38.5,2.62,1.01,0.23,0.60,16.2,1,0,0,2.2,2.2,0.17,+0.8,+0.8,Matches
