Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Wesley,brBRA,"FW,MF",25-173,17.4,5,48,17,35.4,2.77,0.98,0.10,0.29,19.2,0,0,0,3.9,3.9,0.08,+1.1,+1.1,Matches
Thiago Maia,brBRA,MF,27-180,14.5,1,11,3,27.3,0.76,0.21,0.09,0.33,18.1,0,0,0,1.6,1.6,0.14,-0.6,-0.6,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,15.1,2,23,7,30.4,1.52,0.46,0.09,0.29,18.6,2,0,0,2.6,2.6,0.11,-0.6,-0.6,Matches
Vitão,brBRA,DF,24-230,14.0,0,12,4,33.3,0.86,0.29,0.00,0.00,10.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Sergio Rochet,uyURU,GK,31-180,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel Mercado,arARG,DF,37-185,12.8,1,7,2,28.6,0.55,0.16,0.14,0.50,17.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Rafael Borré,coCOL,FW,29-004,10.9,5,33,14,42.4,3.03,1.28,0.15,0.36,11.0,0,0,1,8.1,7.3,0.23,-3.1,-2.3,Matches
Fernando,brBRA,"DF,MF",37-056,11.6,1,6,1,16.7,0.52,0.09,0.17,1.00,17.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Romulo,brBRA,MF,24-202,11.4,0,7,1,14.3,0.62,0.09,0.00,0.00,27.5,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,11.0,0,12,3,25.0,1.09,0.27,0.00,0.00,26.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Renê,brBRA,DF,32-005,10.6,0,10,3,30.0,0.94,0.28,0.00,0.00,20.0,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Robert Renan,brBRA,DF,20-344,10.7,0,6,1,16.7,0.56,0.09,0.00,0.00,22.8,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
Alexandro Bernabei,arARG,DF,23-361,9.9,1,10,4,40.0,1.01,0.40,0.10,0.25,18.6,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,8.4,1,18,4,22.2,2.14,0.48,0.06,0.25,17.2,1,0,0,2.3,2.3,0.13,-1.3,-1.3,Matches
Fabricio Bustos,arARG,DF,28-144,9.6,1,8,1,12.5,0.83,0.10,0.13,1.00,18.6,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Wanderson,brBRA,"FW,MF",29-348,8.6,1,15,4,26.7,1.74,0.46,0.07,0.25,19.5,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Matches
Alan Patrick,brBRA,"MF,FW",33-129,8.0,3,19,9,47.4,2.37,1.12,0.11,0.22,21.5,3,1,2,3.0,1.3,0.07,0.0,+0.7,Matches
Fabrício,brBRA,GK,38-256,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Igor Gomes,brBRA,DF,23-197,6.9,1,5,1,20.0,0.73,0.15,0.20,1.00,16.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Lucas Alario,arARG,FW,31-347,6.8,0,13,2,15.4,1.90,0.29,0.00,0.00,11.2,1,0,0,1.9,1.9,0.15,-1.9,-1.9,Matches
Enner Valencia,ecECU,FW,34-320,5.2,0,11,4,36.4,2.12,0.77,0.00,0.00,15.0,0,0,1,2.2,1.4,0.13,-2.2,-1.4,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,5.1,1,10,6,60.0,1.96,1.18,0.10,0.17,25.6,1,0,1,1.5,0.5,0.05,-0.5,+0.5,Matches
Agustín Rogel,uyURU,DF,26-338,4.3,0,9,3,33.3,2.07,0.69,0.00,0.00,9.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Mauricio,brBRA,MF,23-120,4.2,0,7,2,28.6,1.65,0.47,0.00,0.00,19.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Hugo Mallo,esESP,DF,33-089,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,8.8,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
Hyoran,brBRA,"FW,MF",31-117,3.7,0,9,1,11.1,2.42,0.27,0.00,0.00,21.6,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
Lucca Holanda,brBRA,"FW,MF",21-170,3.0,0,4,0,0.0,1.34,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Charles Aránguiz,clCHI,MF,35-155,3.2,0,3,2,66.7,0.94,0.63,0.00,0.00,16.6,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches
Anthoni,brBRA,GK,22-240,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucca Drummond,brBRA,FW,20-251,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,5.1,1,13,6,46.2,2.53,1.17,0.08,0.17,18.0,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
Matheus Dias,brBRA,"FW,MF",27-225,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,0.7,0,6,1,16.7,8.44,1.41,0.00,0.00,15.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
Nathan,brBRA,DF,23-014,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.6,24.0,26,337,107,31.8,14.04,4.46,0.07,0.23,17.7,9,1,5,37.6,33.5,0.10,-11.6,-8.5,
Opponent Total,,,28.4,24.0,20,262,85,32.4,10.92,3.54,0.07,0.22,18.5,11,1,2,20.0,18.5,0.07,0.0,+0.5,
