Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Gabriel,brBRA,GK,31-358,22.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Erick,brBRA,FW,27-260,18.8,3,27,16,59.3,1.43,0.85,0.11,0.19,16.4,0,0,0,3.3,3.3,0.12,-0.3,-0.3,Matches
Jadson,brBRA,MF,31-020,20.7,1,15,5,33.3,0.73,0.24,0.07,0.20,20.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Lucas Barbosa,brBRA,FW,23-210,19.1,4,37,9,24.3,1.94,0.47,0.11,0.44,21.5,0,0,0,3.9,3.9,0.11,+0.1,+0.1,Matches
Danilo Boza,brBRA,DF,26-136,20.5,2,16,7,43.8,0.78,0.34,0.13,0.29,11.9,0,0,0,1.4,1.4,0.09,+0.6,+0.6,Matches
Alan Ruschel,brBRA,DF,35-027,17.9,1,8,2,25.0,0.45,0.11,0.13,0.50,24.8,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
João Lucas,brBRA,DF,26-194,17.8,1,15,2,13.3,0.84,0.11,0.07,0.50,24.5,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
Zé Marcos,brBRA,DF,26-231,16.3,0,10,0,0.0,0.61,0.00,0.00,,11.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,15.8,0,3,0,0.0,0.19,0.00,0.00,,31.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Nenê,brBRA,"MF,FW",43-062,13.4,2,19,8,42.1,1.42,0.60,0.11,0.25,24.3,2,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,10.0,4,26,8,30.8,2.61,0.80,0.15,0.50,26.9,8,0,0,1.6,1.6,0.06,+2.4,+2.4,Matches
Marcelinho,brBRA,"FW,MF",21-283,9.1,2,26,10,38.5,2.86,1.10,0.08,0.20,20.7,0,0,0,1.7,1.7,0.06,+0.3,+0.3,Matches
Gilberto,brBRA,FW,35-106,7.6,1,21,7,33.3,2.78,0.93,0.05,0.14,15.9,0,0,0,2.5,2.5,0.12,-1.5,-1.5,Matches
