Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Wéverton,brBRA,GK,36-281,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aníbal Moreno,arARG,MF,25-129,19.0,1,22,5,22.7,1.16,0.26,0.05,0.20,22.4,1,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches
Murilo Cerqueira,brBRA,DF,27-176,17.5,1,11,3,27.3,0.63,0.17,0.09,0.33,12.8,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
Raphael Veiga,brBRA,MF,29-092,17.0,3,60,20,33.3,3.54,1.18,0.05,0.15,23.2,14,0,1,5.3,4.5,0.07,-2.3,-1.5,Matches
Estevão,brBRA,FW,18-148,15.5,9,56,23,41.1,3.62,1.49,0.13,0.30,19.9,2,2,2,6.0,4.5,0.08,+3.0,+2.5,Matches
Gustavo Gómez,pyPAR,DF,31-136,16.0,1,17,1,5.9,1.06,0.06,0.00,0.00,10.7,0,1,1,1.9,1.1,0.07,-0.9,-1.1,Matches
José López,arARG,FW,23-288,14.9,8,51,17,33.3,3.41,1.14,0.16,0.47,14.4,0,0,0,7.1,7.1,0.14,+0.9,+0.9,Matches
Joaquín Piquerez,uyURU,DF,26-026,14.6,2,31,6,19.4,2.12,0.41,0.03,0.17,26.5,4,1,1,2.0,1.2,0.04,0.0,-0.2,Matches
Marcos Rocha,brBRA,DF,35-283,15.5,0,3,0,0.0,0.19,0.00,0.00,,19.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Rony,brBRA,FW,29-131,15.2,4,45,19,42.2,2.96,1.25,0.09,0.21,13.4,0,0,0,6.7,6.7,0.15,-2.7,-2.7,Matches
Richard Ríos,coCOL,MF,24-109,10.6,1,17,5,29.4,1.61,0.47,0.06,0.20,26.0,3,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,10.2,1,24,7,29.2,2.35,0.68,0.04,0.14,23.8,4,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Mayke,brBRA,DF,31-314,9.6,1,7,1,14.3,0.73,0.10,0.14,1.00,14.4,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
Zé Rafael,brBRA,MF,31-095,9.2,0,11,2,18.2,1.20,0.22,0.00,0.00,23.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Vitor Reis,brBRA,DF,18-251,9.2,1,3,1,33.3,0.33,0.11,0.33,1.00,8.7,0,0,0,0.3,0.3,0.11,+0.7,+0.7,Matches
Kaiky Naves,brBRA,DF,22-134,8.1,0,4,0,0.0,0.49,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Lázaro,brBRA,"FW,MF",22-191,8.3,2,27,10,37.0,3.27,1.21,0.07,0.20,20.6,0,0,0,2.6,2.6,0.10,-0.6,-0.6,Matches
Vanderlan,brBRA,DF,22-012,8.2,0,3,0,0.0,0.37,0.00,0.00,,24.6,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
Mauricio,brBRA,"MF,FW",23-120,6.1,2,10,7,70.0,1.64,1.15,0.20,0.29,16.2,0,0,0,2.2,2.2,0.22,-0.2,-0.2,Matches
Caio Paulista,brBRA,"DF,FW",26-131,5.1,0,7,4,57.1,1.36,0.78,0.00,0.00,23.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Endrick,brBRA,"MF,FW",18-060,5.0,0,13,2,15.4,2.58,0.40,0.00,0.00,22.8,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,5.8,2,11,4,36.4,1.89,0.69,0.18,0.50,19.9,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches
Fabinho,brBRA,MF,22-163,4.5,1,5,1,20.0,1.12,0.22,0.20,1.00,14.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Dudu,brBRA,"FW,MF",32-256,3.4,0,6,3,50.0,1.76,0.88,0.00,0.00,20.5,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
Agustín Giay,arARG,DF,20-247,2.8,0,4,2,50.0,1.43,0.72,0.00,0.00,22.4,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Luan Garcia,brBRA,DF,31-132,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Guilherme,brBRA,"FW,DF",18-223,2.0,0,5,0,0.0,2.46,0.00,0.00,,18.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Romulo,brBRA,"FW,MF",22-348,1.7,0,4,0,0.0,2.38,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Jhonatan Jowjow,brBRA,MF,22-010,1.6,0,4,0,0.0,2.54,0.00,0.00,,19.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Marcelo Lomba,brBRA,GK,37-276,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luighi,brBRA,"MF,FW",18-142,0.2,1,2,2,100.0,8.57,8.57,0.50,0.50,2.6,0,0,0,1.2,1.2,0.60,-0.2,-0.2,Matches
García,brBRA,"MF,FW",22-259,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.2,26.0,41,463,145,31.3,17.81,5.58,0.08,0.26,19.6,28,4,5,45.2,41.7,0.09,-4.2,-4.7,
