Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Luan Cândido,brBRA,DF,23-230,19.0,1,20,3,15.0,1.05,0.16,0.00,0.00,22.8,6,1,1,1.5,0.7,0.04,-0.5,-0.7,Matches
Cleiton Schwengber,brBRA,GK,27-031,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Evangelista,brBRA,MF,29-136,16.0,2,24,6,25.0,1.50,0.38,0.08,0.33,21.5,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,16.7,0,26,7,26.9,1.56,0.42,0.00,0.00,17.1,0,0,0,2.3,2.3,0.09,-2.3,-2.3,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,13.1,0,13,4,30.8,0.99,0.30,0.00,0.00,17.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Pedro Henrique,brBRA,DF,28-353,13.8,1,2,1,50.0,0.15,0.07,0.50,1.00,11.6,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches
Eduardo Sasha,brBRA,FW,32-208,12.7,3,28,13,46.4,2.20,1.02,0.07,0.15,15.9,0,1,1,2.9,2.1,0.07,+0.1,-0.1,Matches
Helinho,brBRA,"FW,MF",24-147,12.2,7,40,15,37.5,3.27,1.23,0.18,0.47,27.4,7,0,0,3.4,3.4,0.08,+3.6,+3.6,Matches
Jadsom,brBRA,"MF,DF",23-122,11.3,0,7,1,14.3,0.62,0.09,0.00,0.00,26.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Raul,brBRA,MF,28-070,11.8,1,11,2,18.2,0.93,0.17,0.09,0.50,26.6,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Vitinho,brBRA,"FW,MF",25-171,12.9,2,32,12,37.5,2.48,0.93,0.06,0.17,19.1,0,0,0,2.1,2.1,0.07,-0.1,-0.1,Matches
Nathan Mendes,brBRA,DF,22-031,12.4,0,9,3,33.3,0.72,0.24,0.00,0.00,18.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Douglas Mendes,brBRA,DF,20-098,12.3,2,8,3,37.5,0.65,0.24,0.25,0.67,9.0,0,0,0,1.5,1.5,0.18,+0.5,+0.5,Matches
Eric Ramires,brBRA,MF,24-040,11.5,2,20,5,25.0,1.74,0.44,0.10,0.40,20.8,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
Eduardo Santos,brBRA,DF,26-296,11.0,0,2,0,0.0,0.18,0.00,0.00,,9.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Lincoln,brBRA,"MF,FW",25-317,9.8,3,17,6,35.3,1.73,0.61,0.12,0.33,26.7,4,1,1,1.6,0.9,0.05,+1.4,+1.1,Matches
Gustavinho,brBRA,"MF,FW",20-149,8.8,1,9,3,33.3,1.02,0.34,0.11,0.33,24.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Thiago Borbas,uyURU,FW,22-165,10.6,2,19,9,47.4,1.79,0.85,0.11,0.22,14.9,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
José Hurtado,ecECU,DF,22-271,6.7,0,5,2,40.0,0.74,0.30,0.00,0.00,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Lucão,brBRA,GK,23-206,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jhonatan Jowjow,brBRA,"MF,FW",22-010,4.1,1,8,3,37.5,1.97,0.74,0.13,0.33,20.0,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Lucas Cunha,brBRA,DF,27-240,4.7,0,1,0,0.0,0.21,0.00,0.00,,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Guilherme,brBRA,DF,22-218,4.5,0,4,0,0.0,0.90,0.00,0.00,,27.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Matheus Fernandes,brBRA,MF,26-081,3.6,1,8,3,37.5,2.24,0.84,0.13,0.33,22.6,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Ignacio Laquintana,uyURU,"FW,MF",25-231,3.1,1,6,2,33.3,1.96,0.65,0.17,0.50,25.5,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
Vinicius Mendonça,brBRA,FW,20-212,2.1,1,6,4,66.7,2.83,1.88,0.17,0.25,14.8,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
Talisson,brBRA,FW,22-121,1.3,0,3,2,66.7,2.37,1.58,0.00,0.00,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Fabrício,brBRA,GK,24-096,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Realpe,ecECU,DF,23-206,1.0,0,1,0,0.0,1.00,0.00,0.00,,10.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bruninho,brBRA,"FW,MF",21-189,0.9,0,3,0,0.0,3.42,0.00,0.00,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Everton,brBRA,FW,22-208,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juliano,brBRA,FW,16-202,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Chumbinho,brBRA,"MF,FW",20-363,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,17.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Riquelme,brBRA,MF,18-256,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.2,25.0,31,333,110,33.0,13.32,4.40,0.08,0.25,20.7,17,3,3,26.0,23.7,0.07,+5.0,+4.3,
