Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Robert Arboleda,ecECU,DF,32-333,20.7,1,10,4,40.0,0.48,0.19,0.10,0.25,10.9,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
Jonathan Calleri,arARG,FW,30-362,17.6,5,36,12,33.3,2.04,0.68,0.14,0.42,13.5,0,0,0,4.3,4.3,0.13,+0.7,+0.7,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,17.6,0,4,0,0.0,0.23,0.00,0.00,,10.3,0,0,0,0.8,0.8,0.20,-0.8,-0.8,Matches
Welington,brBRA,DF,23-213,16.9,0,12,2,16.7,0.71,0.12,0.00,0.00,22.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Alan Franco,arARG,DF,27-344,15.5,0,10,0,0.0,0.65,0.00,0.00,,10.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Luciano,brBRA,"MF,FW",31-124,15.5,7,46,19,41.3,2.97,1.23,0.13,0.32,18.6,1,1,2,5.3,3.6,0.08,+1.7,+2.4,Matches
Alisson,brBRA,MF,31-086,15.0,1,11,5,45.5,0.73,0.33,0.09,0.20,26.2,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Rafael Pires,brBRA,GK,35-088,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Moura,brBRA,"FW,MF",32-037,14.5,5,26,11,42.3,1.80,0.76,0.15,0.36,17.4,3,1,1,3.2,2.4,0.09,+1.8,+1.6,Matches
Luiz Gustavo,brBRA,MF,37-058,14.7,0,18,7,38.9,1.22,0.48,0.00,0.00,25.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Jandrei,brBRA,GK,31-202,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Damián Bobadilla,pyPAR,MF,23-070,9.0,1,12,2,16.7,1.34,0.22,0.08,0.50,22.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
André Silva,brBRA,"FW,MF",27-108,10.2,4,26,9,34.6,2.54,0.88,0.15,0.44,15.9,0,0,0,2.5,2.5,0.10,+1.5,+1.5,Matches
Diego,brBRA,DF,25-060,9.9,0,4,2,50.0,0.40,0.20,0.00,0.00,10.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Ferreira,brBRA,"FW,MF",26-263,9.4,5,24,9,37.5,2.56,0.96,0.21,0.56,16.4,1,0,0,2.8,2.8,0.12,+2.2,+2.2,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,8.8,0,13,7,53.8,1.48,0.80,0.00,0.00,25.5,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
Nahuel Ferraresi,veVEN,DF,25-305,8.8,1,8,2,25.0,0.91,0.23,0.13,0.50,15.1,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Wellington Rato,brBRA,"FW,MF",32-083,8.7,0,10,4,40.0,1.15,0.46,0.00,0.00,15.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Michel Araujo,uyURU,"DF,FW",27-357,8.1,0,13,3,23.1,1.60,0.37,0.00,0.00,17.8,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
José Sabino,brBRA,DF,27-330,5.0,0,4,1,25.0,0.80,0.20,0.00,0.00,19.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Patryck,brBRA,"DF,FW",21-245,4.3,0,1,0,0.0,0.23,0.00,0.00,,13.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Giuliano Galoppo,arARG,MF,25-093,4.1,0,11,4,36.4,2.69,0.98,0.00,0.00,18.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Marcos Antônio,brBRA,MF,24-098,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
William Gomes,brBRA,"FW,MF",18-188,3.3,2,13,6,46.2,3.99,1.84,0.15,0.33,17.4,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
Juan Santos,brBRA,"FW,MF",22-197,2.9,0,5,1,20.0,1.71,0.34,0.00,0.00,13.7,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Pablo Maia,brBRA,MF,22-253,2.9,0,6,0,0.0,2.08,0.00,0.00,,27.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Rafinha,brBRA,DF,39-012,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Moreira,ptPOR,"DF,MF",20-121,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Erick,brBRA,"MF,FW",26-284,3.9,1,6,2,33.3,1.54,0.51,0.17,0.50,19.4,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
Liziero,brBRA,MF,26-225,1.1,0,1,0,0.0,0.90,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ruan,brBRA,DF,25-104,1.0,0,2,0,0.0,2.00,0.00,0.00,,11.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Santiago Longo,arARG,MF,26-160,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo,brBRA,MF,20-187,0.7,0,3,1,33.3,4.35,1.45,0.00,0.00,19.9,0,0,0,0.5,0.5,0.15,-0.5,-0.5,Matches
James Rodríguez,coCOL,MF,33-069,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamal Lewis,nirNIR,DF,26-238,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Henrique,brBRA,FW,17-315,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,29.0,26.0,33,336,114,33.9,12.92,4.38,0.09,0.27,17.9,7,2,3,29.0,26.5,0.08,+4.0,+4.5,
Opponent Total,,,28.4,26.0,24,296,89,30.1,11.38,3.42,0.07,0.24,19.5,14,3,3,22.0,19.6,0.07,+2.0,+1.4,
