Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Léo Jardim,brBRA,GK,29-183,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Vegetti,arARG,FW,35-340,22.1,8,78,24,30.8,3.52,1.08,0.10,0.33,12.9,0,0,2,9.2,7.6,0.10,-1.2,+0.4,Matches
Paulo Henrique,brBRA,DF,28-056,20.6,1,16,4,25.0,0.78,0.19,0.06,0.25,22.1,0,0,0,1.8,1.8,0.13,-0.8,-0.8,Matches
Léo Pelé,brBRA,DF,28-197,20.0,0,6,2,33.3,0.30,0.10,0.00,0.00,11.2,0,0,0,1.2,1.2,0.20,-1.2,-1.2,Matches
Maicon,brBRA,DF,36-005,19.9,1,6,3,50.0,0.30,0.15,0.17,0.33,11.2,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
Lucas Piton,brBRA,DF,23-346,19.4,1,9,1,11.1,0.46,0.05,0.11,1.00,23.2,2,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
David,brBRA,FW,28-338,16.5,4,30,6,20.0,1.82,0.36,0.13,0.67,19.9,0,0,0,1.7,1.7,0.06,+2.3,+2.3,Matches
Hugo Moura,brBRA,MF,26-260,13.4,0,13,3,23.1,0.97,0.22,0.00,0.00,26.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Mateus Cocão,brBRA,MF,22-185,14.6,2,12,5,41.7,0.82,0.34,0.17,0.40,23.0,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
Adson,brBRA,FW,23-349,13.6,2,25,10,40.0,1.84,0.74,0.08,0.20,20.0,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
Juan Sforza,arARG,MF,22-218,11.1,1,7,3,42.9,0.63,0.27,0.14,0.33,26.2,2,0,0,0.3,0.2,0.03,+0.7,+0.8,Matches
João Victor,brBRA,DF,26-064,9.3,1,4,2,50.0,0.43,0.22,0.25,0.50,10.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Pablo Galdames Millán,clCHI,MF,27-264,8.5,0,6,2,33.3,0.71,0.24,0.00,0.00,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
