Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lucas Arcanjo,brBRA,GK,26-042,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wagner,brBRA,DF,25-058,24.1,3,19,7,36.8,0.79,0.29,0.11,0.29,10.0,0,1,1,3.9,3.1,0.17,-0.9,-1.1,Matches
Willian,brBRA,MF,31-126,20.6,5,33,11,33.3,1.60,0.53,0.15,0.45,14.0,0,0,0,3.4,3.4,0.10,+1.6,+1.6,Matches
Matheusinho,brBRA,"MF,FW",26-337,18.8,4,36,17,47.2,1.92,0.91,0.11,0.24,21.6,0,0,0,2.2,2.2,0.06,+1.8,+1.8,Matches
Alerrandro,brBRA,FW,24-251,17.1,6,40,15,37.5,2.34,0.88,0.08,0.20,19.5,0,3,3,5.6,3.2,0.08,+0.4,-0.2,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,21.6,1,19,4,21.1,0.88,0.19,0.05,0.25,21.9,2,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Willean Lepo,brBRA,DF,27-247,18.0,0,13,4,30.8,0.72,0.22,0.00,0.00,19.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Luan Silva,brBRA,MF,25-128,13.6,0,12,3,25.0,0.88,0.22,0.00,0.00,25.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Osvaldo,brBRA,"MF,FW",37-161,11.9,2,19,10,52.6,1.60,0.84,0.05,0.10,22.9,2,1,1,2.4,1.7,0.09,-0.4,-0.7,Matches
Léo Naldi,brBRA,MF,23-032,11.6,0,12,3,25.0,1.04,0.26,0.00,0.00,25.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Janderson,brBRA,"FW,MF",25-136,10.0,1,26,5,19.2,2.59,0.50,0.04,0.20,21.9,0,0,0,1.1,1.1,0.04,-0.1,-0.1,Matches
