,Standard,Expected,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG
24-061,brBRA,"FW,MF",18.9,6,31,15,48.4,1.64,0.79,0.16,0.33,16.2,0,1,1,4.4,3.7,0.12,+1.6,+1.3,Matches
30-253,brBRA,"DF,MF",18.3,4,55,16,29.1,3.00,0.87,0.04,0.13,27.4,9,2,2,3.7,2.1,0.04,+0.3,-0.1,Matches
33-064,arARG,"DF,MF",17.4,0,9,2,22.2,0.52,0.12,0.00,0.00,17.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
31-090,arARG,DF,15.4,0,9,1,11.1,0.58,0.06,0.00,0.00,22.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
25-166,brBRA,DF,14.2,0,3,1,33.3,0.21,0.07,0.00,0.00,14.5,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
30-133,brBRA,MF,13.9,0,7,2,28.6,0.50,0.14,0.00,0.00,31.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
38-051,brBRA,FW,13.0,7,50,10,20.0,3.85,0.77,0.08,0.40,24.8,20,3,3,6.3,4.0,0.08,+0.7,0.0,Matches
34-054,brBRA,GK,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
26-024,ecECU,MF,13.0,0,11,2,18.2,0.85,0.15,0.00,0.00,18.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
27-153,brBRA,DF,12.1,1,20,8,40.0,1.65,0.66,0.05,0.13,24.9,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
25-188,brBRA,GK,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20-113,brBRA,"FW,MF",9.3,2,14,6,42.9,1.50,0.64,0.14,0.33,12.3,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches
26-188,arARG,MF,8.0,2,10,4,40.0,1.24,0.50,0.20,0.50,19.2,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
25-181,brBRA,MF,8.4,1,10,3,30.0,1.19,0.36,0.00,0.00,23.7,0,1,1,1.5,0.7,0.07,-0.5,-0.7,Matches
32-006,brBRA,"MF,FW",5.9,0,5,0,0.0,0.85,0.00,0.00,,22.0,1,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
29-139,brBRA,DF,6.2,0,5,1,20.0,0.81,0.16,0.00,0.00,14.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
31-218,pyPAR,DF,5.6,1,4,1,25.0,0.71,0.18,0.25,1.00,18.3,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
24-172,arARG,MF,5.6,0,17,1,5.9,3.06,0.18,0.00,0.00,25.8,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
20-227,brBRA,DF,5.5,1,7,1,14.3,1.27,0.18,0.14,1.00,20.9,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
34-299,clCHI,"FW,MF",5.6,5,21,8,38.1,3.76,1.43,0.24,0.63,12.7,0,0,0,3.2,3.2,0.15,+1.8,+1.8,Matches
18-359,brBRA,"DF,MF",5.3,0,18,4,22.2,3.38,0.75,0.00,0.00,20.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
28-261,uyURU,DF,3.2,0,2,0,0.0,0.62,0.00,0.00,,22.7,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
21-295,coCOL,"DF,MF",4.6,2,16,10,62.5,3.51,2.20,0.06,0.10,22.7,1,1,1,1.4,0.6,0.04,+0.6,+0.4,Matches
20-019,brBRA,MF,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38-083,brBRA,DF,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32-021,brBRA,DF,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27-226,brBRA,DF,2.5,0,1,0,0.0,0.39,0.00,0.00,,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
33-129,brBRA,FW,2.2,0,1,0,0.0,0.46,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
23-085,brBRA,"DF,FW",2.0,0,5,0,0.0,2.47,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
26-154,brBRA,"MF,DF",2.3,0,4,0,0.0,1.74,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
35-246,brBRA,"FW,DF",0.7,0,4,1,25.0,5.63,1.41,0.00,0.00,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
21-056,brBRA,"MF,DF",0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20-172,brBRA,FW,0.1,0,1,0,0.0,10.00,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
19-308,brBRA,MF,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
