Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kaique Rocha,brBRA,DF,23-204,23,22,"1,946",21.6,0,1,1,0,0,0,1,0,1.2,1.2,1.3,2.5,10,70,5,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.11,0.06,0.11,Matches
Erick,brBRA,"MF,DF",26-310,22,20,"1,687",18.7,1,1,2,1,0,0,1,0,2.5,2.5,1.3,3.8,12,77,25,0.05,0.05,0.11,0.05,0.11,0.13,0.07,0.20,0.13,0.20,Matches
Lucas Esquivel,arARG,DF,22-341,20,18,"1,603",17.8,0,3,3,0,0,0,5,1,0.4,0.4,2.4,2.8,32,93,62,0.00,0.17,0.17,0.00,0.17,0.02,0.14,0.16,0.02,0.16,Matches
Fernandinho,brBRA,MF,39-138,18,16,"1,365",15.2,2,3,5,1,1,1,6,0,1.4,0.6,2.1,2.8,36,150,33,0.13,0.20,0.33,0.07,0.26,0.09,0.14,0.23,0.04,0.18,Matches
Thiago Heleno,brBRA,DF,36-002,15,15,"1,305",14.5,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.5,0,34,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Leonardo Linck,brBRA,GK,23-200,14,14,"1,223",13.6,0,0,0,0,0,0,0,1,0.0,0.0,0.5,0.5,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Christian,brBRA,"MF,FW",23-275,17,14,"1,199",13.3,1,0,1,1,0,0,5,0,1.3,1.3,1.8,3.1,14,52,94,0.08,0.00,0.08,0.08,0.08,0.10,0.13,0.23,0.10,0.23,Matches
Leonardo Godoy,arARG,DF,29-144,18,14,"1,071",11.9,1,1,2,1,0,0,3,0,0.4,0.4,0.6,1.1,14,47,70,0.08,0.08,0.17,0.08,0.17,0.04,0.05,0.09,0.04,0.09,Matches
Bruno Zapelli,arARG,"MF,FW",22-125,22,13,"1,071",11.9,0,3,3,0,0,0,3,0,2.4,2.4,3.5,5.9,31,61,94,0.00,0.25,0.25,0.00,0.25,0.20,0.29,0.50,0.20,0.50,Matches
Julimar,brBRA,"FW,MF",23-238,23,12,"1,201",13.3,3,1,4,3,0,0,2,0,4.0,4.0,1.4,5.5,59,31,128,0.22,0.07,0.30,0.22,0.30,0.30,0.11,0.41,0.30,0.41,Matches
Mateo Gamarra,pyPAR,DF,23-335,13,11,"1,044",11.6,0,0,0,0,0,0,6,0,1.3,1.3,0.0,1.3,4,49,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Tomás Cuello,arARG,"FW,MF",24-198,19,11,946,10.5,1,3,4,1,0,0,2,0,1.6,1.6,2.4,3.9,47,38,104,0.10,0.29,0.38,0.10,0.38,0.15,0.23,0.37,0.15,0.37,Matches
Agustín Canobbio,uyURU,"FW,MF",25-354,14,10,874,9.7,4,1,5,4,0,0,5,1,3.0,3.0,1.7,4.7,32,44,102,0.41,0.10,0.51,0.41,0.51,0.31,0.18,0.48,0.31,0.48,Matches
