Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adriano Martins,brBRA,DF,27-171,23,23,"2,031",22.6,0,0,0,0,0,0,5,0,1.1,1.1,0.1,1.1,19,70,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Guilherme Romão,brBRA,DF,26-348,23,23,"2,023",22.5,1,3,4,1,0,0,5,0,1.7,1.7,2.6,4.2,54,103,104,0.04,0.13,0.18,0.04,0.18,0.08,0.11,0.19,0.08,0.19,Matches
Luiz Fernando,brBRA,"FW,MF",27-339,23,23,"1,974",21.9,6,0,6,6,0,0,4,0,4.0,4.0,1.0,5.0,66,69,189,0.27,0.00,0.27,0.27,0.27,0.18,0.05,0.23,0.18,0.23,Matches
Ronaldo,brBRA,GK,28-028,22,22,"1,979",22.0,0,1,1,0,0,0,2,1,0.0,0.0,0.3,0.3,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01,Matches
Shaylon,brBRA,"FW,MF",27-145,24,21,"1,732",19.2,2,1,3,1,1,2,2,0,3.7,2.2,4.1,6.3,27,102,71,0.10,0.05,0.16,0.05,0.10,0.19,0.21,0.41,0.11,0.33,Matches
Gabriel Baralhas,brBRA,MF,25-345,22,20,"1,493",16.6,1,1,2,1,0,0,6,0,1.5,1.5,1.4,2.9,12,73,42,0.06,0.06,0.12,0.06,0.12,0.09,0.09,0.17,0.09,0.17,Matches
Rhaldney,brBRA,MF,25-304,21,20,"1,474",16.4,0,1,1,0,0,0,8,0,0.6,0.6,0.6,1.2,20,90,38,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Maguinho,brBRA,DF,31-257,20,17,"1,358",15.1,0,1,1,0,0,0,3,1,0.4,0.4,1.1,1.6,26,45,66,0.00,0.07,0.07,0.00,0.07,0.03,0.08,0.10,0.03,0.10,Matches
Alix Vinicius,brBRA,DF,24-318,15,14,"1,142",12.7,0,0,0,0,0,0,3,2,0.7,0.7,0.6,1.3,7,43,8,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
Emiliano Rodríguez,uyURU,FW,21-065,21,14,"1,096",12.2,0,0,0,0,0,0,2,0,2.8,2.8,0.5,3.4,10,13,64,0.00,0.00,0.00,0.00,0.00,0.23,0.04,0.27,0.23,0.27,Matches
