Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Paulinho,brBRA,"FW,MF",24-066,21,19,"1,701",18.9,6,1,7,5,1,1,3,1,4.4,3.7,1.3,4.9,43,69,139,0.32,0.05,0.37,0.26,0.32,0.24,0.07,0.30,0.19,0.26,Matches
Gustavo Scarpa,brBRA,"DF,MF",30-258,22,19,"1,677",18.6,4,4,8,2,2,2,3,0,3.7,2.1,3.4,5.5,62,112,183,0.21,0.21,0.43,0.11,0.32,0.20,0.18,0.38,0.11,0.30,Matches
Rodrigo Battaglia,arARG,"DF,MF",33-069,19,19,"1,655",18.4,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,16,67,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Renzo Saravia,arARG,DF,31-095,20,16,"1,416",15.7,0,0,0,0,0,0,2,0,0.3,0.3,0.9,1.1,38,120,57,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Bruno Fuchs,brBRA,DF,25-171,17,16,"1,368",15.2,0,1,1,0,0,0,8,1,0.6,0.6,1.3,1.9,14,102,4,0.00,0.07,0.07,0.00,0.07,0.04,0.08,0.12,0.04,0.12,Matches
Hulk,brBRA,FW,38-056,15,15,"1,258",14.0,7,3,10,4,3,3,4,1,6.6,4.3,1.2,5.5,22,40,91,0.50,0.21,0.72,0.29,0.50,0.47,0.09,0.56,0.30,0.39,Matches
Otávio,brBRA,MF,30-138,15,15,"1,254",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,12,64,13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Éverson,brBRA,GK,34-059,14,14,"1,260",14.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alan Franco,ecECU,MF,26-029,16,13,"1,170",13.0,0,0,0,0,0,0,4,0,1.0,1.0,1.5,2.5,3,42,44,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches
Guilherme Arana,brBRA,DF,27-158,13,11,"1,092",12.1,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.5,39,82,105,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12,0.05,0.12,Matches
Carlos Eduardo,brBRA,"FW,MF",20-118,18,11,904,10.0,2,0,2,2,0,0,1,0,1.9,1.9,0.1,1.9,13,12,60,0.20,0.00,0.20,0.20,0.20,0.19,0.01,0.19,0.19,0.19,Matches
Matheus Mendes,brBRA,GK,25-193,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Igor Gomes,brBRA,MF,25-186,13,10,817,9.1,1,2,3,0,1,1,4,0,1.5,0.7,1.0,1.7,16,59,43,0.11,0.22,0.33,0.00,0.22,0.17,0.11,0.28,0.08,0.19,Matches
