,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
18.9,"FW,MF",24-062,21,19,"1,701",6,1,7,5,1,1,3,1,0.19,0.26,Matches,4.9,43,69,139,0.32,0.05,0.37,0.26,0.32,0.24,0.07,0.30
18.3,"DF,MF",30-254,21,19,"1,650",4,4,8,2,2,2,3,0,0.12,0.30,Matches,5.5,61,110,180,0.22,0.22,0.44,0.11,0.33,0.20,0.19,0.39
17.4,"DF,MF",33-065,18,18,"1,565",0,0,0,0,0,0,7,2,0.02,0.03,Matches,0.5,16,57,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03
15.4,DF,31-091,19,16,"1,389",0,0,0,0,0,0,2,0,0.02,0.07,Matches,1.1,36,114,53,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07
14.2,DF,25-167,16,15,"1,278",0,1,1,0,0,0,8,1,0.04,0.13,Matches,1.9,14,99,4,0.00,0.07,0.07,0.00,0.07,0.04,0.09,0.13
13.9,MF,30-134,15,15,"1,254",0,0,0,0,0,0,1,0,0.01,0.02,Matches,0.3,12,64,13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02
13.0,FW,38-052,14,14,"1,168",7,3,10,4,3,3,4,1,0.31,0.40,Matches,5.2,20,37,81,0.54,0.23,0.77,0.31,0.54,0.49,0.10,0.58
13.0,GK,34-055,13,13,"1,170",0,0,0,0,0,0,3,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.0,MF,26-025,16,13,"1,170",0,0,0,0,0,0,4,0,0.08,0.19,Matches,2.5,3,42,44,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19
12.1,DF,27-154,13,11,"1,092",1,1,2,1,0,0,4,0,0.05,0.12,Matches,1.5,39,82,105,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.12
10.0,GK,25-189,10,10,900,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.3,"FW,MF",20-114,17,10,841,2,0,2,2,0,0,1,0,0.19,0.19,Matches,1.8,13,12,56,0.21,0.00,0.21,0.21,0.21,0.19,0.01,0.19
8.0,MF,26-189,13,10,724,2,0,2,2,0,0,1,0,0.09,0.16,Matches,1.3,5,25,30,0.25,0.00,0.25,0.25,0.25,0.09,0.07,0.16
8.4,MF,25-182,12,9,754,1,2,3,0,1,1,3,0,0.09,0.21,Matches,1.7,13,56,41,0.12,0.24,0.36,0.00,0.24,0.18,0.12,0.30
5.9,"MF,FW",32-007,8,7,532,0,0,0,0,0,0,1,0,0.07,0.27,Matches,1.6,20,36,49,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.27
6.2,DF,29-140,10,6,557,0,1,1,0,0,0,2,1,0.03,0.04,Matches,0.2,2,11,0,0.00,0.16,0.16,0.00,0.16,0.03,0.01,0.04
5.6,DF,31-219,6,6,506,1,0,1,1,0,0,2,0,0.04,0.05,Matches,0.3,10,33,4,0.18,0.00,0.18,0.18,0.18,0.04,0.01,0.05
5.6,MF,24-173,7,6,500,0,0,0,0,0,0,0,0,0.09,0.10,Matches,0.6,5,35,12,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10
5.5,DF,20-228,8,5,495,1,0,1,1,0,0,4,1,0.09,0.19,Matches,1.1,8,34,4,0.18,0.00,0.18,0.18,0.18,0.09,0.10,0.19
5.6,"FW,MF",34-300,15,4,502,5,0,5,5,0,0,0,0,0.57,0.65,Matches,3.6,9,23,42,0.90,0.00,0.90,0.90,0.90,0.57,0.09,0.65
5.3,"DF,MF",18-360,11,4,479,0,0,0,0,0,0,0,0,0.22,0.27,Matches,1.4,20,23,62,0.00,0.00,0.00,0.00,0.00,0.22,0.05,0.27
3.2,DF,28-262,6,4,290,0,0,0,0,0,0,3,0,0.02,0.05,Matches,0.2,2,9,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05
4.6,"DF,MF",21-296,12,3,410,2,1,3,1,1,1,2,0,0.14,0.22,Matches,1.0,26,15,62,0.44,0.22,0.66,0.22,0.44,0.31,0.09,0.40
3.0,MF,20-020,6,3,272,0,0,0,0,0,0,1,0,0.00,0.04,Matches,0.1,5,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04
2.9,DF,38-084,5,3,262,0,0,0,0,0,0,2,0,0.00,0.10,Matches,0.3,1,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10
2.3,DF,32-022,3,3,203,0,0,0,0,0,0,2,0,0.00,0.00,Matches,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,DF,27-227,4,2,229,0,0,0,0,0,0,3,1,0.01,0.01,Matches,0.0,4,15,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
