Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcos Felipe,brBRA,GK,28-159,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jean Lucas,brBRA,MF,26-089,25,25,"2,108",23.4,3,5,8,3,0,0,4,0,4.2,4.2,2.4,6.6,38,87,126,0.13,0.21,0.34,0.13,0.34,0.18,0.10,0.28,0.18,0.28,Matches
Gabriel,brBRA,DF,23-136,24,24,"2,160",24.0,0,0,0,0,0,0,4,0,0.6,0.6,0.0,0.6,10,75,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Caio Alexandre,brBRA,MF,25-208,25,24,"2,008",22.3,2,0,2,2,0,0,5,0,0.9,0.9,1.8,2.7,56,168,34,0.09,0.00,0.09,0.09,0.09,0.04,0.08,0.12,0.04,0.12,Matches
Cauly Oliveira Souza,brBRA,"MF,FW",29-004,26,24,"1,921",21.3,2,4,6,2,0,0,1,0,2.4,2.4,3.2,5.6,48,101,132,0.09,0.19,0.28,0.09,0.28,0.11,0.15,0.26,0.11,0.26,Matches
Luciano Juba,brBRA,DF,25-021,25,23,"2,061",22.9,3,1,4,3,0,0,1,0,0.9,0.9,2.1,3.1,23,88,52,0.13,0.04,0.17,0.13,0.17,0.04,0.09,0.13,0.04,0.13,Matches
Everton Ribeiro,brBRA,MF,35-162,26,23,"1,817",20.2,2,5,7,2,0,0,2,0,1.2,1.2,3.1,4.3,52,219,103,0.10,0.25,0.35,0.10,0.35,0.06,0.16,0.22,0.06,0.22,Matches
Thaciano,brBRA,FW,29-130,25,23,"1,731",19.2,6,2,8,6,0,0,5,0,4.2,4.2,2.0,6.2,15,35,91,0.31,0.10,0.42,0.31,0.42,0.22,0.11,0.32,0.22,0.32,Matches
Everaldo Stum,brBRA,FW,33-076,25,22,"1,589",17.7,7,2,9,6,1,1,4,0,5.4,4.7,1.4,6.1,27,28,132,0.40,0.11,0.51,0.34,0.45,0.31,0.08,0.39,0.26,0.35,Matches
Kanu,brBRA,DF,27-196,20,20,"1,800",20.0,0,0,0,0,0,0,9,0,0.1,0.1,0.0,0.1,8,50,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Santiago Arias,coCOL,DF,32-250,15,14,"1,281",14.2,0,0,0,0,0,0,2,0,0.2,0.2,2.4,2.6,36,74,126,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.18,0.02,0.18,Matches
Gilberto,brBRA,DF,31-196,13,11,929,10.3,1,0,1,1,0,0,1,0,1.2,1.2,0.8,2.0,40,50,97,0.10,0.00,0.10,0.10,0.10,0.12,0.08,0.20,0.12,0.20,Matches
