,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
23.0,GK,28-134,23,23,"2,070",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.5,MF,26-064,22,22,"1,843",3,5,8,3,0,0,3,0,0.19,0.30,Matches,6.1,33,79,114,0.15,0.24,0.39,0.15,0.39,0.19,0.11,0.30
21.0,DF,23-111,21,21,"1,890",0,0,0,0,0,0,4,0,0.02,0.02,Matches,0.5,10,67,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
19.5,MF,25-183,22,21,"1,756",2,0,2,2,0,0,4,0,0.04,0.13,Matches,2.5,48,154,25,0.10,0.00,0.10,0.10,0.10,0.04,0.09,0.13
18.9,"MF,FW",28-345,23,21,"1,705",2,3,5,2,0,0,1,0,0.12,0.26,Matches,4.9,40,88,115,0.11,0.16,0.26,0.11,0.26,0.12,0.14,0.26
19.9,DF,24-362,22,20,"1,791",2,1,3,2,0,0,0,0,0.04,0.13,Matches,2.5,19,81,47,0.10,0.05,0.15,0.10,0.15,0.04,0.09,0.13
17.4,"MF,FW",35-137,23,20,"1,567",1,5,6,1,0,0,2,0,0.07,0.24,Matches,4.2,46,187,94,0.06,0.29,0.34,0.06,0.34,0.07,0.18,0.24
17.2,FW,29-105,22,20,"1,545",6,1,7,6,0,0,4,0,0.21,0.31,Matches,5.4,12,33,83,0.35,0.06,0.41,0.35,0.41,0.21,0.10,0.31
15.3,FW,33-051,22,19,"1,373",6,2,8,5,1,1,4,0,0.25,0.35,Matches,5.3,22,25,112,0.39,0.13,0.52,0.33,0.46,0.31,0.09,0.40
17.0,DF,27-171,17,17,"1,530",0,0,0,0,0,0,7,0,0.01,0.01,Matches,0.1,7,40,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
11.2,DF,32-225,12,11,"1,011",0,0,0,0,0,0,1,0,0.02,0.19,Matches,2.1,25,49,96,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19
10.3,DF,31-171,13,11,929,1,0,1,1,0,0,1,0,0.12,0.20,Matches,2.0,40,50,97,0.10,0.00,0.10,0.10,0.10,0.12,0.08,0.20
5.1,DF,35-280,6,6,461,0,0,0,0,0,0,3,0,0.04,0.04,Matches,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
5.7,"MF,DF",29-236,15,4,511,0,0,0,0,0,0,3,0,0.07,0.08,Matches,0.4,2,19,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08
5.2,"FW,MF",29-191,17,4,470,1,1,2,1,0,0,0,0,0.14,0.38,Matches,2.0,31,9,54,0.19,0.19,0.38,0.19,0.38,0.14,0.23,0.38
7.7,"FW,MF",23-146,20,3,691,4,4,8,4,0,0,2,0,0.50,0.89,Matches,6.8,31,31,79,0.52,0.52,1.04,0.52,1.04,0.50,0.39,0.89
5.8,"MF,FW",32-167,22,3,523,0,3,3,0,0,0,5,0,0.08,0.43,Matches,2.5,7,49,15,0.00,0.52,0.52,0.00,0.52,0.08,0.34,0.43
3.9,DF,27-155,7,3,351,0,0,0,0,0,0,0,0,0.18,0.40,Matches,1.6,11,17,17,0.00,0.00,0.00,0.00,0.00,0.18,0.22,0.40
2.8,"FW,MF",27-240,11,1,252,3,1,4,3,0,0,1,0,1.22,1.26,Matches,3.5,1,6,17,1.07,0.36,1.43,1.07,1.43,1.22,0.05,1.26
1.3,FW,21-040,4,1,114,0,0,0,0,0,0,0,0,1.10,1.16,Matches,1.5,4,4,11,0.00,0.00,0.00,0.00,0.00,1.10,0.05,1.16
0.9,"DF,FW",35-243,6,1,85,0,0,0,0,0,0,0,0,0.00,0.12,Matches,0.1,1,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12
0.8,DF,29-214,1,1,75,1,0,1,1,0,0,0,0,0.18,0.18,Matches,0.1,0,2,0,1.20,0.00,1.20,1.20,1.20,0.18,0.00,0.18
1.8,"FW,MF",28-269,9,0,163,1,1,2,1,0,0,0,0,0.85,1.04,Matches,1.9,5,3,20,0.55,0.55,1.10,0.55,1.10,0.85,0.19,1.04
0.3,MF,29-204,5,0,30,0,0,0,0,0,0,2,0,0.12,0.20,Matches,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20
0.2,DF,33-097,1,0,15,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.1,FW,19-139,1,0,13,0,0,0,0,0,0,0,0,0.00,2.96,Matches,0.4,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,2.96,2.96
0.1,MF,16-033,1,0,6,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.0,GK,36-144,0,0,,0,0,0,0,0,0,1,0,,,Matches,,,,,,,,,,,,
0.0,DF,22-243,0,0,,0,0,0,0,0,0,1,0,,,Matches,,,,,,,,,,,,
,GK,23-224,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,DF,22-193,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,17-195,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
,MF,18-166,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,,
