Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Bastos,aoANG,DF,33-176,24,24,"2,061",22.9,3,0,3,3,0,0,4,0,1.1,1.1,0.1,1.1,7,77,4,0.13,0.00,0.13,0.13,0.13,0.05,0.00,0.05,0.05,0.05,Matches
John,brBRA,GK,28-219,23,23,"2,070",23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Luiz Henrique,brBRA,"FW,MF",23-261,24,22,"1,658",18.4,5,3,8,4,1,1,3,0,3.5,2.7,2.6,5.2,41,41,151,0.27,0.16,0.43,0.22,0.38,0.19,0.14,0.33,0.14,0.28,Matches
Marlon Freitas,brBRA,MF,29-176,23,19,"1,664",18.5,0,4,4,0,0,0,6,0,0.8,0.8,2.5,3.4,23,170,27,0.00,0.22,0.22,0.00,0.22,0.05,0.14,0.18,0.05,0.18,Matches
Lucas Halter,brBRA,DF,24-140,16,15,"1,331",14.8,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,8,40,1,0.07,0.00,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,Matches
Júnior Santos,brBRA,FW,29-344,17,15,"1,314",14.6,3,1,4,3,0,0,2,0,5.4,5.4,1.4,6.8,39,28,117,0.21,0.07,0.27,0.21,0.27,0.37,0.10,0.47,0.37,0.47,Matches
Gregore,brBRA,MF,30-201,22,14,"1,272",14.1,0,1,1,0,0,0,7,0,0.4,0.4,0.2,0.6,15,88,15,0.00,0.07,0.07,0.00,0.07,0.03,0.02,0.04,0.03,0.04,Matches
Cuiabano,brBRA,DF,21-216,17,14,"1,204",13.4,4,1,5,4,0,0,4,0,1.3,1.3,0.5,1.8,25,29,105,0.30,0.07,0.37,0.30,0.37,0.10,0.04,0.14,0.10,0.14,Matches
Tchê Tchê,brBRA,"MF,FW",32-020,22,13,"1,319",14.7,0,0,0,0,0,0,1,1,0.6,0.6,2.6,3.2,24,68,37,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.22,0.04,0.22,Matches
Damián Suárez,uyURU,DF,36-145,17,13,"1,244",13.8,0,1,1,0,0,0,5,0,0.1,0.1,1.6,1.7,22,37,55,0.00,0.07,0.07,0.00,0.07,0.01,0.12,0.13,0.01,0.13,Matches
Alexander Barboza,arARG,DF,29-187,16,13,"1,134",12.6,0,1,1,0,0,0,6,1,0.4,0.4,0.6,1.0,6,47,5,0.00,0.08,0.08,0.00,0.08,0.03,0.05,0.08,0.03,0.08,Matches
