Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rodrigo Garro,arARG,"MF,FW",26-259,24,24,"2,045",22.7,4,3,7,3,1,1,8,0,3.4,2.6,4.6,7.2,44,165,118,0.18,0.13,0.31,0.13,0.26,0.15,0.20,0.35,0.12,0.32,Matches
Raniele,brBRA,"MF,DF",27-263,23,21,"1,750",19.4,0,0,0,0,0,0,6,0,1.1,1.1,0.6,1.7,15,52,22,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Hugo,brBRA,DF,27-021,22,21,"1,733",19.3,0,4,4,0,0,0,2,0,0.8,0.8,1.5,2.3,22,70,61,0.00,0.21,0.21,0.00,0.21,0.04,0.08,0.12,0.04,0.12,Matches
Cacá,brBRA,DF,25-147,20,20,"1,783",19.8,3,1,4,3,0,0,3,1,3.4,3.4,0.2,3.6,9,39,1,0.15,0.05,0.20,0.15,0.20,0.17,0.01,0.18,0.17,0.18,Matches
Wesley,brBRA,FW,19-198,23,17,"1,438",16.0,2,1,3,2,0,0,2,0,1.8,1.8,2.4,4.1,79,45,124,0.13,0.06,0.19,0.13,0.19,0.11,0.15,0.26,0.11,0.26,Matches
Félix Torres Caicedo,ecECU,DF,27-252,17,16,"1,393",15.5,0,0,0,0,0,0,3,0,0.8,0.8,0.8,1.6,5,52,1,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Yuri Alberto,brBRA,FW,23-185,19,15,"1,413",15.7,4,3,7,3,1,1,4,1,4.2,3.4,0.9,4.3,23,19,107,0.25,0.19,0.45,0.19,0.38,0.27,0.06,0.33,0.22,0.28,Matches
Matheuzinho,brBRA,DF,24-011,22,14,"1,434",15.9,0,0,0,0,0,0,2,0,0.6,0.6,0.9,1.5,21,60,79,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Ángel Romero,pyPAR,FW,32-077,18,13,"1,092",12.1,3,0,3,3,0,1,5,0,3.3,2.5,1.1,3.6,18,43,97,0.25,0.00,0.25,0.25,0.25,0.27,0.09,0.36,0.21,0.29,Matches
Breno,brBRA,MF,19-212,17,12,"1,044",11.6,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,11,69,36,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
Igor Coronado,brBRA,"MF,FW",32-032,21,10,"1,112",12.4,1,1,2,1,0,0,3,0,0.9,0.9,2.7,3.6,54,95,70,0.08,0.08,0.16,0.08,0.16,0.07,0.22,0.29,0.07,0.29,Matches
Hugo Souza,brBRA,GK,25-232,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
André Ramalho,brBRA,DF,32-216,9,9,810,9.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,5,35,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Gustavo Henrique,brBRA,DF,31-179,9,9,734,8.2,0,0,0,0,0,0,6,1,0.6,0.6,0.2,0.8,5,13,1,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
Fagner,brBRA,"DF,MF",35-100,11,9,689,7.7,0,1,1,0,0,0,1,0,0.1,0.1,1.6,1.7,9,33,29,0.00,0.13,0.13,0.00,0.13,0.01,0.21,0.22,0.01,0.22,Matches
Matheus Donelli,brBRA,GK,22-125,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Miguel,brBRA,GK,25-346,6,6,540,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Ryan Gustavo,brBRA,MF,21-066,11,6,526,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,4,16,8,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
