Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcelo Hermes,brBRA,"DF,MF",29-231,23,23,"2,035",22.6,2,4,6,2,0,0,4,0,1.4,1.4,1.4,2.8,28,84,96,0.09,0.18,0.27,0.09,0.27,0.06,0.06,0.13,0.06,0.13,Matches
Gustavo,brBRA,GK,31-193,22,22,"1,952",21.7,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Fagundes,brBRA,DF,37-193,20,20,"1,800",20.0,1,1,2,1,0,0,7,0,0.8,0.8,0.9,1.7,11,76,1,0.05,0.05,0.10,0.05,0.10,0.04,0.04,0.08,0.04,0.08,Matches
Yannick Bolasie,cdCOD,FW,35-118,22,18,"1,568",17.4,6,3,9,6,0,0,2,0,6.2,6.2,0.9,7.2,47,33,115,0.34,0.17,0.52,0.34,0.52,0.36,0.05,0.41,0.36,0.41,Matches
Barreto,brBRA,MF,28-284,18,18,"1,473",16.4,2,1,3,2,0,0,3,0,2.4,2.4,0.5,2.9,12,63,24,0.12,0.06,0.18,0.12,0.18,0.15,0.03,0.18,0.15,0.18,Matches
Claudinho,brBRA,DF,23-361,24,17,"1,503",16.7,2,3,5,2,0,0,3,0,0.8,0.8,3.0,3.9,30,73,75,0.12,0.18,0.30,0.12,0.30,0.05,0.18,0.23,0.05,0.23,Matches
Newton,brBRA,MF,24-191,20,16,"1,410",15.7,1,1,2,1,0,0,2,0,1.1,1.1,0.8,1.9,23,50,39,0.06,0.06,0.13,0.06,0.13,0.07,0.05,0.12,0.07,0.12,Matches
Arthur,brBRA,FW,32-096,23,13,"1,242",13.8,4,0,4,4,0,0,2,0,4.3,4.3,1.5,5.7,8,23,68,0.29,0.00,0.29,0.29,0.29,0.31,0.11,0.42,0.31,0.42,Matches
Miguel Trauco,pePER,DF,32-025,18,13,"1,115",12.4,2,0,2,2,0,0,2,1,0.3,0.3,0.5,0.8,2,69,12,0.16,0.00,0.16,0.16,0.16,0.02,0.04,0.07,0.02,0.07,Matches
Matheusinho,brBRA,"MF,FW",26-221,18,12,"1,043",11.6,5,2,7,5,0,0,2,0,3.6,3.6,1.6,5.3,13,60,77,0.43,0.17,0.60,0.43,0.60,0.31,0.14,0.45,0.31,0.45,Matches
Higor Meritão,brBRA,MF,30-088,16,12,970,10.8,2,0,2,2,0,0,3,0,1.3,1.3,0.1,1.4,9,50,12,0.19,0.00,0.19,0.19,0.19,0.12,0.01,0.13,0.12,0.13,Matches
Fellipe Mateus,brBRA,"MF,FW",33-220,19,11,"1,163",12.9,2,0,2,2,0,0,3,0,1.0,1.0,0.8,1.9,12,50,78,0.15,0.00,0.15,0.15,0.15,0.08,0.07,0.15,0.08,0.15,Matches
Tobias Figueiredo,ptPOR,DF,30-230,13,11,"1,002",11.1,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,1,31,1,0.09,0.00,0.09,0.09,0.09,0.02,0.00,0.03,0.02,0.03,Matches
Wilker Ángel,veVEN,DF,31-185,11,10,879,9.8,1,0,1,1,0,0,2,0,0.5,0.5,0.0,0.5,1,15,3,0.10,0.00,0.10,0.10,0.10,0.05,0.00,0.05,0.05,0.05,Matches
Marquinhos Gabriel,brBRA,MF,34-060,20,10,847,9.4,0,0,0,0,0,0,4,0,0.5,0.5,1.8,2.4,20,40,51,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.25,0.06,0.25,Matches
Éder,itITA,FW,37-309,16,10,764,8.5,0,0,0,0,0,0,5,0,1.1,1.1,1.3,2.3,13,22,60,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.28,0.13,0.28,Matches
Walisson Maia,brBRA,DF,33-029,13,9,852,9.5,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,1,12,2,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Matches
Ronald,brBRA,MF,27-093,18,9,845,9.4,0,2,2,0,0,0,5,0,0.5,0.5,1.2,1.7,15,26,40,0.00,0.21,0.21,0.00,0.21,0.06,0.13,0.18,0.06,0.18,Matches
Allano,brBRA,"FW,MF",29-148,16,7,719,8.0,0,1,1,0,0,0,7,2,1.0,1.0,1.6,2.5,32,35,85,0.00,0.13,0.13,0.00,0.13,0.12,0.19,0.31,0.12,0.31,Matches
Jonathan,brBRA,DF,32-025,12,6,517,5.7,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,6,31,11,0.00,0.17,0.17,0.00,0.17,0.02,0.12,0.14,0.02,0.14,Matches
Alisson,brBRA,GK,29-103,4,3,296,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
