Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Matheus Pereira,ptPOR,"FW,MF",28-137,24,23,"2,081",23.1,6,5,11,6,0,0,7,0,3.9,3.8,3.9,7.7,66,153,118,0.26,0.22,0.48,0.26,0.48,0.17,0.17,0.33,0.16,0.33,Matches
William,brBRA,DF,29-169,23,23,"2,018",22.4,5,5,10,2,3,3,6,0,3.8,1.4,3.2,4.7,52,97,133,0.22,0.22,0.45,0.09,0.31,0.17,0.14,0.31,0.06,0.21,Matches
João Marcelo,brBRA,DF,24-098,23,22,"1,981",22.0,0,2,2,0,0,0,7,0,0.5,0.5,0.5,1.0,32,102,4,0.00,0.09,0.09,0.00,0.09,0.02,0.02,0.05,0.02,0.05,Matches
Lucas Romero,arARG,MF,30-154,23,22,"1,802",20.0,0,2,2,0,0,0,6,1,0.5,0.5,0.6,1.1,10,106,20,0.00,0.10,0.10,0.00,0.10,0.02,0.03,0.05,0.02,0.05,Matches
Zé Ivaldo,brBRA,DF,27-211,22,21,"1,935",21.5,0,0,0,0,0,0,7,0,1.2,1.2,0.2,1.4,21,72,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Lucas Silva,brBRA,MF,31-216,22,18,"1,352",15.0,1,0,1,1,0,0,3,0,0.7,0.7,0.6,1.3,21,57,33,0.07,0.00,0.07,0.07,0.07,0.05,0.04,0.08,0.05,0.08,Matches
Marlon,brBRA,DF,27-122,18,17,"1,433",15.9,0,0,0,0,0,0,1,2,0.4,0.4,0.9,1.2,31,77,70,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
Anderson,brBRA,GK,26-198,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Arthur,brBRA,FW,26-078,21,14,"1,273",14.1,2,1,3,2,0,0,1,0,1.6,1.6,0.8,2.5,48,35,130,0.14,0.07,0.21,0.14,0.21,0.11,0.06,0.17,0.11,0.17,Matches
Álvaro Barreal,arARG,"MF,FW",24-033,19,13,"1,073",11.9,2,3,5,2,0,0,4,0,1.6,1.6,1.4,3.0,15,48,76,0.17,0.25,0.42,0.17,0.42,0.13,0.12,0.25,0.13,0.25,Matches
Ramiro Benetti,brBRA,MF,31-120,19,12,988,11.0,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,7,33,26,0.09,0.00,0.09,0.09,0.09,0.04,0.06,0.10,0.04,0.10,Matches
Gabriel Veron,brBRA,"FW,MF",22-016,17,12,902,10.0,4,1,5,4,0,0,2,0,2.6,2.6,0.6,3.1,13,19,64,0.40,0.10,0.50,0.40,0.50,0.26,0.06,0.31,0.26,0.31,Matches
Cássio,brBRA,GK,37-105,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kaiki,brBRA,DF,21-195,13,9,850,9.4,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,24,31,55,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
Matheus Henrique,brBRA,"MF,FW",26-275,11,9,802,8.9,2,0,2,2,0,0,3,0,0.7,0.7,0.2,0.9,17,36,34,0.22,0.00,0.22,0.22,0.22,0.08,0.02,0.10,0.08,0.10,Matches
Rafael Silva,brBRA,FW,32-168,8,8,527,5.9,3,0,3,3,0,0,2,0,1.7,1.7,0.1,1.8,6,10,27,0.51,0.00,0.51,0.51,0.51,0.29,0.02,0.31,0.29,0.31,Matches
Kaio Jorge,brBRA,FW,22-239,10,7,628,7.0,1,1,2,1,0,1,2,0,2.1,1.3,0.6,2.0,8,7,28,0.14,0.14,0.29,0.14,0.29,0.31,0.09,0.40,0.19,0.28,Matches
Lucas Villalba,arARG,DF,30-031,15,6,606,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,6,20,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Lautaro Díaz,arARG,FW,26-121,8,5,406,4.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,6,9,26,0.22,0.00,0.22,0.22,0.22,0.05,0.07,0.12,0.05,0.12,Matches
Neris,brBRA,DF,32-094,6,4,304,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Walace,brBRA,MF,29-168,7,4,284,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Robert,brBRA,"MF,FW",19-159,12,3,396,4.4,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,17,7,34,0.00,0.23,0.23,0.00,0.23,0.07,0.06,0.13,0.07,0.13,Matches
Juan Ignacio Dinenno,arARG,"FW,DF",30-022,7,2,239,2.7,3,0,3,2,1,1,0,0,1.2,0.4,0.0,0.4,0,0,6,1.13,0.00,1.13,0.75,0.75,0.44,0.00,0.44,0.15,0.15,Matches
Machado,brBRA,MF,28-243,6,2,167,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
