Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Walter,brBRA,GK,36-306,24,24,"2,160",24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marllon Borges,brBRA,DF,32-156,24,24,"2,071",23.0,1,0,1,1,0,0,3,0,1.0,1.0,0.2,1.2,3,47,1,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.05,0.05,0.05,Matches
Isidro Pitta,pyPAR,FW,25-036,24,23,"1,921",21.3,7,1,8,4,3,4,3,0,8.9,5.7,2.4,8.2,35,31,120,0.33,0.05,0.37,0.19,0.23,0.42,0.11,0.53,0.27,0.38,Matches
Alan Empereur,brBRA,DF,30-193,22,22,"1,873",20.8,0,0,0,0,0,0,7,0,0.5,0.5,1.0,1.5,14,74,9,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Lucas Mineiro,brBRA,MF,28-208,22,21,"1,788",19.9,0,0,0,0,0,0,5,0,0.5,0.5,0.2,0.7,17,69,12,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Denilson,brBRA,MF,23-180,21,20,"1,483",16.5,0,3,3,0,0,0,6,0,0.8,0.8,1.8,2.6,25,77,31,0.00,0.18,0.18,0.00,0.18,0.05,0.11,0.16,0.05,0.16,Matches
Ramon,brBRA,DF,23-190,18,18,"1,562",17.4,2,1,3,2,0,0,6,0,0.7,0.7,1.1,1.8,29,58,63,0.12,0.06,0.17,0.12,0.17,0.04,0.06,0.10,0.04,0.10,Matches
Matheus Alexandre,brBRA,DF,25-165,19,18,"1,464",16.3,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.5,17,61,50,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Clayson,brBRA,"FW,MF",29-184,21,16,"1,122",12.5,4,0,4,4,0,0,5,0,2.0,2.0,0.4,2.4,37,36,70,0.32,0.00,0.32,0.32,0.32,0.16,0.03,0.19,0.16,0.19,Matches
Jonathan Cafu,brBRA,"FW,MF",33-071,20,14,"1,182",13.1,1,2,3,1,0,0,1,0,2.2,2.2,1.0,3.3,35,36,107,0.08,0.15,0.23,0.08,0.23,0.17,0.08,0.25,0.17,0.25,Matches
Max,brBRA,MF,23-130,16,14,"1,010",11.2,1,0,1,1,0,0,1,0,1.0,1.0,1.3,2.3,17,46,43,0.09,0.00,0.09,0.09,0.09,0.09,0.11,0.20,0.09,0.20,Matches
Fernando Sobral,brBRA,MF,29-277,22,11,"1,135",12.6,1,2,3,0,1,1,3,0,1.2,0.5,2.0,2.5,15,72,40,0.08,0.16,0.24,0.00,0.16,0.10,0.16,0.26,0.04,0.19,Matches
Bruno Fabiano Alves,brBRA,DF,33-156,16,9,935,10.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,8,29,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Derik Lacerda,brBRA,"FW,MF",24-358,18,9,935,10.4,2,0,2,2,0,0,5,0,1.4,1.4,1.8,3.2,28,18,61,0.19,0.00,0.19,0.19,0.19,0.14,0.18,0.31,0.14,0.31,Matches
Railan,brBRA,"DF,FW",24-193,16,7,805,8.9,0,3,3,0,0,0,3,0,0.3,0.3,0.6,0.9,24,38,40,0.00,0.34,0.34,0.00,0.34,0.03,0.07,0.10,0.03,0.10,Matches
Lucas Fernandes,brBRA,"MF,FW",26-365,14,5,593,6.6,1,0,1,1,0,0,2,0,0.7,0.7,0.4,1.2,4,31,20,0.15,0.00,0.15,0.15,0.15,0.11,0.07,0.18,0.11,0.18,Matches
Rikelme,brBRA,DF,21-065,8,5,497,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,10,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Filipe Augusto,brBRA,MF,31-038,12,3,390,4.3,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,2,14,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Juan Pablo,brBRA,DF,22-147,3,3,251,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,10,12,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
André Luis,brBRA,"FW,MF",27-151,17,2,415,4.6,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,4,13,41,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Deyverson,brBRA,FW,33-134,4,2,220,2.4,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,6,7,0.41,0.00,0.41,0.41,0.41,0.36,0.02,0.39,0.36,0.39,Matches
Gabriel Knesowitsch,brBRA,DF,20-337,3,2,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Eliel Chrystian,brBRA,"FW,MF",21-237,15,1,325,3.6,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,4,1,19,0.28,0.00,0.28,0.28,0.28,0.30,0.01,0.30,0.30,0.30,Matches
Mateus Pasinato,brBRA,GK,32-083,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Allyson Aires dos Santos,brBRA,DF,33-332,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Guilherme Madruga,brBRA,"MF,FW",23-313,6,0,104,1.2,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.9,1,8,4,0.00,0.87,0.87,0.00,0.87,0.22,0.55,0.77,0.22,0.77,Matches
Luciano Giménez,arARG,"FW,MF",24-214,6,0,73,0.8,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Gustavo Sauer,brBRA,"MF,FW",31-142,3,0,44,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,3,2,0.00,0.00,0.00,0.00,0.00,0.34,0.28,0.62,0.34,0.62,Matches
Jadson,brBRA,MF,19-040,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches
Marcelo Henrique,brBRA,DF,19-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hernandes,brBRA,DF,19-192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Felipe Lopes,brBRA,GK,19-177,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luisão,brBRA,DF,19-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rhyan,brBRA,GK,18-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tarcísio,brBRA,DF,21-020,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
