Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Agustín Rossi,arARG,GK,29-029,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gerson,brBRA,"MF,FW",27-122,25,20,"1,828",20.3,2,4,6,2,0,0,1,0,1.6,1.6,1.9,3.5,55,125,126,0.10,0.20,0.30,0.10,0.30,0.08,0.09,0.17,0.08,0.17,Matches
Fabrício Bruno,brBRA,DF,28-220,21,20,"1,761",19.6,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,6,79,6,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Matches
Pedro,brBRA,FW,27-091,21,19,"1,653",18.4,11,5,16,7,4,5,3,0,10.6,6.7,2.2,8.8,16,36,74,0.60,0.27,0.87,0.38,0.65,0.58,0.12,0.70,0.36,0.48,Matches
Ayrton Lucas,brBRA,DF,27-092,21,18,"1,517",16.9,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.2,41,64,66,0.06,0.12,0.18,0.06,0.18,0.04,0.09,0.13,0.04,0.13,Matches
Luiz Araújo,brBRA,"FW,MF",28-109,23,15,"1,505",16.7,3,5,8,3,0,0,3,0,2.1,2.1,4.6,6.7,52,70,119,0.18,0.30,0.48,0.18,0.48,0.13,0.27,0.40,0.13,0.40,Matches
Léo Pereira,brBRA,DF,28-232,20,15,"1,455",16.2,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,14,87,24,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Wesley,brBRA,DF,21-013,20,15,"1,455",16.2,0,1,1,0,0,0,1,0,0.6,0.6,1.7,2.3,30,50,120,0.00,0.06,0.06,0.00,0.06,0.04,0.10,0.14,0.04,0.14,Matches
David Luiz,brBRA,DF,37-150,16,15,"1,235",13.7,2,0,2,2,0,0,3,0,0.6,0.6,0.2,0.9,26,68,6,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06,Matches
Bruno Henrique,brBRA,FW,33-264,18,14,"1,241",13.8,5,0,5,5,0,0,4,0,3.6,3.6,0.7,4.2,45,25,91,0.36,0.00,0.36,0.36,0.36,0.26,0.05,0.31,0.26,0.31,Matches
Leo Ortiz,brBRA,"MF,DF",28-260,17,13,"1,187",13.2,0,2,2,0,0,0,2,0,0.8,0.8,1.2,2.0,11,82,8,0.00,0.15,0.15,0.00,0.15,0.06,0.09,0.15,0.06,0.15,Matches
Allan,brBRA,MF,27-200,19,13,"1,123",12.5,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.4,13,60,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Erick Pulgar,clCHI,MF,30-248,14,12,"1,009",11.2,0,0,0,0,0,0,4,0,0.8,0.7,0.2,0.9,6,53,15,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.06,0.08,Matches
Everton Soares,brBRA,FW,28-181,10,10,537,6.0,1,2,3,1,0,0,1,0,0.9,0.9,1.2,2.1,23,15,54,0.17,0.34,0.50,0.17,0.50,0.15,0.21,0.36,0.15,0.36,Matches
Giorgian De Arrascaeta,uyURU,MF,30-110,11,9,781,8.7,4,5,9,4,0,0,1,0,1.5,1.5,1.6,3.1,12,62,66,0.46,0.58,1.04,0.46,1.04,0.18,0.18,0.36,0.18,0.36,Matches
Nicolás De La Cruz,uyURU,MF,27-110,10,9,774,8.6,2,2,4,2,0,0,1,0,1.6,1.6,2.0,3.6,14,79,29,0.23,0.23,0.47,0.23,0.47,0.19,0.23,0.41,0.19,0.41,Matches
Guillermo Varela,uyURU,DF,31-179,11,9,739,8.2,0,0,0,0,0,0,0,0,0.1,0.1,1.0,1.1,11,17,41,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches
Lorran,brBRA,"MF,FW",18-077,15,7,596,6.6,1,1,2,1,0,0,0,0,1.9,1.9,0.9,2.8,28,34,55,0.15,0.15,0.30,0.15,0.30,0.29,0.14,0.43,0.29,0.43,Matches
Matías Viña,uyURU,DF,26-315,9,4,422,4.7,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.8,7,15,37,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.18,0.05,0.18,Matches
Carlinhos,brBRA,FW,27-220,12,4,366,4.1,2,0,2,2,0,0,2,0,2.2,2.2,0.1,2.2,2,1,19,0.49,0.00,0.49,0.49,0.49,0.54,0.01,0.55,0.54,0.55,Matches
Matheus Gonçalves,brBRA,"FW,MF",19-032,6,2,202,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,14,37,0.00,0.00,0.00,0.00,0.00,0.13,0.12,0.25,0.13,0.25,Matches
Igor,brBRA,MF,21-196,3,2,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
Gabriel Barbosa,brBRA,"MF,FW",28-020,12,1,317,3.5,2,1,3,1,1,1,1,0,2.2,1.4,0.5,1.9,10,13,14,0.57,0.28,0.85,0.28,0.57,0.62,0.15,0.77,0.40,0.55,Matches
Victor Hugo,brBRA,"FW,MF",20-131,10,1,262,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,12,17,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
Matheus Cunha,brBRA,GK,23-118,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michael,brBRA,FW,28-191,1,1,90,1.0,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,1,2,17,1.00,0.00,1.00,1.00,1.00,0.91,0.03,0.94,0.91,0.94,Matches
Gonzalo Plata,ecECU,FW,23-323,1,1,90,1.0,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.0,2,8,11,0.00,0.00,0.00,0.00,0.00,0.65,0.38,1.03,0.65,1.03,Matches
Alex Sandro,brBRA,DF,33-237,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,5,7,13,0.00,0.00,0.00,0.00,0.00,0.04,0.53,0.57,0.04,0.57,Matches
Evertton,brBRA,MF,21-204,7,0,90,1.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,1,4,2,1.00,0.00,1.00,1.00,1.00,0.26,0.00,0.26,0.26,0.26,Matches
Werton,brBRA,"MF,FW",21-003,2,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
Carlos Alcaraz,arARG,MF,21-294,1,0,44,0.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,4,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Cleiton,brBRA,DF,21-147,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
João Carbone,brBRA,DF,19-234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Francisco Dyogo,brBRA,GK,20-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fabiano,brBRA,MF,19-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iago,brBRA,DF,19-154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rayan,brBRA,MF,19-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Sales,brBRA,DF,18-088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
