,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
"1,890",arARG,GK,29-004,21,21,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1,586",brBRA,FW,27-066,20,18,17.6,10,5,15,7,3,4,3,0.68,0.38,0.50,Matches,8.8,14,35,73,0.57,0.28,0.85,0.40,0.68,0.56,0.12
"1,573",brBRA,DF,28-195,18,18,17.5,1,0,1,1,0,0,3,0.03,0.02,0.03,Matches,0.6,6,74,4,0.06,0.00,0.06,0.06,0.06,0.02,0.01
"1,575",brBRA,"MF,FW",27-097,22,17,17.5,1,4,5,1,0,0,1,0.16,0.07,0.16,Matches,2.8,44,106,101,0.06,0.23,0.29,0.06,0.29,0.07,0.09
"1,415",brBRA,DF,27-067,19,17,15.7,1,2,3,1,0,0,2,0.13,0.04,0.13,Matches,2.1,37,54,63,0.06,0.13,0.19,0.06,0.19,0.04,0.10
"1,314",brBRA,DF,20-354,17,14,14.6,0,1,1,0,0,0,1,0.14,0.04,0.14,Matches,2.1,27,44,106,0.00,0.07,0.07,0.00,0.07,0.04,0.10
"1,292",brBRA,DF,28-207,18,13,14.4,0,0,0,0,0,0,4,0.06,0.01,0.06,Matches,0.9,8,70,19,0.00,0.00,0.00,0.00,0.00,0.01,0.05
"1,083",brBRA,DF,37-125,14,13,12.0,2,0,2,2,0,0,3,0.07,0.05,0.07,Matches,0.8,24,61,5,0.17,0.00,0.17,0.17,0.17,0.05,0.02
"1,316",brBRA,"FW,MF",28-084,20,12,14.6,3,4,7,3,0,0,3,0.37,0.13,0.37,Matches,5.5,47,55,108,0.21,0.27,0.48,0.21,0.48,0.13,0.25
"1,006",brBRA,MF,27-175,17,12,11.2,0,0,0,0,0,0,3,0.03,0.01,0.03,Matches,0.3,11,52,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02
999,brBRA,FW,33-239,15,11,11.1,5,0,5,5,0,0,3,0.32,0.29,0.32,Matches,3.5,39,22,77,0.45,0.00,0.45,0.45,0.45,0.29,0.03
917,brBRA,"MF,DF",28-235,14,10,10.2,0,2,2,0,0,0,2,0.14,0.03,0.14,Matches,1.4,6,61,4,0.00,0.20,0.20,0.00,0.20,0.03,0.11
537,brBRA,FW,28-156,10,10,6.0,1,2,3,1,0,0,1,0.36,0.15,0.36,Matches,2.1,23,15,54,0.17,0.34,0.50,0.17,0.50,0.15,0.21
800,clCHI,MF,30-223,11,9,8.9,0,0,0,0,0,0,3,0.07,0.03,0.06,Matches,0.5,5,45,11,0.00,0.00,0.00,0.00,0.00,0.04,0.02
774,uyURU,MF,27-085,10,9,8.6,2,2,4,2,0,0,1,0.41,0.19,0.41,Matches,3.6,14,79,29,0.23,0.23,0.47,0.23,0.47,0.19,0.23
716,uyURU,MF,30-085,10,9,8.0,4,4,8,4,0,0,1,0.37,0.19,0.37,Matches,3.0,11,56,59,0.50,0.50,1.01,0.50,1.01,0.19,0.18
602,uyURU,DF,31-154,8,7,6.7,0,0,0,0,0,0,0,0.10,0.01,0.10,Matches,0.7,5,14,32,0.00,0.00,0.00,0.00,0.00,0.01,0.09
579,brBRA,"MF,FW",18-052,14,7,6.4,1,1,2,1,0,0,0,0.44,0.30,0.44,Matches,2.8,28,32,51,0.16,0.16,0.31,0.16,0.31,0.30,0.14
422,uyURU,DF,26-290,9,4,4.7,0,0,0,0,0,0,1,0.18,0.05,0.18,Matches,0.8,7,15,37,0.00,0.00,0.00,0.00,0.00,0.05,0.12
315,brBRA,FW,27-195,10,4,3.5,2,0,2,2,0,0,1,0.54,0.53,0.54,Matches,1.9,2,1,18,0.57,0.00,0.57,0.57,0.57,0.53,0.01
197,brBRA,"FW,MF",19-007,5,2,2.2,0,0,0,0,0,0,1,0.24,0.12,0.24,Matches,0.5,7,14,34,0.00,0.00,0.00,0.00,0.00,0.12,0.13
76,brBRA,MF,21-171,3,2,0.8,0,0,0,0,0,0,1,0.23,0.00,0.23,Matches,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23
309,brBRA,"FW,MF",27-361,11,1,3.4,2,1,3,1,1,1,1,0.79,0.41,0.56,Matches,1.9,10,13,14,0.58,0.29,0.87,0.29,0.58,0.64,0.15
262,brBRA,"FW,MF",20-106,10,1,2.9,0,0,0,0,0,0,1,0.14,0.08,0.14,Matches,0.4,8,12,17,0.00,0.00,0.00,0.00,0.00,0.08,0.06
90,brBRA,GK,23-093,1,1,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,brBRA,MF,21-179,5,0,0.9,1,0,1,1,0,0,1,0.29,0.29,0.29,Matches,0.3,1,4,2,1.11,0.00,1.11,1.11,1.11,0.29,0.00
49,brBRA,"MF,FW",20-344,2,0,0.5,0,0,0,0,0,0,0,0.10,0.10,0.10,Matches,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00
5,brBRA,DF,21-122,1,0,0.1,0,0,0,0,0,0,0,0.45,0.45,0.45,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.45,0.00
,brBRA,GK,20-229,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,DF,19-129,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,MF,19-235,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,DF,18-063,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,MF,19-169,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,ngNGA,FW,19-185,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,clCHI,FW,19-134,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
