Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fábio,brBRA,GK,43-355,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martinelli,brBRA,"MF,DF",23-132,21,21,"1,654",18.4,1,0,1,1,0,0,6,0,0.7,0.7,0.4,1.0,20,55,23,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Ganso,brBRA,MF,34-343,22,21,"1,603",17.8,3,4,7,3,0,0,10,0,0.8,0.8,2.8,3.6,12,119,51,0.17,0.22,0.39,0.17,0.39,0.04,0.16,0.20,0.04,0.20,Matches
Samuel Xavier,brBRA,DF,34-105,19,19,"1,600",17.8,0,2,2,0,0,0,3,0,0.5,0.5,0.9,1.4,27,53,48,0.00,0.11,0.11,0.00,0.11,0.03,0.05,0.08,0.03,0.08,Matches
Jhon Arias,coCOL,FW,26-364,15,15,"1,342",14.9,3,2,5,3,0,0,3,0,2.5,2.5,1.5,4.0,61,45,102,0.20,0.13,0.34,0.20,0.34,0.17,0.10,0.27,0.17,0.27,Matches
Germán Cano,arARG,FW,36-230,15,15,"1,119",12.4,2,0,2,2,0,0,3,0,4.5,4.5,0.5,5.0,3,14,24,0.16,0.00,0.16,0.16,0.16,0.36,0.04,0.40,0.36,0.40,Matches
Marquinhos,brBRA,"FW,DF",21-165,15,14,"1,145",12.7,0,1,1,0,0,0,2,0,0.8,0.8,2.1,2.8,52,26,91,0.00,0.08,0.08,0.00,0.08,0.06,0.16,0.22,0.06,0.22,Matches
Thiago dos Santos,brBRA,DF,35-014,16,13,"1,163",12.9,0,0,0,0,0,0,6,0,0.9,0.9,0.0,0.9,6,36,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
André,brBRA,MF,23-065,12,12,"1,072",11.9,0,1,1,0,0,0,5,0,0.1,0.1,0.1,0.2,9,64,7,0.00,0.08,0.08,0.00,0.08,0.01,0.01,0.02,0.01,0.02,Matches
Diogo Barbosa,brBRA,DF,32-033,16,11,"1,043",11.6,0,0,0,0,0,0,5,0,0.0,0.0,0.4,0.5,26,49,41,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Marcelo,brBRA,DF,36-130,13,11,849,9.4,1,1,2,0,1,1,2,0,1.2,0.4,1.7,2.1,15,58,23,0.11,0.11,0.21,0.00,0.11,0.13,0.18,0.31,0.04,0.22,Matches
Lima,brBRA,"MF,FW",28-100,17,10,976,10.8,2,0,2,2,0,0,5,1,0.9,0.9,0.3,1.2,14,27,23,0.18,0.00,0.18,0.18,0.18,0.09,0.03,0.11,0.09,0.11,Matches
Antonio Carlos,brBRA,DF,31-196,11,9,900,10.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,6,35,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Keno,brBRA,"FW,MF",35-009,16,9,849,9.4,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.6,39,25,97,0.11,0.00,0.11,0.11,0.11,0.11,0.06,0.17,0.11,0.17,Matches
Kauã Elias,brBRA,FW,18-175,18,8,800,8.9,5,1,6,5,0,0,1,0,3.4,3.4,1.2,4.6,15,22,57,0.56,0.11,0.68,0.56,0.68,0.39,0.13,0.52,0.39,0.52,Matches
Thiago Silva,brBRA,DF,39-363,8,8,720,8.0,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,0,18,0,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Alexsander,brBRA,MF,20-347,15,7,791,8.8,0,1,1,0,0,0,4,0,0.4,0.4,0.9,1.3,15,36,24,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.15,0.04,0.15,Matches
Felipe Melo,brBRA,DF,41-085,9,7,415,4.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Manoel,brBRA,DF,34-206,7,6,494,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
John Kennedy,brBRA,"FW,MF",22-124,19,5,656,7.3,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,11,8,65,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.09,0.08,0.09,Matches
Kevin Serna,coCOL,FW,26-277,7,5,412,4.6,1,2,3,1,0,0,0,0,0.9,0.9,0.7,1.6,20,5,32,0.22,0.44,0.66,0.22,0.66,0.20,0.16,0.36,0.20,0.36,Matches
Marlon,brBRA,DF,29-012,4,4,352,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Guga,brBRA,DF,26-021,6,3,257,2.9,0,1,1,0,0,0,3,1,0.0,0.0,0.1,0.2,8,12,3,0.00,0.35,0.35,0.00,0.35,0.01,0.05,0.06,0.01,0.06,Matches
Gabriel,brBRA,MF,31-001,5,3,237,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,17,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,Matches
Facundo Bernal,uyURU,MF,21-029,4,3,232,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,9,1,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
Renato Augusto,brBRA,"MF,FW",36-224,12,2,317,3.5,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,7,18,8,0.28,0.00,0.28,0.28,0.28,0.13,0.03,0.16,0.13,0.16,Matches
Douglas Costa,brBRA,FW,34-005,10,2,292,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,12,19,30,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
David Terans,uyURU,"MF,FW",30-039,7,2,217,2.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,1,10,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
Ignácio,brBRA,DF,27-293,2,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches
Nonato,brBRA,MF,26-200,6,1,188,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,10,6,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Isaac,brBRA,"FW,DF",20-148,5,1,149,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,10,3,15,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Esquerdinha,brBRA,"DF,FW",18-204,5,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,6,5,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.34,0.08,0.34,Matches
Felipe Vieira,,"DF,MF",,6,0,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Jan Lucumí González,coCOL,"FW,MF",20-221,3,0,92,1.0,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.5,3,1,10,0.00,0.00,0.00,0.00,0.00,0.15,0.34,0.48,0.15,0.48,Matches
Lucas Calegari,brBRA,DF,22-205,2,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Fuentes,coCOL,DF,27-223,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Felipe Alves Raymundo,brBRA,GK,36-121,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Arthur,brBRA,MF,20-208,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus dos Reis,brBRA,FW,17-170,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vitor Eudes,brBRA,GK,25-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gustavo,brBRA,GK,22-003,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Victor Hugo,brBRA,MF,20-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Justen,brBRA,DF,21-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rafael Monteiro,brBRA,DF,20-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wallace,brBRA,DF,17-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,31.0,25,275,"2,250",25.0,20,16,36,19,1,1,77,3,21.0,20.2,16.5,36.7,422,823,811,0.80,0.64,1.44,0.76,1.40,0.84,0.66,1.50,0.81,1.47,
Opponent Total,,,28.3,25,275,"2,250",25.0,28,17,45,26,2,2,75,1,29.5,28.0,21.0,48.9,383,873,862,1.12,0.68,1.80,1.04,1.72,1.18,0.84,2.02,1.12,1.96,
