Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Ricardo Riedi,brBRA,GK,36-013,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Emanuel Brítez,arARG,DF,32-177,20,20,"1,713",19.0,0,1,1,0,0,0,9,2,0.9,0.9,1.8,2.7,8,46,5,0.00,0.05,0.05,0.00,0.05,0.05,0.09,0.14,0.05,0.14,Matches
Guilherme Tinga,brBRA,DF,31-018,22,19,"1,775",19.7,1,0,1,1,0,0,2,0,1.8,1.8,1.4,3.1,28,85,60,0.05,0.00,0.05,0.05,0.05,0.09,0.07,0.16,0.09,0.16,Matches
Breno,brBRA,FW,28-239,22,19,"1,496",16.6,4,3,7,4,0,0,4,0,4.0,4.0,1.0,5.0,68,35,116,0.24,0.18,0.42,0.24,0.42,0.24,0.06,0.30,0.24,0.30,Matches
Hércules,brBRA,MF,23-335,20,18,"1,391",15.5,1,1,2,1,0,0,6,2,0.6,0.6,0.9,1.5,15,65,38,0.06,0.06,0.13,0.06,0.13,0.04,0.06,0.10,0.04,0.10,Matches
Tomas Pochettino,arARG,"MF,FW",28-231,21,17,"1,341",14.9,4,5,9,4,0,0,3,0,2.0,2.0,3.7,5.7,34,69,88,0.27,0.34,0.60,0.27,0.60,0.13,0.25,0.38,0.13,0.38,Matches
Felipe Jonatan,brBRA,DF,26-217,19,16,"1,414",15.7,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.0,13,54,45,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Yago Pikachu,brBRA,"FW,MF",32-106,22,16,"1,346",15.0,2,3,5,2,0,0,5,0,3.3,3.3,1.9,5.2,19,48,87,0.13,0.20,0.33,0.13,0.33,0.22,0.13,0.35,0.22,0.35,Matches
Juan Martín Lucero,arARG,FW,32-294,21,15,"1,354",15.0,8,2,10,6,2,2,5,0,4.9,3.4,1.2,4.5,7,11,53,0.53,0.13,0.66,0.40,0.53,0.33,0.08,0.41,0.22,0.30,Matches
Titi,brBRA,DF,36-191,15,15,"1,300",14.4,1,0,1,1,0,0,6,0,0.2,0.2,0.5,0.7,3,29,0,0.07,0.00,0.07,0.07,0.07,0.01,0.04,0.05,0.01,0.05,Matches
Lucas Sasha,brBRA,MF,34-202,20,12,"1,210",13.4,0,0,0,0,0,0,2,0,0.6,0.6,1.6,2.2,7,40,24,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Matches
Pedro Borges,brBRA,MF,27-200,23,12,"1,122",12.5,0,1,1,0,0,0,7,0,0.1,0.1,0.2,0.3,2,49,9,0.00,0.08,0.08,0.00,0.08,0.01,0.02,0.03,0.01,0.03,Matches
Tomás Cardona,arARG,DF,28-345,13,12,"1,079",12.0,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,8,32,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Renato Kayser,brBRA,FW,28-215,22,11,958,10.6,3,1,4,2,1,1,2,1,5.1,4.3,1.2,5.5,18,19,37,0.28,0.09,0.38,0.19,0.28,0.48,0.11,0.59,0.40,0.52,Matches
Benjamín Kuscevic,clCHI,DF,28-140,12,11,958,10.6,1,0,1,1,0,0,4,1,0.8,0.8,0.1,0.9,1,13,4,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Matches
Bruno Pacheco,brBRA,DF,32-286,16,10,964,10.7,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.8,17,28,13,0.09,0.00,0.09,0.09,0.09,0.03,0.04,0.07,0.03,0.07,Matches
Matheus Rossetto,brBRA,MF,28-108,11,8,673,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,19,43,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Matches
José Welison,brBRA,MF,29-192,13,7,605,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.7,4,30,6,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.11,0.01,0.11,Matches
