,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
"1,980",brBRA,GK,35-354,22,22,22.0,0,0,0,0,0,0,1,0.00,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"1,627",brBRA,DF,30-359,19,18,18.1,1,0,1,1,0,0,1,0.16,0.09,0.16,Matches,2.9,25,78,55,0.06,0.00,0.06,0.06,0.06,0.09,0.07
"1,484",arARG,DF,32-152,17,17,16.5,0,1,1,0,0,0,7,0.13,0.02,0.13,Matches,2.1,3,35,4,0.00,0.06,0.06,0.00,0.06,0.02,0.11
"1,239",brBRA,FW,28-214,18,16,13.8,4,3,7,4,0,0,4,0.32,0.27,0.32,Matches,4.4,65,31,99,0.29,0.22,0.51,0.29,0.51,0.27,0.05
"1,184",brBRA,MF,23-310,17,15,13.2,1,1,2,1,0,0,4,0.11,0.04,0.11,Matches,1.4,15,57,35,0.08,0.08,0.15,0.08,0.15,0.04,0.07
"1,210",brBRA,DF,36-166,14,14,13.4,0,0,0,0,0,0,6,0.01,0.01,0.01,Matches,0.1,2,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00
"1,141",brBRA,"FW,MF",32-081,19,14,12.7,1,3,4,1,0,0,4,0.35,0.21,0.35,Matches,4.4,17,38,72,0.08,0.24,0.32,0.08,0.32,0.21,0.14
"1,091",arARG,"MF,FW",28-206,17,14,12.1,4,5,9,4,0,0,3,0.45,0.16,0.45,Matches,5.5,28,54,69,0.33,0.41,0.74,0.33,0.74,0.16,0.29
"1,131",brBRA,DF,26-192,15,13,12.6,0,0,0,0,0,0,0,0.07,0.05,0.07,Matches,0.8,10,45,37,0.00,0.00,0.00,0.00,0.00,0.05,0.02
"1,081",arARG,FW,32-269,17,12,12.0,8,1,9,6,2,2,5,0.45,0.27,0.32,Matches,3.9,6,10,46,0.67,0.08,0.75,0.50,0.58,0.40,0.06
996,brBRA,MF,27-175,20,11,11.1,0,1,1,0,0,0,6,0.03,0.01,0.03,Matches,0.3,1,40,9,0.00,0.09,0.09,0.00,0.09,0.01,0.02
870,brBRA,FW,28-190,19,10,9.7,3,1,4,2,1,1,1,0.62,0.41,0.54,Matches,5.2,16,18,34,0.31,0.10,0.41,0.21,0.31,0.50,0.12
954,brBRA,MF,34-177,17,9,10.6,0,0,0,0,0,0,2,0.19,0.05,0.19,Matches,2.1,5,33,21,0.00,0.00,0.00,0.00,0.00,0.05,0.15
874,brBRA,DF,32-261,15,9,9.7,1,0,1,1,0,0,1,0.08,0.04,0.08,Matches,0.8,15,23,13,0.10,0.00,0.10,0.10,0.10,0.04,0.04
822,arARG,DF,28-320,10,9,9.1,0,0,0,0,0,0,1,0.00,0.00,0.00,Matches,0.0,6,28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
688,clCHI,DF,28-115,9,8,7.6,1,0,1,1,0,0,3,0.08,0.07,0.08,Matches,0.6,0,6,0,0.13,0.00,0.13,0.13,0.13,0.07,0.01
673,brBRA,MF,28-083,11,8,7.5,0,0,0,0,0,0,1,0.04,0.00,0.04,Matches,0.3,19,43,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03
515,brBRA,MF,29-167,12,6,5.7,0,0,0,0,0,0,1,0.12,0.01,0.12,Matches,0.7,3,27,5,0.00,0.00,0.00,0.00,0.00,0.01,0.11
519,brBRA,"FW,DF",34-088,12,5,5.8,0,2,2,0,0,0,2,0.28,0.14,0.28,Matches,1.6,22,20,39,0.00,0.35,0.35,0.00,0.35,0.14,0.14
399,arARG,"FW,MF",24-223,13,4,4.4,1,1,2,1,0,0,0,0.40,0.19,0.40,Matches,1.8,24,13,33,0.23,0.23,0.45,0.23,0.45,0.19,0.21
449,brBRA,FW,27-358,13,3,5.0,1,1,2,1,0,0,0,0.95,0.54,0.95,Matches,4.7,30,10,42,0.20,0.20,0.40,0.20,0.40,0.54,0.41
289,arARG,MF,30-082,5,3,3.2,0,0,0,0,0,0,2,0.17,0.13,0.17,Matches,0.5,5,16,14,0.00,0.00,0.00,0.00,0.00,0.13,0.03
236,veVEN,MF,19-134,6,2,2.6,1,1,2,1,0,0,1,0.48,0.17,0.48,Matches,1.3,1,6,19,0.38,0.38,0.76,0.38,0.76,0.17,0.31
54,brBRA,MF,19-131,3,0,0.6,0,0,0,0,0,0,0,0.03,0.00,0.03,Matches,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03
48,brBRA,"FW,MF",29-330,4,0,0.5,0,1,1,0,0,0,0,1.24,0.15,1.24,Matches,0.7,2,1,5,0.00,1.87,1.87,0.00,1.87,0.15,1.09
28,brBRA,"FW,MF",24-117,2,0,0.3,0,0,0,0,0,0,1,1.15,0.54,1.15,Matches,0.4,3,3,3,0.00,0.00,0.00,0.00,0.00,0.54,0.61
18,brBRA,"FW,DF",27-087,3,0,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,Matches,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,brBRA,MF,19-099,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,FW,21-132,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,GK,22-078,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,FW,19-365,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,arARG,DF,27-162,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,GK,33-068,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,GK,34-161,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
,brBRA,DF,25-043,0,0,,,,,,,,,,,,Matches,,,,,,,,,,,
