Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Pedro,brBRA,DF,27-309,19,18,"1,614",17.9,0,1,1,0,0,0,1,0,0.8,0.8,1.4,2.3,36,79,91,0.00,0.06,0.06,0.00,0.06,0.05,0.08,0.13,0.05,0.13,Matches
Dodi,brBRA,MF,28-155,20,16,"1,448",16.1,0,0,0,0,0,0,4,0,0.5,0.5,0.5,1.1,19,54,12,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07,Matches
Agustín Marchesín,arARG,GK,36-187,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Franco Cristaldo,arARG,"MF,FW",28-035,21,16,"1,385",15.4,4,2,6,3,1,1,1,0,4.2,3.4,3.2,6.6,21,104,93,0.26,0.13,0.39,0.19,0.32,0.27,0.21,0.48,0.22,0.43,Matches
Reinaldo,brBRA,"DF,MF",34-357,16,15,"1,360",15.1,2,0,2,1,1,1,2,0,1.5,0.7,1.2,1.8,19,80,61,0.13,0.00,0.13,0.07,0.07,0.10,0.08,0.17,0.05,0.12,Matches
Mathías Villasanti,pyPAR,MF,27-239,15,15,"1,349",15.0,1,1,2,1,0,0,2,0,0.5,0.5,1.0,1.6,10,67,35,0.07,0.07,0.13,0.07,0.13,0.04,0.07,0.10,0.04,0.10,Matches
Cristian Pavón,arARG,"FW,MF",28-242,14,14,875,9.7,1,2,3,1,0,0,3,0,2.2,2.2,2.0,4.2,24,36,73,0.10,0.21,0.31,0.10,0.31,0.23,0.21,0.44,0.23,0.44,Matches
Rodrigo Ely,brBRA,DF,30-321,15,13,"1,165",12.9,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,0,27,3,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,Matches
Gustavo Martins Santos,brBRA,DF,22-039,14,12,"1,031",11.5,2,0,2,2,0,0,1,1,1.5,1.5,0.0,1.5,1,27,4,0.17,0.00,0.17,0.17,0.17,0.13,0.00,0.13,0.13,0.13,Matches
Gustavo Nunes,brBRA,"FW,MF",18-304,20,11,"1,238",13.8,3,1,4,3,0,0,5,0,1.9,1.9,1.3,3.2,52,48,99,0.22,0.07,0.29,0.22,0.29,0.14,0.10,0.23,0.14,0.23,Matches
Yeferson Soteldo,veVEN,"FW,MF",27-081,13,11,943,10.5,3,2,5,3,0,0,1,0,1.5,1.5,2.4,4.0,57,41,81,0.29,0.19,0.48,0.29,0.48,0.15,0.23,0.38,0.15,0.38,Matches
Edenílson,brBRA,"FW,MF",34-276,17,10,739,8.2,1,0,1,1,0,0,3,0,1.4,1.4,0.4,1.8,13,30,32,0.12,0.00,0.12,0.12,0.12,0.18,0.04,0.22,0.18,0.22,Matches
Walter Kannemann,arARG,DF,33-189,10,10,730,8.1,0,2,2,0,0,0,6,1,0.4,0.4,0.8,1.2,1,17,0,0.00,0.25,0.25,0.00,0.25,0.05,0.10,0.15,0.05,0.15,Matches
João Pedro Pepê,brBRA,MF,26-257,14,9,737,8.2,0,0,0,0,0,0,1,1,0.2,0.2,0.1,0.3,11,53,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Fábio,brBRA,DF,34-072,12,8,677,7.5,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,11,15,40,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
João Pedro,itITA,FW,32-194,11,7,580,6.4,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.1,2,9,26,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17,Matches
Du Queiroz,brBRA,MF,24-244,14,6,586,6.5,0,0,0,0,0,0,2,0,1.1,1.1,0.4,1.6,13,48,19,0.00,0.00,0.00,0.00,0.00,0.17,0.07,0.24,0.17,0.24,Matches
Miguel Monsalve,coCOL,"FW,MF",20-205,6,6,446,5.0,3,1,4,3,0,0,0,0,2.2,2.2,0.5,2.7,15,20,21,0.61,0.20,0.81,0.61,0.81,0.44,0.11,0.55,0.44,0.55,Matches
Nata,brBRA,DF,23-106,11,5,506,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Geromel,brBRA,DF,38-364,8,5,479,5.3,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,1,11,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Felipe Carballo,uyURU,MF,27-351,9,5,478,5.3,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,8,28,25,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Rafael Cabral,brBRA,GK,34-122,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Everton,brBRA,"FW,MF",27-186,12,4,457,5.1,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,11,11,28,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.18,0.05,0.18,Matches
Jemerson,brBRA,DF,32-026,4,4,346,3.8,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,8,1,0.26,0.00,0.26,0.26,0.26,0.09,0.00,0.09,0.09,0.09,Matches
Martin Braithwaite,dkDEN,FW,33-106,4,4,288,3.2,3,1,4,3,0,0,0,0,1.8,1.8,0.4,2.3,5,6,16,0.94,0.31,1.25,0.94,1.25,0.58,0.13,0.71,0.58,0.71,Matches
Nathan,brBRA,"FW,MF",28-190,8,3,325,3.6,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,6,18,18,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19,Matches
Caíque,brBRA,GK,27-050,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mayk,brBRA,DF,25-019,3,3,254,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,16,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Diego Costa,esESP,FW,35-348,4,3,211,2.3,0,0,0,0,0,0,1,1,0.1,0.1,0.0,0.1,3,4,12,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Zé Guilherme,brBRA,DF,19-187,6,2,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Cuiabano,brBRA,DF,21-216,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Nathan Fernandes,brBRA,"FW,MF",19-216,16,1,464,5.2,0,0,0,0,0,0,3,0,1.5,1.5,0.1,1.6,17,15,48,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.30,0.28,0.30,Matches
Rodrigo Caio,brBRA,DF,31-033,2,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Alexander Aravena,clCHI,FW,22-013,4,1,92,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,1,2,9,0.00,0.98,0.98,0.00,0.98,0.00,0.36,0.36,0.00,0.36,Matches
Matias Arezo,uyURU,"FW,MF",21-303,5,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,0,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.35,0.32,0.35,Matches
Alysson Edward,brBRA,"MF,FW",18-137,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
Ronald,brBRA,"MF,DF",21-221,7,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Lucas Besozzi,arARG,MF,21-241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriel Chapecó,brBRA,GK,24-174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Milla,brBRA,MF,21-235,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Igor Schlemper,brBRA,DF,19-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Viery,brBRA,DF,19-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wesley,brBRA,DF,20-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.8,24,264,"2,160",24.0,25,14,39,23,2,2,56,4,27.2,25.6,17.9,43.5,375,910,900,1.04,0.58,1.62,0.96,1.54,1.13,0.75,1.88,1.07,1.81,
Opponent Total,,,28.2,24,264,"2,160",24.0,28,15,43,22,6,6,70,2,28.6,23.9,18.0,42.0,417,1041,1029,1.17,0.62,1.79,0.92,1.54,1.19,0.75,1.94,1.00,1.75,
