Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wesley,brBRA,"FW,MF",25-173,21,18,"1,562",17.4,5,1,6,5,0,0,6,0,3.9,3.9,1.9,5.7,71,64,150,0.29,0.06,0.35,0.29,0.35,0.22,0.11,0.33,0.22,0.33,Matches
Thiago Maia,brBRA,MF,27-180,18,17,"1,307",14.5,1,1,2,1,0,0,1,0,1.6,1.6,1.3,2.9,14,78,33,0.07,0.07,0.14,0.07,0.14,0.11,0.09,0.20,0.11,0.20,Matches
Bruno Henrique,brBRA,"MF,FW",34-334,23,16,"1,358",15.1,2,1,3,2,0,0,3,0,2.6,2.6,2.1,4.7,17,86,44,0.13,0.07,0.20,0.13,0.20,0.17,0.14,0.31,0.17,0.31,Matches
Vitão,brBRA,DF,24-230,16,14,"1,261",14.0,0,0,0,0,0,0,3,0,0.9,0.9,0.1,0.9,18,54,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.07,Matches
Sergio Rochet,uyURU,GK,31-180,14,14,"1,260",14.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Mercado,arARG,DF,37-185,16,12,"1,151",12.8,1,0,1,1,0,0,6,0,0.3,0.3,0.7,1.1,2,31,2,0.08,0.00,0.08,0.08,0.08,0.03,0.06,0.08,0.03,0.08,Matches
Rafael Borré,coCOL,FW,29-004,12,12,981,10.9,5,1,6,5,0,1,4,0,8.1,7.3,0.5,7.8,9,17,69,0.46,0.09,0.55,0.46,0.55,0.74,0.05,0.79,0.67,0.72,Matches
Fernando,brBRA,"DF,MF",37-056,15,11,"1,045",11.6,1,0,1,1,0,0,5,0,0.3,0.3,0.2,0.5,12,48,4,0.09,0.00,0.09,0.09,0.09,0.02,0.02,0.04,0.02,0.04,Matches
Romulo,brBRA,MF,24-202,17,11,"1,024",11.4,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,10,38,8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Bruno Gomes,brBRA,"DF,MF",23-168,17,11,987,11.0,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,19,73,43,0.00,0.09,0.09,0.00,0.09,0.04,0.08,0.12,0.04,0.12,Matches
Renê,brBRA,DF,32-005,14,11,953,10.6,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.5,29,81,21,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.14,0.08,0.14,Matches
Robert Renan,brBRA,DF,20-344,12,10,959,10.7,0,1,1,0,0,0,2,0,0.6,0.6,0.3,0.9,16,45,15,0.00,0.09,0.09,0.00,0.09,0.06,0.02,0.08,0.06,0.08,Matches
Alexandro Bernabei,arARG,DF,23-361,10,10,893,9.9,1,1,2,1,0,0,0,0,0.9,0.9,2.0,2.8,25,54,38,0.10,0.10,0.20,0.10,0.20,0.09,0.20,0.28,0.09,0.28,Matches
Gabriel Carvalho,brBRA,"FW,MF",17-033,11,10,756,8.4,1,2,3,1,0,0,3,0,2.3,2.3,2.7,5.0,35,35,99,0.12,0.24,0.36,0.12,0.36,0.27,0.32,0.60,0.27,0.60,Matches
Fabricio Bustos,arARG,DF,28-144,11,9,864,9.6,1,1,2,1,0,0,4,0,0.7,0.7,0.8,1.5,12,63,64,0.10,0.10,0.21,0.10,0.21,0.08,0.08,0.16,0.08,0.16,Matches
Wanderson,brBRA,"FW,MF",29-348,13,9,776,8.6,1,0,1,1,0,0,2,0,1.4,1.4,1.7,3.1,20,21,55,0.12,0.00,0.12,0.12,0.12,0.17,0.20,0.36,0.17,0.36,Matches
Alan Patrick,brBRA,"MF,FW",33-129,11,8,722,8.0,3,0,3,2,1,2,3,0,3.0,1.3,3.8,5.1,17,51,54,0.37,0.00,0.37,0.25,0.25,0.37,0.48,0.85,0.16,0.64,Matches
Fabrício,brBRA,GK,38-256,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Igor Gomes,brBRA,DF,23-197,12,7,618,6.9,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.3,8,20,15,0.15,0.15,0.29,0.15,0.29,0.04,0.01,0.05,0.04,0.05,Matches
Lucas Alario,arARG,FW,31-347,13,6,615,6.8,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,0,7,21,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.30,0.28,0.30,Matches
Enner Valencia,ecECU,FW,34-320,10,6,466,5.2,0,0,0,0,0,1,1,0,2.2,1.4,0.3,1.7,13,3,35,0.00,0.00,0.00,0.00,0.00,0.42,0.06,0.48,0.27,0.33,Matches
Bruno Tabata,brBRA,"MF,FW",27-173,6,6,459,5.1,1,3,4,1,0,1,1,0,1.5,0.5,1.8,2.3,18,29,31,0.20,0.59,0.78,0.20,0.78,0.29,0.35,0.64,0.10,0.46,Matches
Agustín Rogel,uyURU,DF,26-338,5,5,391,4.3,0,0,0,0,0,0,1,1,0.8,0.8,0.0,0.8,0,8,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
Mauricio,brBRA,MF,23-120,5,5,381,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,7,6,34,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.23,0.06,0.23,Matches
Hugo Mallo,esESP,DF,33-089,6,4,360,4.0,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4,17,15,0.25,0.00,0.25,0.25,0.25,0.06,0.01,0.07,0.06,0.07,Matches
Hyoran,brBRA,"FW,MF",31-117,10,3,335,3.7,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,9,11,26,0.00,0.00,0.00,0.00,0.00,0.26,0.03,0.29,0.26,0.29,Matches
Lucca Holanda,brBRA,"FW,MF",21-170,8,3,269,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,3,2,12,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
Charles Aránguiz,clCHI,MF,35-155,7,2,287,3.2,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,1,9,10,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16,Matches
Anthoni,brBRA,GK,22-240,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucca Drummond,brBRA,FW,20-251,5,2,159,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,3,1,8,0.00,0.57,0.57,0.00,0.57,0.00,0.17,0.17,0.00,0.17,Matches
Gustavo Prado,brBRA,"FW,MF",19-105,19,1,462,5.1,1,0,1,1,0,0,1,0,0.9,0.9,1.2,2.1,13,21,48,0.19,0.00,0.19,0.19,0.19,0.18,0.22,0.40,0.18,0.40,Matches
Matheus Dias,brBRA,"FW,MF",27-225,3,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ricardo Mathias,brBRA,"FW,MF",18-056,4,0,64,0.7,0,0,0,0,0,0,1,0,0.8,0.8,0.4,1.2,2,0,7,0.00,0.00,0.00,0.00,0.00,1.14,0.52,1.66,1.14,1.66,Matches
Nathan,brBRA,DF,23-014,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Clayton,brBRA,DF,24-168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Evertow,brBRA,DF,17-231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kauan,brBRA,GK,21-145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis Otávio,brBRA,MF,17-160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Yago,brBRA,FW,17-227,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.6,24,264,"2,160",24.0,26,15,41,25,1,5,70,1,37.6,33.5,24.7,58.2,408,974,966,1.08,0.62,1.71,1.04,1.67,1.57,1.03,2.60,1.40,2.43,
Opponent Total,,,28.4,24,264,"2,160",24.0,20,12,32,19,1,2,68,3,20.0,18.5,14.4,32.9,294,774,763,0.83,0.50,1.33,0.79,1.29,0.83,0.60,1.44,0.77,1.37,
