Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriel,brBRA,GK,31-358,23,23,"2,024",22.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Erick,brBRA,FW,27-260,26,23,"1,694",18.8,3,2,5,3,0,0,1,0,3.3,3.3,2.1,5.4,29,26,91,0.16,0.11,0.27,0.16,0.27,0.18,0.11,0.29,0.18,0.29,Matches
Jadson,brBRA,MF,31-020,22,22,"1,862",20.7,1,5,6,1,0,0,12,1,1.2,1.2,2.9,4.1,13,113,49,0.05,0.24,0.29,0.05,0.29,0.06,0.14,0.20,0.06,0.20,Matches
Lucas Barbosa,brBRA,FW,23-210,23,22,"1,716",19.1,4,1,5,4,0,0,8,1,3.9,3.9,2.1,6.0,41,58,111,0.21,0.05,0.26,0.21,0.26,0.20,0.11,0.31,0.20,0.31,Matches
Danilo Boza,brBRA,DF,26-136,21,21,"1,848",20.5,2,0,2,2,0,0,2,0,1.4,1.4,0.1,1.5,16,59,6,0.10,0.00,0.10,0.10,0.10,0.07,0.01,0.07,0.07,0.07,Matches
Alan Ruschel,brBRA,DF,35-027,19,19,"1,607",17.9,1,1,2,1,0,0,4,1,0.7,0.7,0.9,1.5,27,77,50,0.06,0.06,0.11,0.06,0.11,0.04,0.05,0.09,0.04,0.09,Matches
João Lucas,brBRA,DF,26-194,19,19,"1,604",17.8,1,2,3,1,0,0,5,1,0.6,0.6,2.0,2.6,49,65,87,0.06,0.11,0.17,0.06,0.17,0.03,0.11,0.15,0.03,0.15,Matches
Zé Marcos,brBRA,DF,26-231,17,17,"1,471",16.3,0,0,0,0,0,0,9,2,0.6,0.6,0.1,0.7,3,26,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches
Caíque de Jesus Gonçalves,brBRA,MF,28-345,17,17,"1,422",15.8,0,0,0,0,0,0,5,0,0.1,0.1,0.3,0.3,13,59,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Nenê,brBRA,"MF,FW",43-062,20,16,"1,206",13.4,2,3,5,2,0,0,3,0,1.5,1.5,2.7,4.1,22,61,72,0.15,0.22,0.37,0.15,0.37,0.11,0.20,0.31,0.11,0.31,Matches
Jean Carlos Vicente,brBRA,"MF,FW",32-217,17,12,896,10.0,4,2,6,4,0,0,2,0,1.6,1.6,2.3,4.0,25,46,35,0.40,0.20,0.60,0.40,0.60,0.17,0.23,0.40,0.17,0.40,Matches
Marcelinho,brBRA,"FW,MF",21-283,17,9,817,9.1,2,3,5,2,0,0,2,0,1.7,1.7,0.4,2.1,15,24,55,0.22,0.33,0.55,0.22,0.55,0.18,0.05,0.23,0.18,0.23,Matches
