Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wéverton,brBRA,GK,36-281,25,25,"2,250",25.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches
Aníbal Moreno,arARG,MF,25-129,23,20,"1,706",19.0,1,1,2,1,0,0,5,0,0.7,0.7,0.9,1.6,18,123,21,0.05,0.05,0.11,0.05,0.11,0.04,0.05,0.08,0.04,0.08,Matches
Murilo Cerqueira,brBRA,DF,27-176,18,18,"1,572",17.5,1,0,1,1,0,0,5,1,1.1,1.1,0.1,1.2,12,82,2,0.06,0.00,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches
Raphael Veiga,brBRA,MF,29-092,22,18,"1,526",17.0,3,3,6,3,0,1,3,1,5.3,4.5,4.2,8.7,37,109,73,0.18,0.18,0.35,0.18,0.35,0.31,0.25,0.56,0.26,0.51,Matches
Estevão,brBRA,FW,18-148,22,18,"1,391",15.5,9,7,16,7,2,2,2,0,6.0,4.5,4.6,9.1,77,59,180,0.58,0.45,1.04,0.45,0.91,0.39,0.30,0.69,0.29,0.59,Matches
Gustavo Gómez,pyPAR,DF,31-136,16,16,"1,440",16.0,1,2,3,0,1,1,6,0,1.9,1.1,1.8,2.9,4,49,5,0.06,0.12,0.19,0.00,0.12,0.12,0.11,0.23,0.07,0.18,Matches
José López,arARG,FW,23-288,23,16,"1,345",14.9,8,2,10,8,0,0,7,0,7.1,7.1,2.0,9.0,19,32,80,0.54,0.13,0.67,0.54,0.67,0.47,0.13,0.60,0.47,0.60,Matches
Joaquín Piquerez,uyURU,DF,26-026,16,15,"1,314",14.6,2,0,2,1,1,1,2,0,2.0,1.2,2.0,3.2,29,87,73,0.14,0.00,0.14,0.07,0.07,0.14,0.14,0.27,0.08,0.22,Matches
Marcos Rocha,brBRA,DF,35-283,20,14,"1,394",15.5,0,2,2,0,0,0,2,0,0.2,0.2,2.8,3.0,18,97,51,0.00,0.13,0.13,0.00,0.13,0.01,0.18,0.20,0.01,0.20,Matches
Rony,brBRA,FW,29-131,25,13,"1,366",15.2,4,2,6,4,0,0,4,0,6.7,6.7,2.7,9.4,17,20,100,0.26,0.13,0.40,0.26,0.40,0.44,0.18,0.62,0.44,0.62,Matches
Richard Ríos,coCOL,MF,24-109,14,11,952,10.6,1,2,3,1,0,0,2,0,0.6,0.6,0.6,1.2,16,61,35,0.09,0.19,0.28,0.09,0.28,0.06,0.05,0.11,0.06,0.11,Matches
Gabriel Menino,brBRA,"MF,FW",23-356,19,11,921,10.2,1,0,1,1,0,0,5,0,1.4,1.4,1.1,2.6,18,68,62,0.10,0.00,0.10,0.10,0.10,0.14,0.11,0.25,0.14,0.25,Matches
Mayke,brBRA,DF,31-314,17,10,865,9.6,1,0,1,1,0,0,3,0,1.2,1.2,0.9,2.1,17,61,58,0.10,0.00,0.10,0.10,0.10,0.12,0.10,0.22,0.12,0.22,Matches
Zé Rafael,brBRA,MF,31-095,13,10,825,9.2,0,2,2,0,0,0,5,0,0.5,0.5,1.3,1.8,9,45,19,0.00,0.22,0.22,0.00,0.22,0.05,0.14,0.19,0.05,0.19,Matches
Vitor Reis,brBRA,DF,18-251,10,9,827,9.2,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,3,25,0,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.04,0.04,0.04,Matches
Kaiky Naves,brBRA,DF,22-134,10,9,729,8.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,2,40,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Lázaro,brBRA,"FW,MF",22-191,15,8,743,8.3,2,0,2,2,0,0,0,0,2.6,2.6,0.5,3.2,27,40,69,0.24,0.00,0.24,0.24,0.24,0.32,0.06,0.38,0.32,0.38,Matches
Vanderlan,brBRA,DF,22-012,17,6,738,8.2,0,1,1,0,0,0,0,0,0.3,0.3,1.9,2.2,11,23,57,0.00,0.12,0.12,0.00,0.12,0.04,0.23,0.26,0.04,0.26,Matches
Mauricio,brBRA,"MF,FW",23-120,10,6,550,6.1,2,0,2,2,0,0,1,0,2.2,2.2,0.5,2.7,6,17,56,0.33,0.00,0.33,0.33,0.33,0.36,0.09,0.44,0.36,0.44,Matches
Caio Paulista,brBRA,"DF,FW",26-131,13,6,462,5.1,0,0,0,0,0,0,1,1,0.3,0.3,0.3,0.6,18,40,46,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
Endrick,brBRA,"MF,FW",18-060,6,6,453,5.0,0,0,0,0,0,0,3,0,1.1,1.1,0.7,1.8,10,15,28,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35,Matches
Felipe Anderson,brBRA,"FW,MF",31-157,9,5,524,5.8,2,1,3,2,0,0,0,0,1.0,1.0,1.7,2.7,25,22,52,0.34,0.17,0.52,0.34,0.52,0.17,0.29,0.46,0.17,0.46,Matches
