,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
23.0,GK,36-256,23,23,"2,070",0,1,1,0,0,0,1,0,0.00,0.01,Matches,0.3,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01
17.0,MF,25-104,21,18,"1,526",1,1,2,1,0,0,5,0,0.04,0.09,Matches,1.6,17,112,18,0.06,0.06,0.12,0.06,0.12,0.04,0.05,0.09
16.6,MF,29-067,20,18,"1,494",2,3,5,2,0,1,3,1,0.24,0.47,Matches,7.8,34,103,71,0.12,0.18,0.30,0.12,0.30,0.29,0.23,0.52
15.5,DF,27-151,16,16,"1,392",1,0,1,1,0,0,5,1,0.06,0.07,Matches,1.1,11,72,2,0.06,0.00,0.06,0.06,0.06,0.06,0.01,0.07
13.7,FW,18-123,20,16,"1,234",7,7,14,5,2,2,2,0,0.26,0.60,Matches,8.2,67,50,162,0.51,0.51,1.02,0.36,0.88,0.38,0.34,0.71
14.6,DF,26-001,16,15,"1,314",2,0,2,1,1,1,2,0,0.08,0.22,Matches,3.2,29,87,73,0.14,0.00,0.14,0.07,0.07,0.14,0.14,0.27
14.0,DF,31-111,14,14,"1,260",1,2,3,0,1,1,6,0,0.06,0.18,Matches,2.6,4,49,5,0.07,0.14,0.21,0.00,0.14,0.11,0.13,0.24
13.4,FW,23-263,21,14,"1,210",7,2,9,7,0,0,7,0,0.51,0.63,Matches,8.5,17,28,74,0.52,0.15,0.67,0.52,0.67,0.51,0.13,0.63
14.7,FW,29-106,23,13,"1,321",4,2,6,4,0,0,4,0,0.40,0.58,Matches,8.5,13,18,95,0.27,0.14,0.41,0.27,0.41,0.40,0.18,0.58
13.5,DF,35-258,18,12,"1,214",0,1,1,0,0,0,1,0,0.02,0.19,Matches,2.5,15,89,49,0.00,0.07,0.07,0.00,0.07,0.02,0.17,0.19
10.2,"MF,FW",23-331,19,11,921,1,0,1,1,0,0,5,0,0.14,0.25,Matches,2.6,18,68,62,0.10,0.00,0.10,0.10,0.10,0.14,0.11,0.25
9.6,DF,31-289,17,10,865,1,0,1,1,0,0,3,0,0.12,0.22,Matches,2.1,17,61,58,0.10,0.00,0.10,0.10,0.10,0.12,0.10,0.22
9.2,MF,31-070,13,10,825,0,2,2,0,0,0,5,0,0.05,0.19,Matches,1.8,9,45,19,0.00,0.22,0.22,0.00,0.22,0.05,0.14,0.19
9.2,DF,18-226,10,9,827,1,0,1,1,0,0,2,0,0.04,0.04,Matches,0.4,3,25,0,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.04
8.9,MF,24-084,12,9,802,1,1,2,1,0,0,2,0,0.06,0.10,Matches,0.9,12,50,30,0.11,0.11,0.22,0.11,0.22,0.06,0.04,0.10
8.1,DF,22-109,10,9,729,0,0,0,0,0,0,1,0,0.01,0.05,Matches,0.4,2,40,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05
8.3,"FW,MF",22-166,15,8,743,2,0,2,2,0,0,0,0,0.32,0.38,Matches,3.2,27,40,69,0.24,0.00,0.24,0.24,0.24,0.32,0.06,0.38
7.7,DF,21-353,15,6,692,0,1,1,0,0,0,0,0,0.04,0.28,Matches,2.2,10,23,55,0.00,0.13,0.13,0.00,0.13,0.04,0.24,0.28
5.0,"MF,FW",18-035,6,6,453,0,0,0,0,0,0,3,0,0.21,0.35,Matches,1.8,10,15,28,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35
4.5,"MF,FW",23-095,8,4,402,1,0,1,1,0,0,1,0,0.25,0.32,Matches,1.4,3,10,46,0.22,0.00,0.22,0.22,0.22,0.25,0.07,0.32
3.7,"DF,FW",26-106,11,4,332,0,0,0,0,0,0,1,0,0.04,0.12,Matches,0.4,10,27,35,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12
4.1,MF,22-138,12,3,372,1,0,1,1,0,0,1,0,0.06,0.09,Matches,0.4,2,29,8,0.24,0.00,0.24,0.24,0.24,0.06,0.04,0.09
4.0,"FW,MF",31-132,7,3,364,1,0,1,1,0,0,0,0,0.11,0.15,Matches,0.6,20,15,30,0.25,0.00,0.25,0.25,0.25,0.11,0.04,0.15
3.3,"FW,MF",32-231,9,3,296,0,0,0,0,0,0,0,0,0.25,0.32,Matches,1.0,20,19,39,0.00,0.00,0.00,0.00,0.00,0.25,0.07,0.32
2.7,DF,20-222,3,3,239,0,0,0,0,0,0,0,0,0.03,0.04,Matches,0.1,5,19,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04
2.6,DF,31-107,3,3,237,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0,"FW,DF",18-198,5,1,183,0,1,1,0,0,0,0,0,0.18,0.65,Matches,1.3,12,8,19,0.00,0.49,0.49,0.00,0.49,0.18,0.47,0.65
1.7,"FW,MF",22-323,7,1,151,0,0,0,0,0,0,0,0,0.04,0.25,Matches,0.4,4,5,26,0.00,0.00,0.00,0.00,0.00,0.04,0.21,0.25
1.6,MF,21-351,3,1,142,0,1,1,0,0,0,0,0,0.34,0.41,Matches,0.7,4,9,12,0.00,0.63,0.63,0.00,0.63,0.34,0.07,0.41
1.0,GK,37-251,1,1,90,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
