Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luan Cândido,brBRA,DF,23-230,20,20,"1,707",19.0,1,0,1,0,1,1,4,0,1.5,0.7,0.1,0.9,7,42,12,0.05,0.00,0.05,0.00,0.00,0.08,0.01,0.09,0.04,0.04,Matches
Cleiton Schwengber,brBRA,GK,27-031,19,19,"1,619",18.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Evangelista,brBRA,MF,29-136,19,17,"1,438",16.0,2,1,3,2,0,0,3,0,1.8,1.8,0.5,2.3,16,75,43,0.13,0.06,0.19,0.13,0.19,0.11,0.03,0.14,0.11,0.14,Matches
Henry Mosquera,coCOL,"FW,MF",22-309,24,15,"1,500",16.7,0,1,1,0,0,0,4,0,2.3,2.3,0.8,3.1,70,28,111,0.00,0.06,0.06,0.00,0.06,0.14,0.05,0.19,0.14,0.19,Matches
Juninho Capixaba,brBRA,"DF,MF",27-075,15,15,"1,183",13.1,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.4,24,66,44,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.10,0.06,0.10,Matches
Pedro Henrique,brBRA,DF,28-353,15,14,"1,239",13.8,1,0,1,1,0,0,3,0,0.2,0.2,0.1,0.2,2,42,0,0.07,0.00,0.07,0.07,0.07,0.01,0.01,0.02,0.01,0.02,Matches
Eduardo Sasha,brBRA,FW,32-208,16,14,"1,147",12.7,3,3,6,2,1,1,4,1,2.9,2.1,1.6,3.7,16,32,66,0.24,0.24,0.47,0.16,0.39,0.23,0.13,0.35,0.16,0.29,Matches
Helinho,brBRA,"FW,MF",24-147,17,14,"1,102",12.2,7,2,9,7,0,0,4,0,3.4,3.4,2.1,5.5,35,43,74,0.57,0.16,0.74,0.57,0.74,0.27,0.17,0.45,0.27,0.45,Matches
Jadsom,brBRA,"MF,DF",23-122,19,14,"1,020",11.3,0,0,0,0,0,0,6,1,0.1,0.1,0.4,0.5,5,53,13,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
Raul,brBRA,MF,28-070,18,13,"1,063",11.8,1,1,2,1,0,0,1,0,0.3,0.3,1.1,1.4,9,55,8,0.08,0.08,0.17,0.08,0.17,0.03,0.09,0.12,0.03,0.12,Matches
