Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Robert Arboleda,ecECU,DF,32-333,22,21,"1,864",20.7,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.3,1,34,2,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Jonathan Calleri,arARG,FW,30-362,21,19,"1,588",17.6,5,2,7,5,0,0,4,0,4.3,4.3,0.9,5.2,15,22,83,0.28,0.11,0.40,0.28,0.40,0.24,0.05,0.30,0.24,0.30,Matches
Igor Vinícius de Souza,brBRA,DF,27-171,19,19,"1,588",17.6,0,2,2,0,0,0,5,1,0.8,0.8,2.1,2.8,37,81,101,0.00,0.11,0.11,0.00,0.11,0.04,0.12,0.16,0.04,0.16,Matches
Welington,brBRA,DF,23-213,20,17,"1,524",16.9,0,1,1,0,0,0,5,0,0.4,0.4,0.8,1.2,34,74,99,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.07,0.02,0.07,Matches
Alan Franco,arARG,DF,27-344,18,16,"1,393",15.5,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.7,7,57,5,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.05,0.03,0.05,Matches
Luciano,brBRA,"MF,FW",31-124,20,16,"1,392",15.5,7,1,8,6,1,2,11,1,5.3,3.6,1.2,4.8,10,38,83,0.45,0.06,0.52,0.39,0.45,0.34,0.08,0.42,0.23,0.31,Matches
Alisson,brBRA,MF,31-086,16,16,"1,353",15.0,1,2,3,1,0,0,4,0,0.5,0.5,0.5,1.0,16,87,20,0.07,0.13,0.20,0.07,0.20,0.04,0.03,0.07,0.04,0.07,Matches
Rafael Pires,brBRA,GK,35-088,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Moura,brBRA,"FW,MF",32-037,17,15,"1,303",14.5,5,3,8,4,1,1,3,0,3.2,2.4,1.8,4.2,44,72,79,0.35,0.21,0.55,0.28,0.48,0.22,0.13,0.35,0.17,0.29,Matches
Luiz Gustavo,brBRA,MF,37-058,18,14,"1,325",14.7,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,18,80,11,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
Jandrei,brBRA,GK,31-202,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Damián Bobadilla,pyPAR,MF,23-070,14,11,808,9.0,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.4,6,47,10,0.11,0.00,0.11,0.11,0.11,0.07,0.08,0.15,0.07,0.15,Matches
André Silva,brBRA,"FW,MF",27-108,20,10,920,10.2,4,2,6,4,0,0,1,0,2.5,2.5,0.8,3.3,14,21,69,0.39,0.20,0.59,0.39,0.59,0.25,0.08,0.32,0.25,0.32,Matches
Diego,brBRA,DF,25-060,14,9,894,9.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,40,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Ferreira,brBRA,"FW,MF",26-263,19,9,843,9.4,5,1,6,5,0,0,4,0,2.8,2.8,1.6,4.4,52,47,109,0.53,0.11,0.64,0.53,0.64,0.30,0.17,0.46,0.30,0.46,Matches
Rodrigo Nestor,brBRA,"MF,FW",24-041,18,9,790,8.8,0,2,2,0,0,0,2,0,1.0,1.0,0.9,1.9,22,43,49,0.00,0.23,0.23,0.00,0.23,0.12,0.10,0.21,0.12,0.21,Matches
Nahuel Ferraresi,veVEN,DF,25-305,12,8,791,8.8,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.7,8,42,13,0.11,0.00,0.11,0.11,0.11,0.04,0.04,0.09,0.04,0.09,Matches
Wellington Rato,brBRA,"FW,MF",32-083,17,8,784,8.7,0,2,2,0,0,0,1,0,0.8,0.8,2.2,3.0,18,38,65,0.00,0.23,0.23,0.00,0.23,0.09,0.25,0.34,0.09,0.34,Matches
Michel Araujo,uyURU,"DF,FW",27-357,17,8,729,8.1,0,1,1,0,0,0,4,0,1.2,1.2,1.7,2.8,19,39,41,0.00,0.12,0.12,0.00,0.12,0.14,0.21,0.35,0.14,0.35,Matches
José Sabino,brBRA,DF,27-330,5,5,450,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,14,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Patryck,brBRA,"DF,FW",21-245,7,4,387,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,7,18,17,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Giuliano Galoppo,arARG,MF,25-093,11,3,368,4.1,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.2,8,24,15,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.30,0.20,0.30,Matches
Marcos Antônio,brBRA,MF,24-098,4,3,305,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,18,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
