,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
18.7,DF,32-308,20,19,"1,684",1,0,1,1,0,0,2,0,0.04,0.06,Matches,1.2,1,30,2,0.05,0.00,0.05,0.05,0.05,0.04,0.03,0.06
16.7,DF,27-146,18,18,"1,501",0,2,2,0,0,0,5,1,0.05,0.16,Matches,2.7,35,80,100,0.00,0.12,0.12,0.00,0.12,0.05,0.12,0.16
15.9,FW,30-337,19,17,"1,435",5,2,7,5,0,0,3,0,0.26,0.32,Matches,5.1,14,19,76,0.31,0.13,0.44,0.31,0.44,0.26,0.06,0.32
15.9,DF,23-188,18,16,"1,433",0,1,1,0,0,0,4,0,0.02,0.07,Matches,1.2,30,70,94,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.07
15.4,DF,27-319,17,16,"1,390",0,1,1,0,0,0,5,1,0.03,0.05,Matches,0.7,7,57,5,0.00,0.06,0.06,0.00,0.06,0.03,0.02,0.05
15.0,MF,31-061,16,16,"1,353",1,2,3,1,0,0,4,0,0.04,0.07,Matches,1.0,16,87,20,0.07,0.13,0.20,0.07,0.20,0.04,0.03,0.07
15.0,"MF,FW",31-099,19,16,"1,347",7,1,8,6,1,2,11,1,0.23,0.31,Matches,4.7,9,38,81,0.47,0.07,0.53,0.40,0.47,0.35,0.08,0.43
14.0,GK,35-063,14,14,"1,260",0,0,0,0,0,0,1,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.9,"FW,MF",32-012,15,13,"1,157",5,2,7,4,1,1,3,0,0.19,0.29,Matches,3.7,41,67,78,0.39,0.16,0.54,0.31,0.47,0.25,0.10,0.35
12.7,MF,37-033,15,12,"1,140",0,0,0,0,0,0,3,0,0.04,0.06,Matches,0.7,17,71,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06
8.5,MF,23-045,13,10,763,1,0,1,1,0,0,2,0,0.08,0.16,Matches,1.4,5,44,10,0.12,0.00,0.12,0.12,0.12,0.08,0.09,0.16
9.9,DF,25-035,14,9,894,0,0,0,0,0,0,2,0,0.02,0.03,Matches,0.3,4,40,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03
9.4,"FW,MF",26-238,19,9,843,5,1,6,5,0,0,4,0,0.30,0.46,Matches,4.4,52,47,109,0.53,0.11,0.64,0.53,0.64,0.30,0.17,0.46
9.0,GK,31-177,9,9,810,0,0,0,0,0,0,0,0,0.00,0.00,Matches,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9,"FW,MF",27-083,17,9,803,4,2,6,4,0,0,0,0,0.23,0.31,Matches,2.7,13,19,61,0.45,0.22,0.67,0.45,0.67,0.23,0.08,0.31
8.8,"MF,FW",24-016,18,9,790,0,2,2,0,0,0,2,0,0.12,0.21,Matches,1.9,22,43,49,0.00,0.23,0.23,0.00,0.23,0.12,0.10,0.21
7.9,"FW,MF",32-058,14,7,708,0,2,2,0,0,0,1,0,0.10,0.37,Matches,2.9,17,37,59,0.00,0.25,0.25,0.00,0.25,0.10,0.27,0.37
6.3,DF,25-280,9,6,566,1,0,1,1,0,0,0,0,0.05,0.08,Matches,0.5,6,32,7,0.16,0.00,0.16,0.16,0.16,0.05,0.03,0.08
6.2,"FW,DF",27-332,15,6,558,0,1,1,0,0,0,3,0,0.15,0.42,Matches,2.6,16,34,36,0.00,0.16,0.16,0.00,0.16,0.15,0.27,0.42
4.3,"DF,FW",21-220,7,4,387,0,0,0,0,0,0,1,0,0.01,0.04,Matches,0.2,7,18,17,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04
3.9,MF,25-068,10,3,355,0,0,0,0,0,0,2,0,0.21,0.31,Matches,1.2,8,23,14,0.00,0.00,0.00,0.00,0.00,0.21,0.10,0.31
2.9,"FW,MF",22-172,10,3,263,0,1,1,0,0,0,0,0,0.22,0.30,Matches,0.9,6,4,21,0.00,0.34,0.34,0.00,0.34,0.22,0.07,0.30
2.9,MF,22-228,3,3,259,0,0,0,0,0,0,0,0,0.05,0.11,Matches,0.3,0,18,3,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.11
1.9,"DF,MF",20-096,3,3,173,0,0,0,0,0,0,0,0,0.01,0.01,Matches,0.0,2,3,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
2.1,DF,38-353,3,2,190,0,0,0,0,0,0,1,0,0.00,0.01,Matches,0.0,0,10,9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
