Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Léo Jardim,brBRA,GK,29-183,25,25,"2,250",25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Vegetti,arARG,FW,35-340,23,22,"1,992",22.1,8,1,9,8,0,2,4,0,9.2,7.6,1.7,9.4,7,27,78,0.36,0.05,0.41,0.36,0.41,0.42,0.08,0.49,0.34,0.42,Matches
Paulo Henrique,brBRA,DF,28-056,24,21,"1,858",20.6,1,0,1,1,0,0,4,0,1.8,1.8,0.7,2.5,48,65,77,0.05,0.00,0.05,0.05,0.05,0.09,0.04,0.12,0.09,0.12,Matches
Léo Pelé,brBRA,DF,28-197,20,20,"1,800",20.0,0,1,1,0,0,0,2,0,1.2,1.2,0.6,1.8,16,52,2,0.00,0.05,0.05,0.00,0.05,0.06,0.03,0.09,0.06,0.09,Matches
Maicon,brBRA,DF,36-005,23,20,"1,795",19.9,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,3,53,2,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
Lucas Piton,brBRA,DF,23-346,20,20,"1,747",19.4,1,4,5,1,0,0,4,0,0.3,0.3,3.1,3.3,45,65,101,0.05,0.21,0.26,0.05,0.26,0.02,0.16,0.17,0.02,0.17,Matches
David,brBRA,FW,28-338,21,18,"1,486",16.5,4,3,7,4,0,0,7,1,1.7,1.7,1.9,3.6,37,42,119,0.24,0.18,0.42,0.24,0.42,0.10,0.12,0.22,0.10,0.22,Matches
Hugo Moura,brBRA,MF,26-260,18,16,"1,208",13.4,0,3,3,0,0,0,5,1,0.7,0.7,0.6,1.3,12,75,19,0.00,0.22,0.22,0.00,0.22,0.05,0.05,0.10,0.05,0.10,Matches
Mateus Cocão,brBRA,MF,22-185,21,15,"1,311",14.6,2,1,3,2,0,0,8,0,0.5,0.5,0.2,0.7,7,74,16,0.14,0.07,0.21,0.14,0.21,0.03,0.01,0.05,0.03,0.05,Matches
Adson,brBRA,FW,23-349,20,14,"1,224",13.6,2,1,3,2,0,0,2,0,1.5,1.5,2.6,4.1,42,72,80,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.30,0.11,0.30,Matches
Juan Sforza,arARG,MF,22-218,19,10,"1,001",11.1,1,0,1,1,0,0,3,0,0.3,0.2,0.1,0.3,7,55,8,0.09,0.00,0.09,0.09,0.09,0.03,0.01,0.04,0.02,0.03,Matches
João Victor,brBRA,DF,26-064,12,9,834,9.3,1,0,1,1,0,0,3,1,0.2,0.2,0.6,0.8,13,30,9,0.11,0.00,0.11,0.11,0.11,0.02,0.06,0.08,0.02,0.08,Matches
Pablo Galdames Millán,clCHI,MF,27-264,11,9,762,8.5,0,1,1,0,0,0,3,0,0.1,0.1,0.4,0.5,6,51,17,0.00,0.12,0.12,0.00,0.12,0.02,0.05,0.06,0.02,0.06,Matches
Dimitri Payet,frFRA,MF,37-174,12,9,700,7.8,0,3,3,0,0,0,0,0,0.7,0.7,1.6,2.2,9,60,50,0.00,0.39,0.39,0.00,0.39,0.08,0.20,0.28,0.08,0.28,Matches
Rossi,brBRA,"FW,MF",31-150,11,9,507,5.6,0,1,1,0,0,0,3,0,0.0,0.0,0.8,0.9,7,11,45,0.00,0.18,0.18,0.00,0.18,0.00,0.15,0.15,0.00,0.15,Matches
Victor Luis,brBRA,DF,31-088,9,5,397,4.4,1,1,2,1,0,0,3,1,0.4,0.4,0.4,0.7,7,15,16,0.23,0.23,0.45,0.23,0.45,0.08,0.08,0.16,0.08,0.16,Matches
Rayan Vitor,brBRA,"FW,MF",18-047,16,4,532,5.9,1,0,1,1,0,0,2,0,1.2,1.1,1.3,2.5,11,11,38,0.17,0.00,0.17,0.17,0.17,0.20,0.22,0.43,0.19,0.42,Matches
João Pedro,brBRA,MF,19-153,10,4,432,4.8,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,4,20,14,0.00,0.21,0.21,0.00,0.21,0.05,0.04,0.10,0.05,0.10,Matches
Zé Gabriel,brBRA,MF,25-242,14,3,457,5.1,0,0,0,0,0,0,3,0,0.8,0.8,0.0,0.9,6,11,5,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches
José Luis Rodríguez Bebanz,uyURU,DF,27-189,10,3,321,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.8,1.0,5,19,31,0.00,0.28,0.28,0.00,0.28,0.04,0.23,0.27,0.04,0.27,Matches
Bruno Praxedes,brBRA,MF,22-224,6,3,262,2.9,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,6,10,22,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21,Matches
Emerson Rodríguez,coCOL,FW,24-025,6,3,248,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,14,7,38,0.36,0.00,0.36,0.36,0.36,0.17,0.08,0.25,0.17,0.25,Matches
Guilherme Estrella,brBRA,MF,19-150,3,3,146,1.6,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,3,4,7,0.62,0.00,0.62,0.62,0.62,0.24,0.02,0.26,0.24,0.26,Matches
Robert Rojas,pyPAR,DF,28-142,5,2,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gary Medel,clCHI,DF,37-047,2,2,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leandrinho,brBRA,"DF,FW",19-186,10,1,229,2.5,1,1,2,1,0,0,0,0,0.1,0.1,0.0,0.1,3,3,10,0.39,0.39,0.79,0.39,0.79,0.03,0.01,0.05,0.03,0.05,Matches
Clayton,brBRA,FW,25-252,6,1,146,1.6,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,2,9,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.48,0.48,Matches
Philippe Coutinho,brBRA,MF,32-099,4,1,113,1.3,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,3,6,5,0.80,0.00,0.80,0.80,0.80,0.61,0.03,0.64,0.61,0.64,Matches
Jean Meneses,clCHI,"FW,MF",31-187,2,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Gabriel Souza,brBRA,FW,19-258,2,1,91,1.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,1,8,0.99,0.00,0.99,0.99,0.99,0.21,0.00,0.21,0.21,0.21,Matches
Josef de Souza,brBRA,MF,35-221,3,1,73,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Erick Marcus,brBRA,"FW,MF",20-202,6,0,174,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,4,9,13,0.00,0.00,0.00,0.00,0.00,0.10,0.16,0.26,0.10,0.26,Matches
Lyncon,brBRA,DF,19-135,1,0,45,0.5,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,2.00,0.00,2.00,2.00,2.00,0.34,0.00,0.34,0.34,0.34,Matches
Sergio Antonio De Luiz Junior,brBRA,"FW,MF",29-166,2,0,41,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
Alex Teixeira,brBRA,FW,34-257,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Bruno Lopes,brBRA,FW,17-056,1,0,11,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Maxime Dominguez,chSUI,MF,28-231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Eduardo,brBRA,MF,20-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luiz Gustavo,brBRA,DF,18-160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Keiller,brBRA,GK,27-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Patrick de Lucca,brBRA,MF,24-201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pablo,brBRA,GK,21-221,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.1,25,275,"2,250",25.0,29,23,52,29,0,2,68,4,24.4,22.8,18.6,41.4,330,860,855,1.16,0.92,2.08,1.16,2.08,0.98,0.74,1.72,0.91,1.66,
Opponent Total,,,28.4,25,275,"2,250",25.0,35,29,64,35,0,0,49,2,34.3,34.3,25.4,59.7,450,1112,1102,1.40,1.16,2.56,1.40,2.56,1.37,1.02,2.39,1.37,2.39,
