Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lucas Arcanjo,brBRA,GK,26-042,26,26,"2,340",26.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wagner,brBRA,DF,25-058,25,25,"2,166",24.1,3,0,3,2,1,1,2,1,3.9,3.1,0.1,3.3,15,76,2,0.12,0.00,0.12,0.08,0.08,0.16,0.01,0.17,0.13,0.14,Matches
Willian,brBRA,MF,31-126,24,22,"1,852",20.6,5,1,6,5,0,0,5,0,3.4,3.4,0.8,4.1,8,69,35,0.24,0.05,0.29,0.24,0.29,0.16,0.04,0.20,0.16,0.20,Matches
Matheusinho,brBRA,"MF,FW",26-337,23,22,"1,690",18.8,4,3,7,4,0,0,4,0,2.2,2.2,2.5,4.7,44,64,73,0.21,0.16,0.37,0.21,0.37,0.12,0.13,0.25,0.12,0.25,Matches
Alerrandro,brBRA,FW,24-251,24,22,"1,537",17.1,6,4,10,3,3,3,3,0,5.6,3.2,2.1,5.4,8,32,56,0.35,0.23,0.59,0.18,0.41,0.33,0.12,0.45,0.19,0.31,Matches
Lucas Esteves,brBRA,"DF,MF",24-087,23,21,"1,942",21.6,1,1,2,1,0,0,8,0,1.0,1.0,1.4,2.4,29,77,85,0.05,0.05,0.09,0.05,0.09,0.05,0.06,0.11,0.05,0.11,Matches
Willean Lepo,brBRA,DF,27-247,21,19,"1,621",18.0,0,0,0,0,0,0,4,0,0.7,0.7,1.3,2.0,46,66,36,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
Luan Silva,brBRA,MF,25-128,19,17,"1,222",13.6,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,5,32,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Osvaldo,brBRA,"MF,FW",37-161,19,17,"1,072",11.9,2,0,2,1,1,1,1,0,2.4,1.7,1.6,3.3,29,37,91,0.17,0.00,0.17,0.08,0.08,0.21,0.14,0.34,0.14,0.27,Matches
Léo Naldi,brBRA,MF,23-032,17,11,"1,040",11.6,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,11,42,18,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Janderson,brBRA,"FW,MF",25-136,18,9,904,10.0,1,1,2,1,0,0,5,0,1.1,1.1,1.0,2.1,26,12,57,0.10,0.10,0.20,0.10,0.20,0.11,0.10,0.21,0.11,0.21,Matches
Caio Vinícius,brBRA,"DF,MF",25-252,10,8,600,6.7,0,0,0,0,0,0,6,0,0.5,0.5,0.0,0.5,4,27,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Raúl Cáceres,pyPAR,"DF,MF",33-001,11,7,716,8.0,0,1,1,0,0,0,0,0,0.0,0.0,1.4,1.4,23,18,46,0.00,0.13,0.13,0.00,0.13,0.00,0.17,0.17,0.00,0.17,Matches
Patric Calmon PK,brBRA,DF,30-076,10,7,495,5.5,0,1,1,0,0,0,0,1,0.1,0.1,0.7,0.8,14,22,35,0.00,0.18,0.18,0.00,0.18,0.02,0.12,0.14,0.02,0.14,Matches
Neris,brBRA,DF,32-094,6,6,459,5.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,4,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ricardo,brBRA,MF,30-205,8,6,419,4.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,19,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Camutanga,brBRA,DF,30-358,5,5,449,5.0,0,0,0,0,0,0,1,1,0.2,0.2,0.0,0.2,0,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Bruno Uvini,brBRA,DF,33-108,6,5,428,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Machado,brBRA,MF,28-243,7,5,418,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,2,19,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
